-------------------------------------------------------------------------------------------------------

流水号        开仓日期        到期日          证券代码        证券名称        融券数量        偿还数量        剩余数量        权益补偿金额        权益补偿数量        卖均价         融券市值        融券利息        已还利息        逾期罚息        已还罚息        合约参考盈亏        状态说明        合约本金状态        券源标识        
12449         20200623        20201222        600021          上海电力        600             0               600             0.00                0                   7.320          4620.00         0.00            0.00            0.00            0.00            -237.48             未偿还          本金未归还          预约券源        
12450         20200623        20201222        600037          歌华有线        400             0               400             0.00                0                   14.770         5992.00         0.00            0.00            0.00            0.00            -95.03              未偿还          本金未归还          预约券源        
12451         20200623        20201222        600039          四川路桥        1000            0               1000            0.00                0                   3.920          3840.00         0.00            0.00            0.00            0.00            71.00               未偿还          本金未归还          预约券源        
12452         20200623        20201222        600060          海信视像        300             0               300             0.00                0                   12.180         3828.00         0.00            0.00            0.00            0.00            -182.72             未偿还          本金未归还          预约券源        
12453         20200623        20201222        600064          南京高科        400             0               400             0.00                0                   9.480          3940.00         0.00            0.00            0.00            0.00            -156.87             未偿还          本金未归还          预约券源        
12455         20200623        20201222        600143          金发科技        800             0               800             0.00                0                   13.330         10368.00        0.00            0.00            0.00            0.00            200.13              未偿还          本金未归还          预约券源        
12456         20200623        20201222        600153          建发股份        700             0               700             0.00                0                   8.930          5831.00         0.00            0.00            0.00            0.00            58.62               未偿还          本金未归还          预约券源        
12457         20200623        20201222        600259          广晟有色        100             0               100             0.00                0                   30.990         3057.00         0.00            0.00            0.00            0.00            33.84               未偿还          本金未归还          预约券源        
12458         20200623        20201222        600282          南钢股份        1200            0               1200            0.00                0                   3.520          3900.00         0.00            0.00            0.00            0.00            314.70              未偿还          本金未归还          预约券源        
12459         20200623        20201222        600315          上海家化        100             0               100             0.00                0                   47.820         4605.00         0.00            0.00            0.00            0.00            167.12              未偿还          本金未归还          预约券源        
12460         20200623        20201222        600348          阳泉煤业        500             0               500             0.00                0                   4.250          2145.00         0.00            0.00            0.00            0.00            -27.17              未偿还          本金未归还          预约券源        
12461         20200623        20201222        600273          嘉化能源        400             0               400             0.00                0                   8.730          3500.00         0.00            0.00            0.00            0.00            -16.56              未偿还          本金未归还          预约券源        
12462         20200623        20201222        600335          国机汽车        200             0               200             0.00                0                   4.860          926.00          0.00            0.00            0.00            0.00            40.01               未偿还          本金未归还          预约券源        
12463         20200623        20201222        600339          中油工程        700             0               700             0.00                0                   2.290          1603.00         0.00            0.00            0.00            0.00            -6.63               未偿还          本金未归还          预约券源        
12464         20200623        20201222        600415          小商品城        1200            0               1200            0.00                0                   5.190          5916.00         0.00            0.00            0.00            0.00            300.65              未偿还          本金未归还          预约券源        
12465         20200623        20201222        600409          三友化工        500             0               500             0.00                0                   4.510          2320.00         0.00            0.00            0.00            0.00            -72.31              未偿还          本金未归还          预约券源        
12466         20200623        20201222        600410          华胜天成        500             0               500             0.00                0                   13.560         6855.00         0.00            0.00            0.00            0.00            -86.91              未偿还          本金未归还          预约券源        
12467         20200623        20201222        600428          中远海特        500             0               500             0.00                0                   3.040          1540.00         0.00            0.00            0.00            0.00            -26.55              未偿还          本金未归还          预约券源        
12468         20200623        20201222        600388          龙净环保        400             0               400             0.00                0                   8.700          3536.00         0.00            0.00            0.00            0.00            -64.55              未偿还          本金未归还          预约券源        
12469         20200623        20201222        600497          驰宏锌锗        1300            0               1300            0.00                0                   3.440          4550.00         0.00            0.00            0.00            0.00            -87.56              未偿还          本金未归还          预约券源        
12470         20200623        20201222        600515          海航基础        700             0               700             0.00                0                   4.980          3640.00         0.00            0.00            0.00            0.00            -162.56             未偿还          本金未归还          预约券源        
12471         20200623        20201222        600528          中铁工业        600             0               600             0.00                0                   8.880          5496.00         0.00            0.00            0.00            0.00            -178.44             未偿还          本金未归还          预约券源        
12472         20200623        20201222        600535          天士力          400             0               400             0.00                0                   14.750         7136.00         0.00            0.00            0.00            0.00            -1247.02            未偿还          本金未归还          预约券源        
12473         20200623        20201222        600557          康缘药业        200             0               200             0.00                0                   13.750         2856.00         0.00            0.00            0.00            0.00            -113.81             未偿还          本金未归还          预约券源        
12474         20200623        20201222        600478          科力远          500             0               500             0.00                0                   4.880          2300.00         0.00            0.00            0.00            0.00            132.51              未偿还          本金未归还          预约券源        
12475         20200623        20201222        600549          厦门钨业        400             0               400             0.00                0                   12.100         4768.00         0.00            0.00            0.00            0.00            62.06               未偿还          本金未归还          预约券源        
12476         20200623        20201222        600500          中化国际        600             0               600             0.00                0                   5.220          3012.00         0.00            0.00            0.00            0.00            15.81               未偿还          本金未归还          预约券源        
12477         20200623        20201222        600350          山东高速        300             0               300             0.00                0                   6.100          1797.00         0.00            0.00            0.00            0.00            26.13               未偿还          本金未归还          预约券源        
12478         20200623        20201222        600566          济川药业        100             0               100             0.00                0                   24.040         2541.00         0.00            0.00            0.00            0.00            -144.45             未偿还          本金未归还          预约券源        
12479         20200623        20201222        600567          山鹰纸业        1400            0               1400            0.00                0                   2.950          4158.00         0.00            0.00            0.00            0.00            -37.21              未偿还          本金未归还          预约券源        
12480         20200623        20201222        600580          卧龙电驱        300             0               300             0.00                0                   11.630         3390.00         0.00            0.00            0.00            0.00            90.44               未偿还          本金未归还          预约券源        
12481         20200623        20201222        600565          迪马股份        600             0               600             0.00                0                   2.800          1716.00         0.00            0.00            0.00            0.00            -42.71              未偿还          本金未归还          预约券源        
12482         20200623        20201222        600643          爱建集团        400             0               400             0.00                0                   7.960          3208.00         0.00            0.00            0.00            0.00            -32.24              未偿还          本金未归还          预约券源        
12483         20200623        20201222        600575          淮河能源        700             0               700             0.00                0                   2.120          1442.00         0.00            0.00            0.00            0.00            35.49               未偿还          本金未归还          预约券源        
12484         20200623        20201222        600675          中华企业        800             0               800             0.00                0                   4.090          3320.00         0.00            0.00            0.00            0.00            -56.34              未偿还          本金未归还          预约券源        
12485         20200623        20201222        600598          北大荒          300             0               300             0.00                0                   15.100         4779.00         0.00            0.00            0.00            0.00            -258.62             未偿还          本金未归还          预约券源        
12486         20200623        20201222        600673          东阳光          700             0               700             0.00                0                   6.810          4809.00         0.00            0.00            0.00            0.00            -51.87              未偿还          本金未归还          预约券源        
12487         20200623        20201222        600699          均胜电子        300             0               300             0.00                0                   22.300         7092.00         0.00            0.00            0.00            0.00            -413.82             未偿还          本金未归还          预约券源        
12488         20200623        20201222        600664          哈药股份        600             0               600             0.00                0                   3.420          1902.00         0.00            0.00            0.00            0.00            142.91              未偿还          本金未归还          预约券源        
12489         20200623        20201222        600765          中航重机        200             0               200             0.00                0                   10.010         2014.00         0.00            0.00            0.00            0.00            -19.04              未偿还          本金未归还          预约券源        
12490         20200623        20201222        600728          佳都科技        600             0               600             0.00                0                   9.250          5442.00         0.00            0.00            0.00            0.00            97.33               未偿还          本金未归还          预约券源        
12491         20200623        20201222        600729          重庆百货        100             0               100             0.00                0                   30.440         3062.00         0.00            0.00            0.00            0.00            -26.10              未偿还          本金未归还          预约券源        
12492         20200623        20201222        600874          创业环保        200             0               200             0.00                0                   6.710          1336.00         0.00            0.00            0.00            0.00            -0.37               未偿还          本金未归还          预约券源        
12493         20200623        20201222        600718          东软集团        400             0               400             0.00                0                   11.130         4844.00         0.00            0.00            0.00            0.00            -401.54             未偿还          本金未归还          预约券源        
12494         20200623        20201222        600748          上实发展        400             0               400             0.00                0                   5.110          2188.00         0.00            0.00            0.00            0.00            -151.08             未偿还          本金未归还          预约券源        
12495         20200623        20201222        600808          马钢股份        1300            0               1300            0.00                0                   2.610          3393.00         0.00            0.00            0.00            0.00            -8.46               未偿还          本金未归还          预约券源        
12496         20200623        20201222        600787          中储股份        400             0               400             0.00                0                   4.480          1768.00         0.00            0.00            0.00            0.00            17.17               未偿还          本金未归还          预约券源        
12497         20200623        20201222        600863          内蒙华电        1000            0               1000            0.00                0                   2.490          2460.00         0.00            0.00            0.00            0.00            22.46               未偿还          本金未归还          预约券源        
12498         20200623        20201222        600839          四川长虹        1600            0               1600            0.00                0                   3.040          4640.00         0.00            0.00            0.00            0.00            214.04              未偿还          本金未归还          预约券源        
12499         20200623        20201222        600835          上海机电        100             0               100             0.00                0                   16.840         1676.00         0.00            0.00            0.00            0.00            1.29                未偿还          本金未归还          预约券源        
12500         20200623        20201222        600820          隧道股份        800             0               800             0.00                0                   5.960          4560.00         0.00            0.00            0.00            0.00            30.13               未偿还          本金未归还          预约券源        
12501         20200623        20201222        600811          东方集团        1300            0               1300            0.00                0                   4.440          5785.00         0.00            0.00            0.00            0.00            -23.89              未偿还          本金未归还          预约券源        
12502         20200623        20201222        000039          中集集团        500             0               500             0.00                0                   7.460          3620.00         0.00            0.00            0.00            0.00            41.27               未偿还          本金未归还          预约券源        
12503         20200623        20201222        600970          中材国际        400             0               400             0.00                0                   5.390          2156.00         0.00            0.00            0.00            0.00            -7.20               未偿还          本金未归还          预约券源        
12504         20200623        20201222        000158          常山北明        400             0               400             0.00                0                   9.700          4268.00         0.00            0.00            0.00            0.00            -396.88             未偿还          本金未归还          预约券源        
12505         20200623        20201222        600446          金证股份        300             0               300             0.00                0                   19.100         5760.00         0.00            0.00            0.00            0.00            -40.84              未偿还          本金未归还          预约券源        
12506         20200623        20201222        601228          广州港          800             0               800             0.00                0                   3.070          2440.00         0.00            0.00            0.00            0.00            8.49                未偿还          本金未归还          预约券源        
12507         20200623        20201222        600959          江苏有线        1300            0               1300            0.00                0                   3.730          4836.00         0.00            0.00            0.00            0.00            3.06                未偿还          本金未归还          预约券源        
12508         20200623        20201222        601128          常熟银行        1200            0               1200            0.00                0                   7.330          9012.00         0.00            0.00            0.00            0.00            -229.98             未偿还          本金未归还          预约券源        
12509         20200623        20201222        601099          太平洋          3000            0               3000            0.00                0                   3.230          9600.00         0.00            0.00            0.00            0.00            75.12               未偿还          本金未归还          预约券源        
12510         20200623        20201222        601611          中国核建        300             0               300             0.00                0                   6.270          1878.00         0.00            0.00            0.00            0.00            -3.92               未偿还          本金未归还          预约券源        
12511         20200623        20201222        601106          中国一重        1200            0               1200            0.00                0                   2.860          3420.00         0.00            0.00            0.00            0.00            3.50                未偿还          本金未归还          预约券源        
