标题：资金股票
营业部名称：DbzqJY-tc-111
股东：鸣石锐驰七号
资金余额：20153644.88 	 可取金额：6070104.45
冻结金额：0.00 	 股票市值：52913592.48
可用余额：6070104.45 	 总 资 产：59001012.33

------------------------------
证券代码	证券名称	股票余额	可用余额	冻结数量	参考盈亏	参考成本价	参考盈亏比	市价	市值	成本金额	市场代码	交易市场	股东帐户	实际数量	单位数量	资讯	历史成交	退市日期	回报买入数量	回报卖出数量	
000006	深振业Ａ	129900.00	0.00	0	-6840.610	8.613	-0.615	8.560	1111944.000	1118828.700	1	深圳Ａ股	0899197841	129900	1			0	129900.00	0.00	
000531	穗恒运Ａ	72300.00	72300.00	0	5653.960	11.261	0.702	11.340	819882.000	814170.300	1	深圳Ａ股	0899197841	72300	1			0	0.00	0.00	
000532	华金资本	0.00	0.00	0	12556.700	13.333	1.928	13.590	0.000	0.000	1	深圳Ａ股	0899197841	0	1			0	0.00	77500.00	
000537	广宇发展	76500.00	76500.00	0	-270.200	8.314	-0.048	8.310	635715.000	636021.000	1	深圳Ａ股	0899197841	76500	1			0	0.00	0.00	
000596	古井贡酒	4700.00	3400.00	0	-4946.580	209.474	-0.503	208.420	979574.000	984527.800	1	深圳Ａ股	0899197841	4700	1			0	1300.00	0.00	
000661	长春高新	2300.00	0.00	0	-2826.390	492.769	-0.249	491.540	1130542.000	1133368.700	1	深圳Ａ股	0899197841	2300	1			0	2300.00	0.00	
000733	振华科技	0.00	0.00	0	558211.740	32.149	36.552	43.900	0.000	0.000	1	深圳Ａ股	0899197841	0	1			0	0.00	47400.00	
000788	北大医药	131800.00	131800.00	0	22978.390	7.715	2.268	7.890	1039902.000	1016837.000	1	深圳Ａ股	0899197841	131800	1			0	0.00	0.00	
000990	诚志股份	4200.00	4200.00	0	49634.390	5.689	207.963	17.520	73584.000	23893.800	1	深圳Ａ股	0899197841	4200	1			0	0.00	61100.00	
002020	京新药业	112000.00	112000.00	0	-68376.940	15.081	-4.051	14.470	1620640.000	1689072.000	1	深圳Ａ股	0899197841	112000	1			0	0.00	0.00	
002099	海翔药业	0.00	0.00	0	58055.640	7.963	7.874	8.590	0.000	0.000	1	深圳Ａ股	0899197841	0	1			0	0.00	103900.00	
002246	北化股份	49352.00	49352.00	0	10743.000	8.792	2.480	9.010	444661.520	433902.784	1	深圳Ａ股	0899197841	49352	1			0	0.00	0.00	
002352	顺丰控股	16400.00	0.00	0	-4651.330	68.434	-0.415	68.150	1117660.000	1122317.600	1	深圳Ａ股	0899197841	16400	1			0	16400.00	0.00	
002404	嘉欣丝绸	132400.00	132400.00	0	7100.860	6.966	0.775	7.020	929448.000	922298.400	1	深圳Ａ股	0899197841	132400	1			0	0.00	0.00	
002416	爱施德	20100.00	20100.00	0	207570.480	1.541	670.928	11.880	238788.000	30974.100	1	深圳Ａ股	0899197841	20100	1			0	0.00	138400.00	
002488	金固股份	103800.00	103800.00	0	27497.300	5.715	4.637	5.980	620724.000	593217.000	1	深圳Ａ股	0899197841	103800	1			0	0.00	0.00	
002675	东诚药业	0.00	0.00	0	3699.720	27.601	2.750	28.360	0.000	0.000	1	深圳Ａ股	0899197841	0	1			0	0.00	5400.00	
002683	宏大爆破	0.00	0.00	0	221425.280	56.094	15.627	64.860	0.000	0.000	1	深圳Ａ股	0899197841	0	1			0	0.00	4500.00	
002810	山东赫达	8000.00	0.00	0	-759.560	38.975	-0.244	38.880	311040.000	311800.000	1	深圳Ａ股	0899197841	8000	1			0	8000.00	0.00	
002867	周大生	35200.00	0.00	0	-4050.700	27.686	-0.419	27.570	970464.000	974547.200	1	深圳Ａ股	0899197841	35200	1			0	35200.00	0.00	
002932	明德生物	1500.00	1500.00	0	-22526.930	109.635	-13.714	94.600	141900.000	164452.500	1	深圳Ａ股	0899197841	1500	1			0	0.00	0.00	
002940	昂利康	6400.00	6400.00	0	42542.920	53.024	12.553	59.680	381952.000	339353.600	1	深圳Ａ股	0899197841	6400	1			0	0.00	0.00	
002945	华林证券	72200.00	72200.00	0	-26465.100	17.217	-2.132	16.850	1216570.000	1243067.400	1	深圳Ａ股	0899197841	72200	1			0	0.00	0.00	
300016	北陆药业	0.00	0.00	0	-77317.500	13.602	-8.102	12.500	0.000	0.000	1	深圳Ａ股	0899197841	0	1			0	0.00	70600.00	
300053	欧比特	0.00	0.00	0	3640.070	12.918	0.944	13.040	0.000	0.000	1	深圳Ａ股	0899197841	0	1			0	0.00	32600.00	
300101	振芯科技	77900.00	77900.00	0	116753.660	15.429	9.728	16.930	1318847.000	1201919.100	1	深圳Ａ股	0899197841	77900	1			0	0.00	0.00	
300136	信维通信	0.00	0.00	0	28823.840	59.169	2.030	60.370	0.000	0.000	1	深圳Ａ股	0899197841	0	1			0	0.00	25300.00	
300137	先河环保	54500.00	54500.00	0	-5123.060	8.204	-1.146	8.110	441995.000	447118.000	1	深圳Ａ股	0899197841	54500	1			0	0.00	0.00	
300146	汤臣倍健	45300.00	45300.00	0	-5190.770	24.894	-0.458	24.780	1122534.000	1127698.200	1	深圳Ａ股	0899197841	45300	1			0	0.00	0.00	
300177	中海达	57700.00	57700.00	0	116789.000	9.834	20.602	11.860	684322.000	567421.800	1	深圳Ａ股	0899197841	57700	1			0	0.00	71200.00	
300182	捷成股份	328800.00	328800.00	0	12213.840	5.113	0.724	5.150	1693320.000	1681154.400	1	深圳Ａ股	0899197841	328800	1			0	0.00	0.00	
300255	常山药业	101400.00	101400.00	0	162180.710	6.358	25.197	7.960	807144.000	644701.200	1	深圳Ａ股	0899197841	101400	1			0	0.00	0.00	
300315	掌趣科技	118965.00	118965.00	0	-49403.790	10.016	-4.153	9.600	1142064.000	1191553.440	1	深圳Ａ股	0899197841	118965	1			0	0.00	0.00	
300366	创意信息	0.00	0.00	0	319382.480	14.100	23.121	17.360	0.000	0.000	1	深圳Ａ股	0899197841	0	1			0	0.00	7400.00	
300395	菲利华	4800.00	4800.00	0	149528.160	21.722	143.578	52.910	253968.000	104265.600	1	深圳Ａ股	0899197841	4800	1			0	0.00	0.00	
300496	中科创达	6600.00	0.00	0	-2887.140	97.338	-0.450	96.900	639540.000	642430.800	1	深圳Ａ股	0899197841	6600	1			0	6600.00	0.00	
300536	农尚环境	25200.00	25200.00	0	38736.780	16.001	9.618	17.540	442008.000	403225.200	1	深圳Ａ股	0899197841	25200	1			0	0.00	0.00	
300627	华测导航	0.00	0.00	0	10340.630	26.906	2.728	27.640	0.000	0.000	1	深圳Ａ股	0899197841	0	1			0	0.00	11300.00	
