标题：资金股票
营业部名称：中航信交易7-2
股东：鸣石傲华二

------------------------------
资金帐户	货币单位	资金余额	可用金额	总市值	总资产	
221400092659	人民币	3477928.010	2350192.120	33400141.970	35750335.090	

------------------------------
证券代码	证券名称	当前持仓	可用余额	买入冻结	卖出冻结	参考盈亏	盈亏比例()	参考市值	参考成本价	参考市价	股东代码	交易市场	股份实时余额	股份余额	
000036	华联控股	109600	109600	0	0	-27296.46	-5.094	508544.00	4.889	4.640	0899170712	深Ａ	109600	109600	
000050	深天马Ａ	31300	31300	0	0	-49848.05	-8.716	522084.00	18.273	16.680	0899170712	深Ａ	31300	31300	
000090	天健集团	59815	59815	0	0	-33860.73	-6.176	514409.00	9.166	8.600	0899170712	深Ａ	59815	59815	
000333	美的集团	8100	0	8100	0	414.26	0.073	564246.00	69.609	69.660	0899170712	深Ａ	8100	0	
000607	华媒控股	9600	9600	0	0	-776.58	-1.809	42144.00	4.471	4.390	0899170712	深Ａ	9600	9600	
000661	长春高新	1200	1200	0	0	-14924.19	-2.547	571068.00	488.327	475.890	0899170712	深Ａ	1200	1200	
000733	振华科技	8700	0	0	8700	236593.46	146.956	397590.00	18.505	45.700	0899170712	深Ａ	8700	8700	
000797	中国武夷	0	0	0	16100	-6847.36	0.000	0.00	0.000	3.770	0899170712	深Ａ	0	16100	
000799	酒鬼酒	0	0	0	7200	12554.90	0.000	0.00	0.000	66.650	0899170712	深Ａ	0	7200	
000801	四川九洲	33000	33000	0	0	-437.54	-0.192	227370.00	6.903	6.890	0899170712	深Ａ	33000	33000	
000912	泸天化	105000	105000	0	0	35991.32	7.221	534450.00	4.747	5.090	0899170712	深Ａ	105000	105000	
000967	盈峰环境	55397	55397	0	0	-39772.53	-7.124	518515.92	10.078	9.360	0899170712	深Ａ	55397	55397	
000973	佛塑科技	94100	94100	0	0	54451.77	11.433	530724.00	5.061	5.640	0899170712	深Ａ	94100	94100	
002015	协鑫能科	0	0	0	18400	4479.01	0.000	0.00	0.000	6.050	0899170712	深Ａ	0	18400	
002215	诺 普 信	25000	25000	0	0	-3071.81	-1.872	161000.00	6.563	6.440	0899170712	深Ａ	25000	25000	
002233	塔牌集团	35400	35400	0	0	-744.21	-0.131	565338.00	15.991	15.970	0899170712	深Ａ	35400	35400	
002244	滨江集团	15100	15100	0	43700	-35852.26	-33.658	70668.00	7.054	4.680	0899170712	深Ａ	15100	58800	
002262	恩华药业	31200	31200	0	0	51120.91	9.637	581568.00	17.002	18.640	0899170712	深Ａ	31200	31200	
002275	桂林三金	19400	19400	0	0	-31214.61	-9.372	301864.00	17.169	15.560	0899170712	深Ａ	19400	19400	
002312	三泰控股	21000	21000	0	0	-6576.27	-5.199	119910.00	6.023	5.710	0899170712	深Ａ	21000	21000	
002317	众生药业	500	500	0	0	-51983.58	-87.864	7180.00	118.327	14.360	0899170712	深Ａ	500	500	
002352	顺丰控股	8100	8100	0	0	-17518.07	-3.241	522936.00	66.723	64.560	0899170712	深Ａ	8100	8100	
002358	森源电气	29800	29800	0	0	492.35	0.293	168668.00	5.643	5.660	0899170712	深Ａ	29800	29800	
002364	中恒电气	32100	32100	0	0	-43101.86	-8.459	466413.00	15.873	14.530	0899170712	深Ａ	32100	32100	
002410	广联达	8000	8000	0	0	-65689.17	-10.929	535360.00	75.131	66.920	0899170712	深Ａ	8000	8000	
002507	涪陵榨菜	4100	4100	0	0	1536.10	0.955	162360.00	39.225	39.600	0899170712	深Ａ	4100	4100	
002515	金字火腿	21100	21100	0	0	18498.39	14.133	149388.00	6.203	7.080	0899170712	深Ａ	21100	21100	
002517	恺英网络	4400	4400	0	0	-973.34	-3.644	25740.00	6.071	5.850	0899170712	深Ａ	4400	4400	
002538	司尔特	31200	31200	0	0	5622.63	3.091	187512.00	5.830	6.010	0899170712	深Ａ	31200	31200	
002570	贝因美	64800	64800	0	0	51352.29	11.710	489888.00	6.768	7.560	0899170712	深Ａ	64800	64800	
002642	荣联科技	64200	64200	0	11600	-30316.11	-6.423	441696.00	7.352	6.880	0899170712	深Ａ	64200	75800	
002675	东诚药业	1700	1700	0	0	-3360.32	-7.215	43214.00	27.397	25.420	0899170712	深Ａ	1700	1700	
002734	利民股份	10700	10700	0	0	-4423.04	-2.526	170665.00	16.363	15.950	0899170712	深Ａ	10700	10700	
002755	奥赛康	26300	26300	0	0	-24760.64	-4.642	508642.00	20.281	19.340	0899170712	深Ａ	26300	26300	
002833	弘亚数控	6200	0	6200	0	1352.62	0.638	213280.00	34.182	34.400	0899170712	深Ａ	6200	0	
002840	华统股份	9900	9900	0	15800	-39827.56	-24.798	120780.00	16.223	12.200	0899170712	深Ａ	9900	25700	
002901	大博医疗	1500	1500	0	0	-4263.58	-2.983	138645.00	95.272	92.430	0899170712	深Ａ	1500	1500	
002928	华夏航空	0	0	0	20600	14150.90	0.000	0.00	0.000	11.780	0899170712	深Ａ	0	20600	
002932	明德生物	900	900	0	0	-17578.66	-18.844	75708.00	103.652	84.120	0899170712	深Ａ	900	900	
002940	昂利康	2600	2600	0	0	-10124.54	-6.630	142584.00	58.734	54.840	0899170712	深Ａ	2600	2600	
300009	安科生物	23800	23800	0	0	-84814.57	-16.696	423164.00	21.344	17.780	0899170712	深Ａ	23800	23800	
300120	经纬辉开	34000	34000	0	0	-32197.54	-6.884	435540.00	13.757	12.810	0899170712	深Ａ	34000	34000	
300122	智飞生物	3800	3300	500	0	-114417.95	-17.123	553812.00	175.850	145.740	0899170712	深Ａ	3800	3300	
300171	东富龙	25000	25000	0	0	-29809.20	-5.313	531250.00	22.442	21.250	0899170712	深Ａ	25000	25000	
300177	中海达	15400	15400	0	0	8810.04	5.188	178640.00	11.028	11.600	0899170712	深Ａ	15400	15400	
300200	高盟新材	0	0	0	6600	934.36	0.000	0.00	0.000	10.440	0899170712	深Ａ	0	6600	
300207	欣旺达	22900	22900	0	0	-10409.36	-1.853	551432.00	24.535	24.080	0899170712	深Ａ	22900	22900	
300259	新天科技	11800	11800	0	0	-17006.94	-22.764	57702.00	6.331	4.890	0899170712	深Ａ	11800	11800	
300277	海联讯	8900	8900	0	0	-16921.41	-14.435	100303.00	13.171	11.270	0899170712	深Ａ	8900	8900	
300292	吴通控股	8000	8000	0	50600	-59128.35	-59.171	40800.00	12.491	5.100	0899170712	深Ａ	8000	58600	
300315	掌趣科技	18100	18100	0	0	1244.80	0.825	152221.00	8.341	8.410	0899170712	深Ａ	18100	18100	
300327	中颖电子	15700	15200	500	0	-14545.19	-2.525	561432.00	36.686	35.760	0899170712	深Ａ	15700	15200	
300328	宜安科技	18300	18300	0	0	-12891.98	-6.449	187026.00	10.924	10.220	0899170712	深Ａ	18300	18300	
300341	麦克奥迪	36000	36000	0	0	-8211.39	-2.552	313560.00	8.938	8.710	0899170712	深Ａ	36000	36000	
300349	金卡智能	32900	32900	0	0	-8006.96	-1.484	531664.00	16.403	16.160	0899170712	深Ａ	32900	32900	
300364	中文在线	5352	5352	0	0	-8621.69	-17.681	40140.00	9.111	7.500	0899170712	深Ａ	5352	5352	
300393	中来股份	25500	25500	0	0	-21510.53	-10.308	187170.00	8.184	7.340	0899170712	深Ａ	25500	25500	
300423	鲁亿通	27700	27700	0	0	27011.46	7.248	399711.00	13.455	14.430	0899170712	深Ａ	27700	27700	
300453	三鑫医疗	24100	24100	0	0	-9036.00	-1.964	451152.00	19.095	18.720	0899170712	深Ａ	24100	24100	
300454	深信服	1900	1900	0	700	-11481.38	-2.839	392958.00	212.863	206.820	0899170712	深Ａ	1900	2600	
300501	海顺新材	3100	0	3100	0	-39.14	-0.048	80786.00	26.073	26.060	0899170712	深Ａ	3100	0	
300510	金冠股份	4200	4200	0	0	-517.48	-2.310	21882.00	5.333	5.210	0899170712	深Ａ	4200	4200	
300638	广和通	3900	0	3900	0	693.19	0.240	289887.00	74.152	74.330	0899170712	深Ａ	3900	0	
300653	正海生物	3100	3100	0	0	-13377.59	-5.618	224750.00	76.815	72.500	0899170712	深Ａ	3100	3100	
300660	江苏雷利	2700	2700	0	0	-640.09	-1.265	49950.00	18.737	18.500	0899170712	深Ａ	2700	2700	
300662	科锐国际	2300	2300	0	0	-2801.86	-2.011	136551.00	60.588	59.370	0899170712	深Ａ	2300	2300	
300683	海特生物	1700	1700	0	0	-29061.93	-23.010	97240.00	74.295	57.200	0899170712	深Ａ	1700	1700	
300741	华宝股份	6100	6100	0	0	-7804.36	-2.282	334158.00	56.059	54.780	0899170712	深Ａ	6100	6100	
300760	迈瑞医疗	300	300	0	0	-3824.51	-3.920	93750.00	325.248	312.500	0899170712	深Ａ	300	300	
511990	华宝添益	50421	50421	0	0	128892.64	2.623	5042705.05	97.456	100.012	B882064172	沪Ａ	50421	50421	
600057	厦门象屿	400	400	0	0	167.42	6.264	2840.00	6.681	7.100	B882064172	沪Ａ	400	400	
600110	诺德股份	70500	70500	0	0	-32026.14	-8.468	346155.00	5.364	4.910	B882064172	沪Ａ	70500	70500	
600173	卧龙地产	6500	6500	0	0	-1618.91	-4.472	34580.00	5.569	5.320	B882064172	沪Ａ	6500	6500	
600196	复星医药	8900	8900	0	0	-37363.90	-6.689	521184.00	62.758	58.560	B882064172	沪Ａ	8900	8900	
600298	安琪酵母	5600	0	5600	0	394.46	0.108	366744.00	65.420	65.490	B882064172	沪Ａ	5600	0	
600328	中盐化工	21600	21600	0	0	-4837.28	-2.643	178200.00	8.474	8.250	B882064172	沪Ａ	21600	21600	
600335	国机汽车	14800	14800	0	0	4220.66	5.675	78588.00	5.025	5.310	B882064172	沪Ａ	14800	14800	
600336	澳柯玛	49600	0	49600	0	394.35	0.099	398784.00	8.032	8.040	B882064172	沪Ａ	49600	0	
600420	现代制药	46700	46700	0	0	-34348.50	-6.483	495487.00	11.346	10.610	B882064172	沪Ａ	46700	46700	
600519	贵州茅台	300	300	0	0	-11889.96	-2.378	488085.00	1666.583	1626.950	B882064172	沪Ａ	300	300	
600531	豫光金铅	92800	92800	0	0	-31807.36	-5.672	528960.00	6.043	5.700	B882064172	沪Ａ	92800	92800	
600557	康缘药业	0	0	0	12200	-12028.02	0.000	0.00	0.000	13.670	B882064172	沪Ａ	0	12200	
600710	苏美达	0	0	0	27900	-4196.32	0.000	0.00	0.000	5.420	B882064172	沪Ａ	0	27900	
