标题：资金股票
营业部名称：中航信交易4-1
股东：中国银河证

------------------------------
资金帐户	货币单位	资金余额	可用金额	总市值	总资产	
221188997708	人民币	1349233.520	739058.670	15986860.870	16725920.540	

------------------------------
证券代码	证券名称	当前持仓	可用余额	买入冻结	卖出冻结	参考盈亏	盈亏比例()	参考市值	参考成本价	参考市价	股东代码	交易市场	股份实时余额	股份余额	
603999	读者传媒	6800	0	6800	0	137.98	0.302	45832.00	6.720	6.740	B881812205	沪Ａ	6800	0	
603997	继峰股份	10100	10100	0	0	-3149.66	-4.157	72619.00	7.502	7.190	B881812205	沪Ａ	10100	10100	
603993	洛阳钼业	0	0	0	24800	-1398.12	0.000	0.00	0.000	4.440	B881812205	沪Ａ	0	24800	
603888	新华网	10800	0	10800	0	42.04	0.016	258660.00	23.946	23.950	B881812205	沪Ａ	10800	0	
603738	泰晶科技	2600	2600	0	8100	-35363.73	-37.707	58422.00	36.071	22.470	B881812205	沪Ａ	2600	10700	
603599	广信股份	0	0	0	3500	-1293.06	0.000	0.00	0.000	18.460	B881812205	沪Ａ	0	3500	
603506	南都物业	300	300	0	0	-72.98	-0.811	8922.00	29.983	29.740	B881812205	沪Ａ	300	300	
603198	迎驾贡酒	2800	0	2800	0	57.27	0.092	62608.00	22.340	22.360	B881812205	沪Ａ	2800	0	
603128	华贸物流	5700	5700	0	0	-545.29	-1.062	50787.00	9.006	8.910	B881812205	沪Ａ	5700	5700	
603027	千禾味业	8100	0	8100	0	1118.45	0.412	272808.00	33.542	33.680	B881812205	沪Ａ	8100	0	
603000	人民网	12800	7000	5800	0	-12960.30	-4.724	261376.00	21.433	20.420	B881812205	沪Ａ	12800	7000	
601878	浙商证券	0	0	0	15600	15097.75	0.000	0.00	0.000	17.230	B881812205	沪Ａ	0	15600	
601818	光大银行	100	0	100	0	0.91	0.235	388.00	3.871	3.880	B881812205	沪Ａ	100	0	
601668	中国建筑	51300	0	51300	0	17.44	0.007	266247.00	5.190	5.190	B881812205	沪Ａ	51300	0	
600996	贵广网络	32900	32900	0	0	-12901.61	-4.994	245434.00	7.852	7.460	B881812205	沪Ａ	32900	32900	
600986	科达股份	44800	44800	0	0	-20919.64	-7.986	241024.00	5.847	5.380	B881812205	沪Ａ	44800	44800	
600973	宝胜股份	6600	6600	0	0	851.61	2.932	29898.00	4.401	4.530	B881812205	沪Ａ	6600	6600	
600887	伊利股份	7800	7800	0	0	11152.70	4.192	277212.00	34.110	35.540	B881812205	沪Ａ	7800	7800	
600873	梅花生物	0	0	0	16100	-1141.62	0.000	0.00	0.000	5.130	B881812205	沪Ａ	0	16100	
600707	彩虹股份	0	0	0	52900	-5679.12	0.000	0.00	0.000	4.900	B881812205	沪Ａ	0	52900	
600650	锦江投资	24000	0	24000	0	-265.64	-0.101	261840.00	10.921	10.910	B881812205	沪Ａ	24000	0	
