标题：资金股票
营业部名称：中航信交易4-1
股东：鸣石傲华五

------------------------------
资金帐户	货币单位	资金余额	可用金额	总市值	总资产	
110200044811	人民币	13196396.600	3110444.950	45867291.300	48977737.250	

------------------------------
证券代码	证券名称	当前持仓	可用余额	买入冻结	卖出冻结	参考盈亏	盈亏比例()	参考市值	参考成本价	参考市价	股东代码	交易市场	股份实时余额	股份余额	
603980	吉华集团	13700	13700	0	0	426.42	0.434	98777.00	7.179	7.210	B881983006	沪Ａ	13700	13700	
603978	深圳新星	16100	16100	0	0	-1539.28	-0.402	381087.00	23.766	23.670	B881983006	沪Ａ	16100	16100	
603970	中农立华	11700	11700	0	0	9904.88	5.228	199368.00	16.193	17.040	B881983006	沪Ａ	11700	11700	
603963	大理药业	8900	8900	0	0	1555.90	1.905	83215.00	9.175	9.350	B881983006	沪Ａ	8900	8900	
603960	克来机电	4500	4500	0	0	11358.62	6.205	194400.00	40.676	43.200	B881983006	沪Ａ	4500	4500	
603938	三孚股份	3800	3800	0	0	3521.70	3.761	97166.00	24.643	25.570	B881983006	沪Ａ	3800	3800	
603933	睿能科技	15000	15000	0	0	-329.73	-0.157	209400.00	13.982	13.960	B881983006	沪Ａ	15000	15000	
603918	金桥信息	5300	5300	0	0	-585.95	-0.991	58565.00	11.161	11.050	B881983006	沪Ａ	5300	5300	
603908	牧高笛	1300	1300	0	0	309.00	0.924	33748.00	25.722	25.960	B881983006	沪Ａ	1300	1300	
603843	正平股份	26800	26800	0	0	-7820.72	-5.453	135608.00	5.352	5.060	B881983006	沪Ａ	26800	26800	
603822	嘉澳环保	3000	3000	0	0	252.92	0.322	78720.00	26.156	26.240	B881983006	沪Ａ	3000	3000	
603800	道森股份	3100	3100	0	0	5412.44	17.027	37200.00	10.254	12.000	B881983006	沪Ａ	3100	3100	
603798	康普顿	4000	4000	0	0	3395.76	8.131	45160.00	10.441	11.290	B881983006	沪Ａ	4000	4000	
603768	常青股份	12700	12700	0	0	-2305.46	-1.084	210439.00	16.752	16.570	B881983006	沪Ａ	12700	12700	
603737	三棵树	2100	0	2100	0	807.66	0.261	310716.00	147.575	147.960	B881983006	沪Ａ	2100	0	
603706	东方环宇	19900	19900	0	0	-4197.81	-1.072	387254.00	19.671	19.460	B881983006	沪Ａ	19900	19900	
603698	航天工程	0	0	0	1700	1017.17	0.000	0.00	0.000	11.930	B881983006	沪Ａ	0	1700	
603685	晨丰科技	6900	600	6300	0	53.63	0.050	106881.00	15.482	15.490	B881983006	沪Ａ	6900	600	
603667	五洲新春	12000	12000	0	0	3073.01	3.080	102840.00	8.314	8.570	B881983006	沪Ａ	12000	12000	
603648	畅联股份	16700	16700	0	0	2832.25	1.711	168336.00	9.910	10.080	B881983006	沪Ａ	16700	16700	
603615	茶花股份	400	400	0	0	131.73	3.768	3628.00	8.741	9.070	B881983006	沪Ａ	400	400	
603587	地素时尚	300	300	0	0	79.47	1.417	5688.00	18.695	18.960	B881983006	沪Ａ	300	300	
603586	金麒麟	27100	19100	8000	0	10823.63	2.165	510835.00	18.451	18.850	B881983006	沪Ａ	27100	19100	
603535	嘉诚国际	14300	14300	0	0	29533.70	9.041	356213.00	22.845	24.910	B881983006	沪Ａ	14300	14300	
603527	众源新材	15900	15900	0	0	5350.12	3.147	175377.00	10.694	11.030	B881983006	沪Ａ	15900	15900	
603518	锦泓集团	19000	19000	0	0	2888.57	2.194	134520.00	6.928	7.080	B881983006	沪Ａ	19000	19000	
603378	亚士创能	6500	0	6500	0	-2915.82	-0.625	463320.00	71.729	71.280	B881983006	沪Ａ	6500	0	
603365	水星家纺	2200	2200	0	0	-16897.54	-32.893	34474.00	23.351	15.670	B881983006	沪Ａ	2200	2200	
603359	东珠生态	10300	10300	0	0	796.33	0.425	188284.00	18.203	18.280	B881983006	沪Ａ	10300	10300	
603339	四方科技	2000	2000	0	0	2618.46	12.760	23140.00	10.261	11.570	B881983006	沪Ａ	2000	2000	
603331	百达精工	2720	2720	0	0	-11019.16	-25.655	31932.80	15.791	11.740	B881983006	沪Ａ	2720	2720	
603320	迪贝电气	200	200	0	0	62.28	2.374	2686.00	13.119	13.430	B881983006	沪Ａ	200	200	
603311	金海环境	2700	2700	0	0	2490.58	7.163	37260.00	12.878	13.800	B881983006	沪Ａ	2700	2700	
603309	维力医疗	52400	52400	0	0	14171.15	1.832	787572.00	14.760	15.030	B881983006	沪Ａ	52400	52400	
603306	华懋科技	32200	32200	0	0	4533.01	0.874	523250.00	16.109	16.250	B881983006	沪Ａ	32200	32200	
603297	永新光学	7300	7300	0	0	-2199.12	-0.690	316674.00	43.681	43.380	B881983006	沪Ａ	7300	7300	
603286	日盈电子	2400	2400	0	0	451.50	1.062	42960.00	17.712	17.900	B881983006	沪Ａ	2400	2400	
603278	大业股份	13100	13100	0	0	5210.95	4.844	112791.00	8.212	8.610	B881983006	沪Ａ	13100	13100	
603238	诺邦股份	3600	3600	0	0	-4756.74	-3.086	149400.00	42.821	41.500	B881983006	沪Ａ	3600	3600	
603223	恒通股份	5500	5500	0	0	3878.08	5.264	77550.00	13.395	14.100	B881983006	沪Ａ	5500	5500	
603167	渤海轮渡	61500	5400	56100	0	4482.63	0.847	533820.00	8.607	8.680	B881983006	沪Ａ	61500	5400	
603159	上海亚虹	17740	17740	0	0	1898.80	0.867	220863.00	12.343	12.450	B881983006	沪Ａ	17740	17740	
603117	万林物流	75020	75020	0	0	-2209.61	-0.729	300830.20	4.039	4.010	B881983006	沪Ａ	75020	75020	
603090	宏盛股份	11500	11500	0	0	9329.28	4.535	215050.00	17.889	18.700	B881983006	沪Ａ	11500	11500	
603089	正裕工业	13400	13400	0	0	-2031.14	-1.340	149544.00	11.312	11.160	B881983006	沪Ａ	13400	13400	
603086	先达股份	1500	1500	0	0	-825.67	-3.338	23910.00	16.490	15.940	B881983006	沪Ａ	1500	1500	
603085	天成自控	32400	32400	0	0	20641.71	7.824	284472.00	8.143	8.780	B881983006	沪Ａ	32400	32400	
603063	禾望电气	31700	31700	0	0	9841.11	3.975	257404.00	7.810	8.120	B881983006	沪Ａ	31700	31700	
603058	永吉股份	26500	26500	0	0	-2811.65	-0.964	288850.00	11.006	10.900	B881983006	沪Ａ	26500	26500	
603041	美思德	1100	0	1100	0	-9.35	-0.050	18612.00	16.929	16.920	B881983006	沪Ａ	1100	0	
603036	如通股份	2800	2800	0	0	1586.45	6.300	26768.00	8.993	9.560	B881983006	沪Ａ	2800	2800	
603031	安德利	6500	6500	0	0	-2220.10	-1.050	209300.00	32.542	32.200	B881983006	沪Ａ	6500	6500	
603029	天鹅股份	6900	6900	0	0	-742.86	-0.669	110262.00	16.088	15.980	B881983006	沪Ａ	6900	6900	
603025	大豪科技	17100	17100	0	0	-130.04	-0.095	136800.00	8.008	8.000	B881983006	沪Ａ	17100	17100	
603009	北特科技	800	800	0	0	-227.46	-4.203	5184.00	6.764	6.480	B881983006	沪Ａ	800	800	
603006	联明股份	15800	15800	0	0	11562.62	6.326	194340.00	11.568	12.300	B881983006	沪Ａ	15800	15800	
601965	中国汽研	4700	4700	0	8200	16132.11	43.351	53345.00	7.918	11.350	B881983006	沪Ａ	4700	12900	
601811	新华文轩	9400	9400	0	0	3311.88	3.297	103776.00	10.688	11.040	B881983006	沪Ａ	9400	9400	
601369	陕鼓动力	0	0	0	700	118.81	0.000	0.00	0.000	6.880	B881983006	沪Ａ	0	700	
601368	绿城水务	27600	27600	0	0	-2388.03	-1.500	156768.00	5.767	5.680	B881983006	沪Ａ	27600	27600	
601019	山东出版	13300	13300	0	0	702.01	0.789	89642.00	6.687	6.740	B881983006	沪Ａ	13300	13300	
600969	郴电国际	18503	18503	0	0	-5682.64	-4.414	123044.95	6.957	6.650	B881983006	沪Ａ	18503	18503	
600965	福成股份	17600	17600	0	0	4205.35	3.370	129008.00	7.091	7.330	B881983006	沪Ａ	17600	17600	
600683	京投发展	57900	57900	0	0	-20383.17	-7.617	247233.00	4.622	4.270	B881983006	沪Ａ	57900	57900	
600573	惠泉啤酒	6500	6500	0	0	-1110.68	-2.321	46735.00	7.361	7.190	B881983006	沪Ａ	6500	6500	
600463	空港股份	40400	40400	0	0	-8117.17	-2.730	289264.00	7.361	7.160	B881983006	沪Ａ	40400	40400	
600444	国机通用	21400	21400	0	0	9820.56	4.459	230050.00	10.291	10.750	B881983006	沪Ａ	21400	21400	
600310	桂东电力	40900	40900	0	0	213.90	0.128	167281.00	4.085	4.090	B881983006	沪Ａ	40900	40900	
600281	太化股份	15001	15001	0	0	2823.17	4.668	63304.22	4.032	4.220	B881983006	沪Ａ	15001	15001	
600278	东方创业	2100	2100	0	0	92.38	0.445	20853.00	9.886	9.930	B881983006	沪Ａ	2100	2100	
600213	亚星客车	47200	47200	0	0	-2648.78	-0.741	354944.00	7.576	7.520	B881983006	沪Ａ	47200	47200	
600207	安彩高科	33400	0	33400	0	-45.31	-0.027	169672.00	5.081	5.080	B881983006	沪Ａ	33400	0	
600173	卧龙地产	13300	13300	0	0	7799.74	11.815	73815.00	4.964	5.550	B881983006	沪Ａ	13300	13300	
600135	乐凯胶片	43700	43700	0	0	33150.19	10.667	343919.00	7.111	7.870	B881983006	沪Ａ	43700	43700	
600099	林海股份	36900	36900	0	0	6172.48	2.463	256824.00	6.793	6.960	B881983006	沪Ａ	36900	36900	
600058	五矿发展	0	0	0	18300	-10412.73	0.000	0.00	0.000	6.800	B881983006	沪Ａ	0	18300	
