标题：资金股票
营业部名称：中航信交易7-1
股东：鸣石傲华７

------------------------------
资金帐户	货币单位	资金余额	可用金额	总市值	总资产	
260600086508	人民币	3450649.760	3015462.810	34053183.420	37068647.230	

------------------------------
证券代码	证券名称	当前持仓	可用余额	买入冻结	卖出冻结	参考盈亏	盈亏比例()	参考市值	参考成本价	参考市价	股东代码	交易市场	股份实时余额	股份余额	
600287	江苏舜天	55402	0	55402	0	1364.36	0.392	349586.62	6.285	6.310	B882678523	沪Ａ	55402	0	
603843	正平股份	45900	0	45900	0	193.03	0.079	245565.00	5.346	5.350	B882678523	沪Ａ	45900	0	
000565	渝三峡Ａ	41250	0	41250	0	642.23	0.294	219450.00	5.304	5.320	0899193145	深Ａ	41250	0	
002667	鞍重股份	54070	25300	28770	0	-3671.80	-0.843	432019.30	8.058	7.990	0899193145	深Ａ	54070	25300	
603963	大理药业	20400	0	20400	0	2038.77	1.087	189516.00	9.190	9.290	B882678523	沪Ａ	20400	0	
300421	力星股份	15200	0	15200	0	88.25	0.089	98800.00	6.494	6.500	0899193145	深Ａ	15200	0	
300490	华自科技	28600	14500	14100	0	-6823.08	-2.568	258830.00	9.289	9.050	0899193145	深Ａ	28600	14500	
002096	南岭民爆	6200	0	6200	0	59.81	0.146	41044.00	6.610	6.620	0899193145	深Ａ	6200	0	
603286	日盈电子	12600	7500	5100	0	460.87	0.207	223272.00	17.683	17.720	B882678523	沪Ａ	12600	7500	
300129	泰胜风能	124700	124200	500	0	27201.28	4.699	606042.00	4.642	4.860	0899193145	深Ａ	124700	124200	
603706	东方环宇	100	0	100	0	-4.44	-0.224	1975.00	19.794	19.750	B882678523	沪Ａ	100	0	
000950	重药控股	17800	17800	0	0	-2872.42	-2.960	94162.00	5.451	5.290	0899193145	深Ａ	17800	17800	
000828	东莞控股	6600	6600	0	0	939.85	1.850	51744.00	7.698	7.840	0899193145	深Ａ	6600	6600	
000885	城发环境	42800	42800	0	0	-23771.43	-4.082	558540.00	13.605	13.050	0899193145	深Ａ	42800	42800	
000900	现代投资	26329	26329	0	0	-1951.72	-1.865	102683.10	3.974	3.900	0899193145	深Ａ	26329	26329	
000918	嘉凯城	96000	96000	0	0	-19328.25	-3.893	477120.00	5.171	4.970	0899193145	深Ａ	96000	96000	
000798	中水渔业	9840	9840	0	0	3276.25	5.694	60811.20	5.847	6.180	0899193145	深Ａ	9840	9840	
000701	厦门信达	0	0	0	54100	7291.63	0.000	0.00	0.000	5.220	0899193145	深Ａ	0	54100	
000811	冰轮环境	76400	76400	0	0	-7395.61	-1.374	530980.00	7.047	6.950	0899193145	深Ａ	76400	76400	
000957	中通客车	21800	21800	0	0	-1632.26	-1.013	159576.00	7.395	7.320	0899193145	深Ａ	21800	21800	
