标题：资金股票
营业部名称：中航信交易6-1
股东：鸣石傲华１

------------------------------
资金帐户	货币单位	资金余额	可用金额	总市值	总资产	
221751897999	人民币	2932772.880	2424899.840	35219107.890	37644008.730	

------------------------------
证券代码	证券名称	当前持仓	可用余额	买入冻结	卖出冻结	参考盈亏	盈亏比例()	参考市值	参考成本价	参考市价	股东代码	交易市场	股份实时余额	股份余额	
603987	康德莱	12000	12000	0	0	11402.06	5.972	202320.00	15.910	16.860	B882884475	沪Ａ	12000	12000	
603898	好莱客	200	200	0	4500	-1310.53	-31.169	2894.00	21.023	14.470	B882884475	沪Ａ	200	4700	
603890	春秋电子	3500	0	3500	0	102.16	0.175	58625.00	16.721	16.750	B882884475	沪Ａ	3500	0	
603855	华荣股份	0	0	0	200	5707.81	0.000	0.00	0.000	18.010	B882884475	沪Ａ	0	200	
603826	坤彩科技	9300	9300	0	0	8528.30	2.779	315363.00	32.993	33.910	B882884475	沪Ａ	9300	9300	
603801	志邦家居	800	800	0	3600	12380.34	116.055	23048.00	13.335	28.810	B882884475	沪Ａ	800	4400	
603718	海利生物	35000	35000	0	0	-18281.68	-2.651	671300.00	19.702	19.180	B882884475	沪Ａ	35000	35000	
603713	密尔克卫	100	100	0	0	-6637.15	-40.480	9759.00	163.962	97.590	B882884475	沪Ａ	100	100	
603666	亿嘉和	380	380	0	0	995.37	3.020	33956.80	86.741	89.360	B882884475	沪Ａ	380	380	
603661	恒林股份	2300	2300	0	0	-5339.32	-4.450	114632.00	52.161	49.840	B882884475	沪Ａ	2300	2300	
603658	安图生物	1000	1000	0	0	12796.34	9.286	150600.00	137.804	150.600	B882884475	沪Ａ	1000	1000	
603566	普莱柯	9300	9300	0	0	25887.27	11.663	247845.00	23.866	26.650	B882884475	沪Ａ	9300	9300	
603520	司太立	3300	3300	0	0	-32632.18	-11.740	245322.00	84.229	74.340	B882884475	沪Ａ	3300	3300	
603466	风语筑	900	900	0	7500	9097.99	93.591	18819.00	10.801	20.910	B882884475	沪Ａ	900	8400	
603393	新天然气	2100	2100	0	0	-2850.90	-3.502	78561.00	38.768	37.410	B882884475	沪Ａ	2100	2100	
603313	梦百合	5300	5300	0	0	6279.59	5.045	130751.00	23.485	24.670	B882884475	沪Ａ	5300	5300	
603301	振德医疗	1000	1000	0	3300	45775.31	384.838	57670.00	11.895	57.670	B882884475	沪Ａ	1000	4300	
603297	永新光学	100	100	0	1100	6143.24	0.000	4464.00	-16.792	44.640	B882884475	沪Ａ	100	1200	
603283	赛腾股份	200	200	0	0	1275.93	13.556	10688.00	47.060	53.440	B882884475	沪Ａ	200	200	
603185	上机数控	600	600	0	900	3481.40	13.066	30126.00	44.408	50.210	B882884475	沪Ａ	600	1500	
601990	南京证券	49300	0	49300	0	24588.01	3.318	765629.00	15.031	15.530	B882884475	沪Ａ	49300	0	
601968	宝钢包装	78112	78112	0	18300	-4323.05	-0.905	473358.72	6.115	6.060	B882884475	沪Ａ	78112	96412	
