标题：资金股票
营业部名称：中航信交易11-1
股东：上海鸣石投

------------------------------
资金帐户	货币单位	资金余额	可用金额	总市值	总资产	
203600000495	人民币	3617867.960	5060447.470	122482510.750	127542959.220	

------------------------------
证券代码	证券名称	当前持仓	可用余额	买入冻结	卖出冻结	参考盈亏	盈亏比例()	参考市值	参考成本价	参考市价	股东代码	交易市场	股份实时余额	股份余额	
603938	三孚股份	28500	0	28500	0	-17769.31	-2.123	819375.00	29.373	28.750	B883263371	沪Ａ	28500	0	
603806	福斯特	5100	5100	0	0	-66132.03	-16.224	341496.00	79.927	66.960	B883263371	沪Ａ	5100	5100	
603801	志邦家居	13890	13890	0	0	-6387.32	-1.104	572268.00	41.660	41.200	B883263371	沪Ａ	13890	13890	
603766	隆鑫通用	47500	47500	0	0	35134.80	19.671	213750.00	3.760	4.500	B883263371	沪Ａ	47500	47500	
603733	仙鹤股份	19800	19800	0	0	-4695.38	-0.999	465300.00	23.737	23.500	B883263371	沪Ａ	19800	19800	
603722	阿科力	14400	14400	0	0	-18600.30	-3.113	578880.00	41.492	40.200	B883263371	沪Ａ	14400	14400	
603718	海利生物	56950	56950	0	0	-382569.90	-16.914	1879350.00	39.718	33.000	B883263371	沪Ａ	56950	56950	
603700	宁水集团	18300	0	18300	0	-31339.28	-4.439	674721.00	38.583	36.870	B883263371	沪Ａ	18300	0	
603699	纽威股份	6400	0	6400	0	-1095.99	-1.047	103552.00	16.351	16.180	B883263371	沪Ａ	6400	0	
603666	亿嘉和	2900	2900	0	0	-15746.32	-4.712	318449.00	115.240	109.810	B883263371	沪Ａ	2900	2900	
603659	璞泰来	15600	0	15600	0	-28379.17	-1.890	1472952.00	96.239	94.420	B883263371	沪Ａ	15600	0	
603638	艾迪精密	2800	0	2800	0	-962.10	-0.554	172760.00	62.044	61.700	B883263371	沪Ａ	2800	0	
603618	杭电股份	95400	0	95400	0	-6416.97	-1.061	598158.00	6.337	6.270	B883263371	沪Ａ	95400	0	
603605	珀莱雅	3808	3008	800	0	20276.86	3.169	660040.64	168.005	173.330	B883263371	沪Ａ	3808	3008	
603520	司太立	15664	15664	0	0	224526.43	20.841	1301835.04	68.776	83.110	B883263371	沪Ａ	15664	15664	
603501	韦尔股份	0	0	0	7600	7770.89	0.000	0.00	0.000	187.300	B883263371	沪Ａ	0	7600	
603444	吉比特	1400	0	1400	0	9393.08	1.230	772800.00	545.291	552.000	B883263371	沪Ａ	1400	0	
603345	安井食品	0	0	0	500	22401.54	0.000	0.00	0.000	168.700	B883263371	沪Ａ	0	500	
603317	天味食品	0	0	0	45	89401.83	0.000	0.00	0.000	62.400	B883263371	沪Ａ	0	45	
603308	应流股份	54300	54300	0	0	1671.91	0.115	1449810.00	26.669	26.700	B883263371	沪Ａ	54300	54300	
603306	华懋科技	10280	0	10280	0	1734.18	0.891	196348.00	18.931	19.100	B883263371	沪Ａ	10280	0	
603301	振德医疗	0	0	0	2100	18443.92	0.000	0.00	0.000	77.110	B883263371	沪Ａ	0	2100	
603298	杭叉集团	40	40	0	35800	-4719.27	-87.940	647.20	134.162	16.180	B883263371	沪Ａ	40	35840	
603185	上机数控	0	0	0	50	5557.22	0.000	0.00	0.000	69.320	B883263371	沪Ａ	0	50	
603127	昭衍新药	6100	6100	0	0	-26266.87	-4.769	524478.00	90.286	85.980	B883263371	沪Ａ	6100	6100	
603069	海汽集团	38400	38400	0	11000	-127713.29	-6.441	1855104.00	51.636	48.310	B883263371	沪Ａ	38400	49400	
603043	广州酒家	48700	48700	0	0	-71874.48	-3.266	2128677.00	45.186	43.710	B883263371	沪Ａ	48700	48700	
603010	万盛股份	8400	8400	0	0	5291.81	2.895	188076.00	21.760	22.390	B883263371	沪Ａ	8400	8400	
601888	中国中免	11600	7400	4200	0	-26867.04	-1.145	2320000.00	202.316	200.000	B883263371	沪Ａ	11600	7400	
601717	郑煤机	48500	0	48500	0	-3986.90	-1.071	368115.00	7.672	7.590	B883263371	沪Ａ	48500	0	
601611	中国核建	58100	28100	30000	30000	14442.98	2.728	543816.00	9.111	9.360	B883263371	沪Ａ	58100	58100	
601216	君正集团	0	0	0	282600	447098.21	0.000	0.00	0.000	10.380	B883263371	沪Ａ	0	282600	
600989	宝丰能源	132300	132300	0	0	12789.96	0.725	1776789.00	13.333	13.430	B883263371	沪Ａ	132300	132300	
600988	赤峰黄金	78724	78724	0	42276	352537.13	24.752	1776800.68	18.092	22.570	B883263371	沪Ａ	78724	121000	
600967	内蒙一机	172500	101900	70600	0	-73112.96	-3.077	2302875.00	13.774	13.350	B883263371	沪Ａ	172500	101900	
600917	重庆燃气	28300	0	28300	0	-1056.90	-0.496	211967.00	7.527	7.490	B883263371	沪Ａ	28300	0	
600893	航发动力	21400	0	21400	0	-35553.40	-3.352	1025060.00	49.561	47.900	B883263371	沪Ａ	21400	0	
600885	宏发股份	25100	25100	0	0	-21188.19	-1.766	1178696.00	47.804	46.960	B883263371	沪Ａ	25100	25100	
600827	百联股份	0	0	0	124100	54748.53	0.000	0.00	0.000	18.170	B883263371	沪Ａ	0	124100	
600811	东方集团	0	0	0	156000	13032.73	0.000	0.00	0.000	5.360	B883263371	沪Ａ	0	156000	
600801	华新水泥	38300	38300	0	0	-715.29	-0.067	1073166.00	28.039	28.020	B883263371	沪Ａ	38300	38300	
600765	中航重机	84400	84400	0	0	-54957.91	-4.272	1231396.00	15.241	14.590	B883263371	沪Ａ	84400	84400	
600733	北汽蓝谷	132200	132200	0	0	-14682.23	-1.499	965060.00	7.411	7.300	B883263371	沪Ａ	132200	132200	
600676	交运股份	0	0	0	21	-3026.97	0.000	0.00	0.000	5.640	B883263371	沪Ａ	0	21	
600636	国新文化	7500	7500	0	0	2392.22	1.893	128775.00	16.851	17.170	B883263371	沪Ａ	7500	7500	
600603	广汇物流	7300	7300	0	0	-15654.46	-28.126	40004.00	7.624	5.480	B883263371	沪Ａ	7300	7300	
600592	龙溪股份	27700	0	27700	0	-3667.88	-1.063	341264.00	12.452	12.320	B883263371	沪Ａ	27700	0	
600563	法拉电子	11200	0	11200	0	-25675.76	-3.388	732144.00	67.662	65.370	B883263371	沪Ａ	11200	0	
600556	天下秀	31100	0	31100	0	-9752.47	-1.435	669894.00	21.854	21.540	B883263371	沪Ａ	31100	0	
600511	国药股份	0	0	0	2200	6458.82	0.000	0.00	0.000	47.410	B883263371	沪Ａ	0	2200	
600496	精工钢构	85600	85600	0	0	54538.35	9.858	607760.00	6.463	7.100	B883263371	沪Ａ	85600	85600	
600458	时代新材	78200	0	78200	0	-2535.75	-0.417	605268.00	7.772	7.740	B883263371	沪Ａ	78200	0	
600436	片仔癀	11900	0	11900	0	-25360.93	-1.037	2420341.00	205.521	203.390	B883263371	沪Ａ	11900	0	
600391	航发科技	44200	44200	0	0	-22731.40	-1.706	1309646.00	30.144	29.630	B883263371	沪Ａ	44200	44200	
600389	江山股份	12100	12100	0	0	4836.77	1.768	278421.00	22.610	23.010	B883263371	沪Ａ	12100	12100	
600363	联创光电	99447	1947	97500	97553	129756.97	5.625	2436451.50	23.195	24.500	B883263371	沪Ａ	99447	99500	
600337	美克家居	13400	0	13400	0	-1130.92	-1.387	80400.00	6.084	6.000	B883263371	沪Ａ	13400	0	
600211	西藏药业	9500	9500	0	0	-46075.64	-4.247	1038730.00	114.190	109.340	B883263371	沪Ａ	9500	9500	
600161	天坛生物	0	0	0	100	36941.92	0.000	0.00	0.000	44.610	B883263371	沪Ａ	0	100	
600127	金健米业	0	0	0	116400	221534.86	0.000	0.00	0.000	15.810	B883263371	沪Ａ	0	116400	
600118	中国卫星	60700	50600	10100	10100	179359.67	6.965	2754566.00	42.425	45.380	B883263371	沪Ａ	60700	60700	
600079	人福医药	16700	16700	0	0	8947.63	1.486	610886.00	36.044	36.580	B883263371	沪Ａ	16700	16700	
600073	上海梅林	0	0	0	35100	94490.90	0.000	0.00	0.000	12.060	B883263371	沪Ａ	0	35100	
511990	华宝添益	15	15	0	0	42434.45	0.000	1500.08	-2728.958	100.005	B883263371	沪Ａ	15	15	
300776	帝尔激光	2400	2400	0	0	-22434.91	-8.171	252120.00	114.398	105.050	0899226926	深Ａ	2400	2400	
300759	康龙化成	3100	3100	0	0	2425.01	0.848	288362.00	92.238	93.020	0899226926	深Ａ	3100	3100	
