标题：资金股票
营业部名称：DbzqJY-tc-107
股东：鸣石宽墨三号
资金余额：2586610.77 	 可取金额：2586610.77
冻结金额：0.00 	 股票市值：28177826.78
可用余额：3003347.01 	 总 资 产：30764437.55

------------------------------
证券代码	证券名称	股票余额	可用余额	冻结数量	参考盈亏	参考成本价	参考盈亏比	市价	市值	成本金额	市场代码	交易市场	股东帐户	实际数量	单位数量	资讯	历史成交	退市日期	回报买入数量	回报卖出数量	
000070	特发信息	30500.00	0.00	0	-36451.420	14.297	-8.372	13.100	399550.000	436058.500	1	深圳Ａ股	0899204000	30500	1			0	0.00	0.00	
000333	美的集团	7700.00	0.00	0	2333.640	69.676	0.436	69.980	538846.000	536505.200	1	深圳Ａ股	0899204000	7700	1			0	0.00	0.00	
000526	紫光学大	900.00	0.00	0	-1020.200	72.155	-1.573	71.020	63918.000	64939.500	1	深圳Ａ股	0899204000	900	1			0	0.00	0.00	
000725	京东方Ａ	114200.00	0.00	0	1454.780	5.337	0.244	5.350	610970.000	609485.400	1	深圳Ａ股	0899204000	114200	1			0	0.00	0.00	
000768	中航飞机	20900.00	0.00	0	-63763.420	27.795	-10.991	24.740	517066.000	580915.500	1	深圳Ａ股	0899204000	20900	1			0	0.00	0.00	
000799	酒鬼酒	6700.00	0.00	0	18575.190	73.844	3.759	76.620	513354.000	494754.800	1	深圳Ａ股	0899204000	6700	1			0	0.00	0.00	
000828	东莞控股	42400.00	0.00	0	-92825.380	13.392	-16.368	11.200	474880.000	567820.800	1	深圳Ａ股	0899204000	42400	1			0	0.00	0.00	
000881	中广核技	19500.00	0.00	0	22679.290	10.265	11.349	11.430	222885.000	200167.500	1	深圳Ａ股	0899204000	19500	1			0	0.00	0.00	
000901	航天科技	12600.00	0.00	0	-3230.950	12.307	-2.088	12.050	151830.000	155068.200	1	深圳Ａ股	0899204000	12600	1			0	0.00	0.00	
000930	中粮科技	9600.00	0.00	0	8147.950	9.540	8.910	10.390	99744.000	91584.000	1	深圳Ａ股	0899204000	9600	1			0	0.00	0.00	
002013	中航机电	48388.00	0.00	0	-81971.150	11.666	-14.538	9.970	482428.360	564494.408	1	深圳Ａ股	0899204000	48388	1			0	0.00	0.00	
