-------------------------------------------------------------------------------------------------------

流水号        开仓日期        到期日          证券代码        证券名称        融券数量        偿还数量        剩余数量        权益补偿金额        权益补偿数量        卖均价         融券市值          融券利息        已还利息        逾期罚息        已还罚息        展期结转费用        合约参考盈亏        状态说明        合约本金状态        券源标识        
12992         20200629        20201228        600021          上海电力        700             700             0               0.00                0                   7.360          0.00              0.00            0.00            0.00            0.00            0.00                -369.35             已偿还          本金已还完          预约券源        
12993         20200629        20201228        600026          中远海能        800             800             0               0.00                0                   6.380          0.00              0.00            0.00            0.00            0.00            0.00                -1119.81            已偿还          本金已还完          预约券源        
12994         20200629        20201228        600022          山东钢铁        3000            3000            0               0.00                0                   1.290          0.00              0.00            0.00            0.00            0.00            0.00                -428.95             已偿还          本金已还完          预约券源        
12996         20200629        20201228        600037          歌华有线        500             500             0               0.00                0                   14.920         0.00              0.00            0.00            0.00            0.00            0.00                -91.11              已偿还          本金已还完          预约券源        
12997         20200629        20201228        600008          XR首创股        1900            1900            0               0.00                0                   3.010          0.00              0.00            0.00            0.00            0.00            0.00                -605.53             已偿还          本金已还完          预约券源        
12999         20200629        20201228        600073          上海梅林        400             400             0               0.00                0                   9.290          0.00              0.00            0.00            0.00            0.00            0.00                -655.20             已偿还          本金已还完          预约券源        
13000         20200629        20201228        600058          五矿发展        200             200             0               0.00                0                   5.980          0.00              0.00            0.00            0.00            0.00            0.00                -213.62             已偿还          本金已还完          预约券源        
13001         20200629        20201228        600079          人福医药        500             500             0               0.00                0                   24.730         0.00              0.00            0.00            0.00            0.00            0.00                -2892.62            已偿还          本金已还完          预约券源        
13002         20200629        20201228        600256          广汇能源        2200            2200            0               0.00                0                   2.710          0.00              0.00            0.00            0.00            0.00            0.00                -475.28             已偿还          本金已还完          预约券源        
13003         20200629        20201228        600167          联美控股        500             500             0               0.00                0                   14.210         0.00              0.00            0.00            0.00            0.00            0.00                -357.25             已偿还          本金已还完          预约券源        
13004         20200629        20201228        600277          亿利洁能        800             800             0               0.00                0                   3.280          0.00              0.00            0.00            0.00            0.00            0.00                -426.87             已偿还          本金已还完          预约券源        
13005         20200629        20201228        600273          嘉化能源        500             500             0               0.00                0                   8.530          0.00              0.00            0.00            0.00            0.00            0.00                -1291.36            已偿还          本金已还完          预约券源        
13006         20200629        20201228        600335          国机汽车        200             200             0               0.00                0                   4.650          0.00              0.00            0.00            0.00            0.00            0.00                -110.55             已偿还          本金已还完          预约券源        
