标题：资金股票
营业部名称：华泰证券(135)
股东：鸣石量化五号
资金余额：1417038.80 	 可取金额：938080.68
冻结金额：0.00 	 股票市值：19522817.00
可用余额：938080.68 	 总 资 产：20464031.67

------------------------------
证券代码	证券名称	股票余额	可用余额	冻结数量	成本价	保本价	市价	盈亏比()	盈亏	市值	交易市场	股东帐户	在途数量	
511990	华宝添益	10	10	0	-19629.440	0.000	100.026	19724.34	197294.660	1000.260	上海Ａ	B881977495	0	
600006	东风汽车	3500	3400	0	4.351	4.357	4.300	-1.31	-198.851	15050.000	上海Ａ	B881977495	100	
600021	上海电力	5400	5400	0	8.231	8.240	7.540	-8.50	-3777.930	40716.000	上海Ａ	B881977495	0	
600026	中远海能	5600	5600	0	7.827	7.836	7.120	-9.14	-4004.869	39872.000	上海Ａ	B881977495	0	
600037	歌华有线	3900	3700	0	13.165	13.180	12.430	-5.69	-2920.947	48477.000	上海Ａ	B881977495	200	
600039	四川路桥	9200	8800	0	4.345	4.350	4.300	-1.15	-459.351	39560.000	上海Ａ	B881977495	400	
600053	九鼎投资	600	0	0	29.056	29.094	29.100	0.02	3.591	17460.000	上海Ａ	B881977495	600	
600056	中国医药	2200	0	0	12.758	12.773	15.480	21.19	5948.663	34056.000	上海Ａ	B881977495	2200	
600058	五矿发展	1800	1800	0	5.242	5.250	6.820	29.92	2822.878	12276.000	上海Ａ	B881977495	0	
600060	海信视像	3600	3400	0	14.111	14.127	13.400	-5.14	-2613.805	48240.000	上海Ａ	B881977495	200	
600064	南京高科	3700	3600	0	10.657	10.669	10.320	-3.27	-1290.848	38184.000	上海Ａ	B881977495	100	
600073	上海梅林	2700	2700	0	8.380	8.390	9.900	18.00	4071.735	26730.000	上海Ａ	B881977495	0	
600120	浙江东方	4800	4600	0	7.911	7.920	6.960	-12.12	-4603.876	33408.000	上海Ａ	B881977495	200	
600125	铁龙物流	3900	3800	0	5.979	5.986	5.690	-4.95	-1154.735	22191.000	上海Ａ	B881977495	100	
600126	杭钢股份	0	0	0	8.076	8.076	7.970	-1.31	897.750	0.000	上海Ａ	B881977495	0	
600132	重庆啤酒	1100	300	0	71.322	71.402	69.600	-2.52	-1979.947	76560.000	上海Ａ	B881977495	800	
600138	中青旅	2400	2400	0	10.927	10.940	10.550	-3.57	-935.626	25320.000	上海Ａ	B881977495	0	
600141	兴发集团	2200	2100	0	8.028	8.038	9.770	21.55	3805.476	21494.000	上海Ａ	B881977495	100	
600143	金发科技	7500	0	0	12.714	12.728	15.240	19.73	18816.984	114300.000	上海Ａ	B881977495	7500	
600158	中体产业	2800	2800	0	8.410	8.420	8.850	5.10	1201.724	24780.000	上海Ａ	B881977495	0	
600160	巨化股份	5500	5500	0	6.354	6.361	7.080	11.30	3948.281	38940.000	上海Ａ	B881977495	0	
600171	上海贝岭	2500	2300	0	18.207	18.228	17.320	-4.98	-2266.666	43300.000	上海Ａ	B881977495	200	
600195	中牧股份	2200	0	0	15.432	15.450	15.150	-1.94	-659.397	33330.000	上海Ａ	B881977495	2200	
600201	生物股份	4900	4700	0	27.582	27.613	26.070	-5.59	-7551.872	127743.000	上海Ａ	B881977495	200	
600216	浙江医药	2900	0	0	18.225	18.245	18.300	0.30	158.062	53070.000	上海Ａ	B881977495	2900	
600259	广晟有色	700	700	0	34.033	34.075	34.510	1.28	304.260	24157.000	上海Ａ	B881977495	0	
600266	城建发展	4960	4960	0	6.003	6.010	5.510	-8.32	-2478.156	27329.600	上海Ａ	B881977495	0	
600273	嘉化能源	3900	3900	0	11.863	11.876	11.410	-3.93	-1817.089	44499.000	上海Ａ	B881977495	0	
600312	平高电气	3500	3500	0	7.698	7.707	8.080	4.84	1303.154	28280.000	上海Ａ	B881977495	0	
600315	上海家化	1500	1500	0	42.397	42.445	43.310	2.04	1296.739	64965.000	上海Ａ	B881977495	0	
600316	洪都航空	2800	0	0	21.035	21.059	27.200	29.16	17176.701	76160.000	上海Ａ	B881977495	2800	
600325	华发股份	6800	6800	0	7.712	7.721	7.030	-8.95	-4691.360	47804.000	上海Ａ	B881977495	0	
600329	中新药业	1200	1200	0	17.249	17.271	17.560	1.68	346.707	21072.000	上海Ａ	B881977495	0	
600335	国机汽车	3700	3700	0	5.060	5.067	4.880	-3.68	-689.417	18056.000	上海Ａ	B881977495	0	
