标题：资金股票
营业部名称：华泰证券(212)
股东：鸣石量化十三号
资金余额：52382964.53 	 可取金额：34503410.46
冻结金额：0.00 	 股票市值：565017612.91
可用余额：34503410.46 	 总 资 产：599537172.37

------------------------------
证券代码	证券名称	股票余额	可用余额	冻结数量	成本价	保本价	市价	盈亏比()	盈亏	市值	交易市场	股东帐户	在途数量	
511990	华宝添益	22	22	0	-33216.250	0.000	100.010	0.00	732957.720	2200.220	上海Ａ	B881924947	0	
600029	南方航空	1251100	1251100	0	5.713	5.720	5.700	-0.34	-24607.886	7131270.000	上海Ａ	B881924947	0	
600105	XD永鼎股	894400	894400	0	4.919	4.925	5.040	2.34	102948.302	4507776.000	上海Ａ	B881924947	0	
600110	诺德股份	293300	293300	0	5.394	5.400	5.650	4.62	73145.940	1657145.000	上海Ａ	B881924947	0	
600115	东方航空	1366598	1366598	0	4.693	4.698	4.680	-0.39	-25248.718	6395678.640	上海Ａ	B881924947	0	
600136	当代文体	185300	185300	0	9.348	9.359	9.520	1.72	29807.654	1764056.000	上海Ａ	B881924947	0	
600160	巨化股份	68949	68949	0	4.008	4.013	8.100	101.86	281485.878	558486.900	上海Ａ	B881924947	0	
600182	S佳通	25	25	0	41.245	41.487	14.810	-64.61	-666.253	370.250	上海Ａ	B881924947	0	
600197	伊力特	119301	119301	0	16.724	16.744	23.190	38.50	768163.355	2766590.190	上海Ａ	B881924947	0	
600203	福日电子	274000	274000	0	10.362	10.374	10.780	3.91	111076.148	2953720.000	上海Ａ	B881924947	0	
600230	沧州大化	124280	124280	0	9.597	9.608	10.350	7.72	92077.871	1286298.000	上海Ａ	B881924947	0	
600335	国机汽车	70400	70400	0	5.295	5.301	5.350	0.92	3431.331	376640.000	上海Ａ	B881924947	0	
600345	长江通信	63100	63100	0	22.512	22.538	23.100	2.49	35397.396	1457610.000	上海Ａ	B881924947	0	
600458	时代新材	220800	220800	0	7.188	7.196	7.380	2.55	40487.080	1629504.000	上海Ａ	B881924947	0	
600478	科力远	1176350	459800	0	4.827	4.833	4.870	0.77	43880.325	5728824.500	上海Ａ	B881924947	716550	
600495	晋西车轴	78900	78900	0	3.966	3.971	4.320	8.80	27531.808	340848.000	上海Ａ	B881924947	0	
600499	科达洁能	217223	217223	0	4.491	4.496	4.860	8.09	78920.114	1055703.780	上海Ａ	B881924947	0	
600535	天士力	0	0	0	17.780	17.780	19.180	7.87	166722.940	0.000	上海Ａ	B881924947	0	
600538	国发股份	120200	0	0	8.577	8.587	8.530	-0.66	-6849.008	1025306.000	上海Ａ	B881924947	120200	
600583	海油工程	906700	906700	0	5.007	5.013	5.090	1.54	69856.429	4615103.000	上海Ａ	B881924947	0	
600602	云赛智联	34900	34900	0	7.858	7.867	8.150	3.60	9858.011	284435.000	上海Ａ	B881924947	0	
600611	大众交通	212200	212200	0	4.224	4.229	4.290	1.44	12940.105	910338.000	上海Ａ	B881924947	0	
600620	天宸股份	125900	125900	0	6.671	6.679	7.020	5.11	42905.033	883818.000	上海Ａ	B881924947	0	
600623	华谊集团	72200	72200	0	5.686	5.693	5.910	3.82	15673.559	426702.000	上海Ａ	B881924947	0	
600626	申达股份	106875	106875	0	5.440	5.446	5.980	9.80	56964.738	639112.500	上海Ａ	B881924947	0	
600635	大众公用	2260	2260	0	-31.248	0.000	5.560	0.00	83168.263	12565.600	上海Ａ	B881924947	0	
600640	号百控股	240700	149700	0	21.285	21.310	21.750	2.06	105800.287	5235225.000	上海Ａ	B881924947	91000	
600645	中源协和	11800	11800	0	13.675	13.691	33.100	141.76	228758.021	390580.000	上海Ａ	B881924947	0	
600707	彩虹股份	487900	487900	0	4.828	4.834	5.080	5.10	120050.918	2478532.000	上海Ａ	B881924947	0	
