标题：资金股票
营业部名称：华泰证券(1147)
股东：鸣石量化十四号
资金余额：3049560.50 	 可取金额：3049560.50
冻结金额：0.00 	 股票市值：25969526.15
可用余额：3096037.35 	 总 资 产：29065594.02

------------------------------
证券代码	证券名称	股票余额	可用余额	冻结数量	成本价	保本价	市价	盈亏比()	盈亏	市值	交易市场	股东帐户	在途数量	
511990	华宝添益	6	6	0	-14953.917	0.000	100.011	15052.17	90323.568	600.066	上海Ａ	B882702267	0	
600006	东风汽车	4400	4400	0	3.989	3.994	4.310	7.91	1388.057	18964.000	上海Ａ	B882702267	0	
600021	上海电力	7200	7200	0	8.051	8.060	7.850	-2.61	-1513.328	56520.000	上海Ａ	B882702267	0	
600026	中远海能	7500	7500	0	7.255	7.263	7.170	-1.29	-700.417	53775.000	上海Ａ	B882702267	0	
600037	歌华有线	4900	4900	0	13.167	13.182	13.180	-0.02	-11.861	64582.000	上海Ａ	B882702267	0	
600039	四川路桥	11700	11700	0	4.346	4.351	4.300	-1.17	-597.063	50310.000	上海Ａ	B882702267	0	
600053	九鼎投资	700	700	0	28.980	29.017	29.630	2.11	428.844	20741.000	上海Ａ	B882702267	0	
600056	中国医药	3000	3000	0	13.219	13.234	16.260	22.86	9065.927	48780.000	上海Ａ	B882702267	0	
600058	五矿发展	2400	2400	0	6.076	6.084	6.840	12.43	1811.856	16416.000	上海Ａ	B882702267	0	
600060	海信视像	4500	4500	0	14.761	14.778	13.780	-6.75	-4487.052	62010.000	上海Ａ	B882702267	0	
600062	华润双鹤	2800	2800	0	14.052	14.068	14.530	3.28	1290.800	40684.000	上海Ａ	B882702267	0	
600064	南京高科	4800	4800	0	11.261	11.274	10.460	-7.22	-3903.543	50208.000	上海Ａ	B882702267	0	
600073	上海梅林	3500	3500	0	9.078	9.089	10.750	18.28	5807.979	37625.000	上海Ａ	B882702267	0	
600079	人福医药	5500	0	0	32.993	33.032	32.920	-0.34	-613.340	181060.000	上海Ａ	B882702267	5500	
600089	特变电工	46500	0	0	8.707	8.717	8.730	0.15	594.544	405945.000	上海Ａ	B882702267	46500	
600120	浙江东方	6100	6100	0	7.275	7.284	7.310	0.36	161.329	44591.000	上海Ａ	B882702267	0	
600125	铁龙物流	4968	4968	0	5.991	5.998	5.840	-2.64	-784.761	29013.120	上海Ａ	B882702267	0	
600126	杭钢股份	6000	6000	0	8.141	8.151	8.200	0.61	296.436	49200.000	上海Ａ	B882702267	0	
600132	重庆啤酒	1400	1400	0	71.261	71.344	72.820	2.07	2063.321	101948.000	上海Ａ	B882702267	0	
600138	中青旅	3200	3200	0	10.557	10.569	10.730	1.52	513.427	34336.000	上海Ａ	B882702267	0	
600141	兴发集团	2800	2800	0	10.251	10.263	10.460	1.92	550.326	29288.000	上海Ａ	B882702267	0	
600155	华创阳安	3700	3700	0	13.373	13.389	13.490	0.76	374.502	49913.000	上海Ａ	B882702267	0	
600158	中体产业	3700	3700	0	8.774	8.784	8.830	0.52	168.876	32671.000	上海Ａ	B882702267	0	
600160	巨化股份	7300	7300	0	7.146	7.154	7.440	3.99	2082.655	54312.000	上海Ａ	B882702267	0	
600161	天坛生物	2900	2900	0	48.272	48.329	49.630	2.69	3769.805	143927.000	上海Ａ	B882702267	0	
600167	联美控股	3900	3900	0	13.899	13.915	14.590	4.85	2628.326	56901.000	上海Ａ	B882702267	0	
600171	上海贝岭	3100	3100	0	18.234	18.255	18.110	-0.80	-450.085	56141.000	上海Ａ	B882702267	0	
600195	中牧股份	0	0	0	15.949	15.949	17.000	6.59	2799.550	0.000	上海Ａ	B882702267	0	
600201	生物股份	6300	6300	0	24.569	24.598	29.190	18.67	28897.141	183897.000	上海Ａ	B882702267	0	
600216	浙江医药	3700	3700	0	18.225	18.246	18.770	2.87	1935.245	69449.000	上海Ａ	B882702267	0	
600258	首旅酒店	2800	2800	0	17.660	17.681	17.670	-0.06	-29.887	49476.000	上海Ａ	B882702267	0	
600259	广晟有色	900	900	0	34.422	34.463	33.980	-1.40	-433.994	30582.000	上海Ａ	B882702267	0	
600260	凯乐科技	4300	4300	0	13.577	13.593	14.250	4.83	2822.208	61275.000	上海Ａ	B882702267	0	
600266	城建发展	6080	6080	0	5.094	5.100	5.520	8.24	2550.813	33561.600	上海Ａ	B882702267	0	
600273	嘉化能源	5300	5300	0	12.613	12.628	13.030	3.19	2129.301	69059.000	上海Ａ	B882702267	0	
600298	安琪酵母	2900	2900	0	66.427	66.505	65.900	-0.91	-1751.899	191110.000	上海Ａ	B882702267	0	
600312	平高电气	4400	4400	0	8.185	8.195	8.300	1.29	463.272	36520.000	上海Ａ	B882702267	0	
600315	上海家化	2000	2000	0	43.880	43.931	46.550	5.96	5231.073	93100.000	上海Ａ	B882702267	0	
600325	华发股份	9000	9000	0	6.968	6.976	7.090	1.63	1023.342	63810.000	上海Ａ	B882702267	0	
600329	中新药业	1600	1600	0	17.698	17.719	19.100	7.79	2207.029	30560.000	上海Ａ	B882702267	0	
600335	国机汽车	2400	2400	0	5.524	5.532	4.980	-9.98	-1322.791	11952.000	上海Ａ	B882702267	0	
600348	阳泉煤业	7200	7200	0	5.061	5.067	4.870	-3.89	-1416.225	35064.000	上海Ａ	B882702267	0	
600350	山东高速	3600	0	0	6.645	6.653	6.750	1.46	348.214	24300.000	上海Ａ	B882702267	3600	
600373	中文传媒	3600	3600	0	12.717	12.732	12.670	-0.49	-222.566	45612.000	上海Ａ	B882702267	0	
600376	首开股份	7000	7000	0	6.734	6.742	6.750	0.12	56.718	47250.000	上海Ａ	B882702267	0	
600380	健康元	5100	5100	0	14.772	14.789	19.870	34.35	25881.236	101337.000	上海Ａ	B882702267	0	
600388	龙净环保	4200	4200	0	9.278	9.289	9.160	-1.39	-540.612	38472.000	上海Ａ	B882702267	0	
600392	盛和资源	6000	6000	0	7.157	7.165	8.520	18.91	8118.190	51120.000	上海Ａ	B882702267	0	
600410	华胜天成	5900	5900	0	14.412	14.429	14.600	1.19	1008.416	86140.000	上海Ａ	B882702267	0	
600415	小商品城	12500	12500	0	1.883	1.885	7.390	292.00	68729.421	92375.000	上海Ａ	B882702267	0	
600426	华鲁恒升	6200	6200	0	21.232	21.257	23.130	8.81	11599.815	143406.000	上海Ａ	B882702267	0	
600435	北方导航	5700	5700	0	8.724	8.734	8.860	1.44	716.113	50502.000	上海Ａ	B882702267	0	
600446	金证股份	0	0	0	20.553	20.553	19.480	-5.22	-12613.460	0.000	上海Ａ	B882702267	0	
600466	蓝光发展	8000	8000	0	5.332	5.338	5.350	0.22	93.924	42800.000	上海Ａ	B882702267	0	
600477	杭萧钢构	23500	0	0	4.521	4.526	4.500	-0.58	-617.227	105750.000	上海Ａ	B882702267	23500	
600478	科力远	129708	129708	0	5.107	5.113	4.480	-12.38	-82006.793	581091.840	上海Ａ	B882702267	0	
600486	扬农化工	1100	1100	0	91.246	91.353	95.900	4.98	4995.977	105490.000	上海Ａ	B882702267	0	
600500	中化国际	7310	7310	0	5.654	5.661	5.680	0.34	141.481	41520.800	上海Ａ	B882702267	0	
600507	方大特钢	5900	5900	0	5.879	5.886	5.660	-3.84	-1331.171	33394.000	上海Ａ	B882702267	0	
600515	海航基础	100	100	0	223.116	223.394	6.900	-96.93	-21627.304	690.000	上海Ａ	B882702267	0	
600528	中铁工业	6100	6100	0	9.932	9.944	9.500	-4.46	-2703.002	57950.000	上海Ａ	B882702267	0	
600535	天士力	5200	5200	0	17.017	17.037	17.340	1.78	1574.103	90168.000	上海Ａ	B882702267	0	
600545	卓郎智能	5300	5300	0	5.477	5.484	5.490	0.12	34.221	29097.000	上海Ａ	B882702267	0	
600549	厦门钨业	4800	4800	0	14.507	14.524	15.000	3.28	2282.160	72000.000	上海Ａ	B882702267	0	
600557	康缘药业	2300	2300	0	13.014	13.029	15.130	16.12	4826.085	34799.000	上海Ａ	B882702267	0	
