人民币: 余额:1498991.35  可用:11706.45  可取:11706.45  股票资产:23970312.93  总资产:23982019.38  盈亏:1443305.22 
-------------------------------------------------------------------------------------------------------

证券代码        证券名称        证券数量        可卖数量        成本价           当前价          最新市值          浮动盈亏         盈亏比例(%)        股东代码          
511990          华宝添益        30013           30013           96.922           99.9520         2999859.38        90940.51         3.13               B882357371        
600068          葛洲坝          60400           0               7.059            7.0100          423404.00         -2992.46         -0.69              B882357371        
600132          重庆啤酒        6600            6600            58.581           70.2000         463320.00         76595.61         19.83              B882357371        
600202          哈空调          19100           0               4.352            4.3500          83085.00          -43.38           -0.05              B882357371        
600337          美克家居        86600           0               4.586            4.5800          396628.00         -539.71          -0.13              B882357371        
600348          阳泉煤业        84100           0               5.041            5.0200          422182.00         -1758.56         -0.42              B882357371        
600436          片仔癀          0               0               146.329          172.3700        0.00              59440.94         17.80              B882357371        
600535          天士力          21400           21400           17.306           17.3500         371290.00         937.29           0.25               B882357371        
600543          莫高股份        63700           63700           6.422            6.2400          397488.00         -11525.65        -2.83              B882357371        
600570          恒生电子        0               0               102.682          113.6100        0.00              121545.71        10.64              B882357371        
600623          华谊集团        40500           0               5.636            5.6300          228015.00         -220.77          -0.11              B882357371        
600638          新黄浦          6400            6400            6.142            6.5600          41984.00          2672.31          6.81               B882357371        
600676          交运股份        16900           16900           5.617            5.6900          96161.00          1233.36          1.30               B882357371        
600679          上海凤凰        30700           0               12.527           12.5100         384057.00         -515.71          -0.14              B882357371        
600748          上实发展        52800           52800           5.746            6.1600          325248.00         21863.65         7.21               B882357371        
600779          水井坊          0               0               61.684           63.5600         0.00              12763.04         3.04               B882357371        
600822          上海物贸        20300           0               10.056           10.1100         205233.00         1092.18          0.54               B882357371        
600901          江苏租赁        68100           0               6.255            6.2500          425625.00         -335.02          -0.08              B882357371        
601011          宝泰隆          96200           0               4.236            4.2400          407888.00         407.14           0.09               B882357371        
601012          隆基股份        0               0               40.581           44.4600         0.00              36100.12         9.56               B882357371        
601799          星宇股份        0               0               115.961          126.3100        0.00              27590.50         8.92               B882357371        
601888          中国中免        1300            1300            163.690          201.0300        261339.00         48484.26         22.81              B882357371        
603029          天鹅股份        7700            0               15.688           15.6800         120736.00         -58.51           -0.05              B882357371        
603039          泛微网络        0               0               71.507           75.0000         0.00              17862.12         4.88               B882357371        
603060          国检集团        21140           21140           18.774           19.7500         417515.00         20604.32         5.20               B882357371        
603129          春风动力        2800            2800            63.874           71.9100         201348.00         22472.73         12.58              B882357371        
603181          皇马科技        10420           10420           19.961           21.8500         227677.00         19665.39         9.46               B882357371        
603223          恒通股份        27600           27600           13.619           13.2100         364596.00         -11275.87        -3.00              B882357371        
603338          浙江鼎力        5400            5400            66.623           74.2900         401166.00         41353.30         11.51              B882357371        
603444          吉比特          0               0               541.624          535.5600        0.00              -4393.73         -1.12              B882357371        
603583          捷昌驱动        6500            6500            52.130           68.5100         445315.00         106338.54        31.42              B882357371        
603650          彤程新材        3100            3100            22.518           27.2600         84506.00          14682.63         21.06              B882357371        
603659          璞泰来          0               0               95.318           109.3100        0.00              53519.95         14.68              B882357371        
603661          恒林股份        2000            2000            51.829           50.4100         100820.00         -2834.67         -2.74              B882357371        
603699          纽威股份        18100           18100           15.627           16.9400         306614.00         23733.34         8.40               B882357371        
603806          福斯特          0               0               48.266           50.1200         0.00              12601.45         3.84               B882357371        
603826          坤彩科技        12000           12000           33.086           32.1600         385920.00         -11103.92        -2.80              B882357371        
603886          元祖股份        20800           0               17.050           17.0600         354848.00         207.30           0.06               B882357371        
603939          益丰药房        0               0               84.674           80.7900         0.00              -6849.04         -4.59              B882357371        
000100          TCL科技         62600           0               6.539            6.5100          407526.00         -1806.66         -0.44              0899182956        
000403          双林生物        6100            6100            66.867           69.6800         425048.00         17138.03         4.21               0899182956        
000430          张家界          27500           0               4.992            5.0000          137500.00         214.78           0.16               0899182956        
000502          绿景控股        37600           0               7.143            7.1900          270344.00         1756.39          0.66               0899182956        
000534          万泽股份        4400            0               9.967            9.9400          43736.00          -119.79          -0.27              0899182956        
000759          中百集团        7200            0               6.589            6.5700          47304.00          -136.54          -0.29              0899182956        
000863          三湘印象        10400           10400           4.236            4.4500          46280.00          2225.37          5.05               0899182956        
000925          众合科技        9500            0               7.570            7.5700          71915.00          4.59             0.00               0899182956        
002050          三花智控        0               0               22.019           22.6800         0.00              11025.27         3.00               0899182956        
002198          嘉应制药        21900           21900           5.918            5.8700          128553.00         -1042.09         -0.81              0899182956        
002207          准油股份        17500           0               5.737            5.7200          100100.00         -298.36          -0.30              0899182956        
