标题：资金股票
营业部名称：上海7
股东：素养鸣石量
资金余额：8624919.14 	 可取金额：8624413.46
冻结金额：505.68 	 股票市值：186079691.78
可用余额：8624413.46 	 总 资 产：194704610.92

------------------------------
证券代码	证券名称	股票余额	可用余额	冻结数量	盈亏	成本价	盈亏比例()	市价	市值	交易市场	股东帐户	汇率	成本价港币	买入成本价港币	买入在途数量	卖出在途数量	
002013	中航机电	2700	2700	0	-2082.620	8.721	-8.841	7.950	21465.000	深圳Ａ股	0899216774	1.000000	8.721	8.811	0	0	
600004	白云机场	4400	4400	0	-1355.430	16.618	-1.853	16.310	71764.000	上海Ａ股	B883092788	1.000000	16.618	16.618	0	0	
600009	上海机场	1300	1300	0	867.730	73.633	0.906	74.300	96590.000	上海Ａ股	B883092788	1.000000	73.633	73.633	0	0	
600011	华能国际	1700	1700	0	-69.260	4.371	-0.938	4.330	7361.000	上海Ａ股	B883092788	1.000000	4.371	4.371	0	0	
600021	上海电力	100	100	0	-8.120	7.481	-1.083	7.400	740.000	上海Ａ股	B883092788	1.000000	7.481	7.481	0	0	
600026	中远海能	300	300	0	-119.960	6.890	-5.806	6.490	1947.000	上海Ａ股	B883092788	1.000000	6.890	6.706	0	0	
600029	南方航空	6700	6700	0	661.720	5.521	1.793	5.620	37654.000	上海Ａ股	B883092788	1.000000	5.521	5.521	0	0	
600031	三一重工	500	500	0	108.400	18.743	1.158	18.960	9480.000	上海Ａ股	B883092788	1.000000	18.743	18.743	0	0	
600039	四川路桥	1400	1400	0	13.040	4.061	0.222	4.070	5698.000	上海Ａ股	B883092788	1.000000	4.061	4.061	0	0	
600048	保利地产	5100	5100	0	-530.440	15.014	-0.693	14.910	76041.000	上海Ａ股	B883092788	1.000000	15.014	15.529	0	0	
600053	九鼎投资	500	500	0	647.060	24.366	5.311	25.660	12830.000	上海Ａ股	B883092788	1.000000	24.366	26.156	0	0	
600057	厦门象屿	900	900	0	-142.930	6.109	-2.603	5.950	5355.000	上海Ａ股	B883092788	1.000000	6.109	6.109	0	0	
600059	古越龙山	6900	6900	0	-4772.150	9.912	-6.981	9.220	63618.000	上海Ａ股	B883092788	1.000000	9.912	9.942	0	0	
600060	海信视像	5200	5200	0	738.660	12.658	1.122	12.800	66560.000	上海Ａ股	B883092788	1.000000	12.658	13.186	0	0	
600061	国投资本	100	100	0	3.800	12.032	0.316	12.070	1207.000	上海Ａ股	B883092788	1.000000	12.032	12.032	0	0	
600062	华润双鹤	300	300	0	-1.650	12.626	-0.048	12.620	3786.000	上海Ａ股	B883092788	1.000000	12.626	12.626	0	0	
600066	宇通客车	1000	1000	0	-52.000	11.772	-0.442	11.720	11720.000	上海Ａ股	B883092788	1.000000	11.772	11.772	0	0	
600070	浙江富润	1100	1100	0	42.250	9.322	0.408	9.360	10296.000	上海Ａ股	B883092788	1.000000	9.322	9.322	0	0	
600073	上海梅林	7100	7100	0	2907.350	9.511	4.300	9.920	70432.000	上海Ａ股	B883092788	1.000000	9.511	9.759	0	0	
600075	新疆天业	700	700	0	34.440	4.711	1.040	4.760	3332.000	上海Ａ股	B883092788	1.000000	4.711	4.711	0	0	
600079	人福医药	1700	1700	0	11008.800	16.354	39.599	22.830	38811.000	上海Ａ股	B883092788	1.000000	16.354	22.500	0	0	
600085	同仁堂	800	800	0	30.440	26.142	0.145	26.180	20944.000	上海Ａ股	B883092788	1.000000	26.142	26.142	0	0	
600088	中视传媒	800	800	0	-69.710	12.597	-0.691	12.510	10008.000	上海Ａ股	B883092788	1.000000	12.597	12.597	0	0	
600105	永鼎股份	500	500	0	16.890	4.116	0.826	4.150	2075.000	上海Ａ股	B883092788	1.000000	4.116	4.116	0	0	
600109	XD国金证	6900	6900	0	-1300.330	10.618	-1.771	10.430	71967.000	上海Ａ股	B883092788	1.000000	10.618	10.940	0	0	
600114	东睦股份	1100	1100	0	1266.190	8.999	12.790	10.150	11165.000	上海Ａ股	B883092788	1.000000	8.999	9.617	0	0	
600115	东方航空	4200	4200	0	656.310	4.394	3.550	4.550	19110.000	上海Ａ股	B883092788	1.000000	4.394	4.511	0	0	
600116	三峡水利	400	400	0	109.460	8.016	3.418	8.290	3316.000	上海Ａ股	B883092788	1.000000	8.016	8.016	0	0	
600118	中国卫星	3400	3400	0	-13011.110	36.687	-10.431	32.860	111724.000	上海Ａ股	B883092788	1.000000	36.687	34.472	0	0	
600125	铁龙物流	600	600	0	259.280	5.048	8.558	5.480	3288.000	上海Ａ股	B883092788	1.000000	5.048	5.571	0	0	
600126	杭钢股份	12900	12900	0	-2170.680	9.658	-1.739	9.490	122421.000	上海Ａ股	B883092788	1.000000	9.658	9.636	0	0	
600129	太极集团	500	500	0	-20.440	12.991	-0.316	12.950	6475.000	上海Ａ股	B883092788	1.000000	12.991	13.026	0	0	
