标题：资金股票
营业部名称：华泰证券(243)
股东：鸣石量化20号
资金余额：1481829.72 	 可取金额：1481829.72
冻结金额：0.00 	 股票市值：12450866.55
可用余额：1481829.72 	 总 资 产：13937637.54

------------------------------
证券代码	证券名称	股票余额	可用余额	冻结数量	成本价	保本价	市价	盈亏比()	盈亏	市值	交易市场	股东帐户	在途数量	
511990	华宝添益	65234	65234	0	99.539	99.539	99.991	0.45	29485.768	6522812.894	上海Ａ	B882396244	0	
600009	上海机场	200	200	0	73.173	73.273	71.520	-2.39	-350.190	14304.000	上海Ａ	B882396244	0	
600055	XD万东医	400	400	0	16.412	16.441	16.100	-2.08	-136.369	6440.000	上海Ａ	B882396244	0	
600059	古越龙山	100	100	0	8.802	8.861	9.080	2.48	21.874	908.000	上海Ａ	B882396244	0	
600060	海信视像	200	200	0	13.660	13.699	12.300	-10.23	-279.509	2460.000	上海Ａ	B882396244	0	
600079	人福医药	800	800	0	25.301	25.333	25.440	0.42	85.441	20352.000	上海Ａ	B882396244	0	
600129	太极集团	100	100	0	13.972	14.036	13.410	-4.48	-62.568	1341.000	上海Ａ	B882396244	0	
600143	金发科技	800	800	0	12.508	12.527	13.700	9.37	937.421	10960.000	上海Ａ	B882396244	0	
600151	航天机电	200	200	0	5.184	5.214	5.000	-4.13	-42.820	1000.000	上海Ａ	B882396244	0	
600153	建发股份	100	100	0	8.862	8.921	9.120	2.24	19.870	912.000	上海Ａ	B882396244	0	
600161	天坛生物	200	200	0	38.490	38.554	44.300	14.91	1147.963	8860.000	上海Ａ	B882396244	0	
600195	中牧股份	400	400	0	14.699	14.727	14.690	-0.25	-14.594	5876.000	上海Ａ	B882396244	0	
600197	伊力特	600	600	0	18.053	18.080	17.890	-1.05	-113.749	10734.000	上海Ａ	B882396244	0	
600198	大唐电信	900	900	0	12.372	12.390	15.000	21.07	2346.430	13500.000	上海Ａ	B882396244	0	
600201	生物股份	100	100	0	25.485	25.561	26.040	1.88	47.844	2604.000	上海Ａ	B882396244	0	
600233	圆通速递	300	300	0	16.793	16.827	16.270	-3.31	-166.879	4881.000	上海Ａ	B882396244	0	
600291	西水股份	800	800	0	8.885	8.900	9.290	4.38	311.419	7432.000	上海Ａ	B882396244	0	
600298	安琪酵母	800	800	0	44.050	44.102	45.580	3.35	1180.972	36464.000	上海Ａ	B882396244	0	
600305	恒顺醋业	1012	1012	0	17.419	17.442	18.390	5.44	958.669	18610.680	上海Ａ	B882396244	0	
600309	万华化学	100	100	0	47.729	47.828	48.940	2.33	111.108	4894.000	上海Ａ	B882396244	0	
600315	上海家化	400	400	0	38.581	38.633	51.500	33.32	5141.588	20600.000	上海Ａ	B882396244	0	
600330	天通股份	5600	5600	0	9.743	9.755	9.900	1.49	813.781	55440.000	上海Ａ	B882396244	0	
600346	恒力石化	200	200	0	14.333	14.373	13.700	-4.69	-134.395	2740.000	上海Ａ	B882396244	0	
600383	金地集团	100	100	0	13.202	13.266	13.330	0.49	6.440	1333.000	上海Ａ	B882396244	0	
600387	海越能源	600	600	0	8.744	8.761	8.350	-4.70	-246.510	5010.000	上海Ａ	B882396244	0	
600419	天润乳业	100	100	0	13.432	13.496	14.260	5.68	76.345	1426.000	上海Ａ	B882396244	0	
