标题：资金股票
营业部名称：HY4
股东：鸣石量化21号
资金余额：960894.96 	 可取金额：518068.69
冻结金额：0.00 	 股票市值：15333655.51
可用余额：518068.69 	 总 资 产：15851724.20

------------------------------
证券代码	证券名称	股票余额	可用余额	冻结数量	成本价	市价	盈亏比例()	市值	盈亏	交易市场	股东帐户	
511990	华宝添益	12	12	0	-1073.096	100.006	0.000	1200.070	14077.220	上海Ａ股	B882807392	
600066	宇通客车	5600	5600	0	14.963	14.610	-2.359	81816.000	-1976.760	上海Ａ股	B882807392	
600109	国金证券	6300	6300	0	16.880	14.510	-14.040	91413.000	-14930.540	上海Ａ股	B882807392	
600110	诺德股份	15200	15200	0	6.169	5.410	-12.303	82232.000	-11533.600	上海Ａ股	B882807392	
600161	天坛生物	1600	0	0	39.038	38.960	-0.200	62336.000	-124.180	上海Ａ股	B882807392	
600211	西藏药业	6100	5700	0	98.810	75.500	-23.591	460550.000	-142192.750	上海Ａ股	B882807392	
600362	江西铜业	0	0	0	15.870	15.410	-2.899	0.000	-759.230	上海Ａ股	B882807392	
600378	昊华科技	0	0	0	22.410	20.790	-7.229	0.000	-1091.770	上海Ａ股	B882807392	
600409	三友化工	5000	5000	0	6.621	6.330	-4.395	31650.000	-1456.620	上海Ａ股	B882807392	
600419	天润乳业	3000	3000	0	17.705	15.830	-10.590	47490.000	-5625.620	上海Ａ股	B882807392	
600436	片仔癀	2000	0	0	230.082	227.550	-1.100	455100.000	-5064.810	上海Ａ股	B882807392	
600496	精工钢构	61000	61000	0	6.321	5.600	-11.406	341600.000	-43985.120	上海Ａ股	B882807392	
600597	光明乳业	0	0	0	21.822	17.620	-19.256	0.000	-15334.110	上海Ａ股	B882807392	
600636	国新文化	4900	4900	0	14.675	13.320	-9.233	65268.000	-6639.370	上海Ａ股	B882807392	
600742	一汽富维	0	0	0	10.850	10.600	-2.304	0.000	-19.600	上海Ａ股	B882807392	
600804	鹏博士	0	0	0	9.619	8.430	-12.361	0.000	-6155.280	上海Ａ股	B882807392	
600825	新华传媒	0	0	0	5.920	5.980	1.014	0.000	-53.050	上海Ａ股	B882807392	
600859	王府井	6300	6300	0	52.420	42.530	-18.867	267939.000	-62310.020	上海Ａ股	B882807392	
600887	伊利股份	11100	11100	0	41.854	39.170	-6.413	434787.000	-29792.870	上海Ａ股	B882807392	
600926	杭州银行	35200	35200	0	12.866	12.750	-0.902	448800.000	-4080.560	上海Ａ股	B882807392	
601199	江南水务	0	0	0	4.260	4.320	1.408	0.000	5.290	上海Ａ股	B882807392	
601700	风范股份	0	0	0	5.810	5.760	-0.861	0.000	-78.470	上海Ａ股	B882807392	
601966	玲珑轮胎	400	400	0	25.318	24.700	-2.441	9880.000	-247.030	上海Ａ股	B882807392	
603018	中设集团	13200	13200	0	14.160	13.320	-5.932	175824.000	-11093.420	上海Ａ股	B882807392	
603069	海汽集团	16000	14600	0	34.420	26.590	-22.748	425440.000	-125274.250	上海Ａ股	B882807392	
603167	渤海轮渡	17200	0	0	12.331	12.160	-1.387	209152.000	-2944.910	上海Ａ股	B882807392	
603181	皇马科技	1600	1600	0	27.175	26.000	-4.324	41600.000	-1880.690	上海Ａ股	B882807392	
603185	上机数控	500	500	0	53.742	60.700	12.947	30350.000	3479.030	上海Ａ股	B882807392	
603208	江山欧派	300	300	0	127.365	124.560	-2.202	37368.000	-841.620	上海Ａ股	B882807392	
603267	鸿远电子	1800	1800	0	69.201	68.390	-1.172	123102.000	-1459.110	上海Ａ股	B882807392	
603378	亚士创能	700	700	0	81.761	67.600	-17.320	47320.000	-9912.430	上海Ａ股	B882807392	
