时间            委托编号        成交编号        证券代码        交易业务        成交数量        成交价格        委托状态        汇总成交        汇总撤单        
13:39:30        1460367752      12801040        600037          101 证券卖出    600             13.1900         部分成交        0               0               
13:39:30        1460367752      12801041        600037          101 证券卖出    1700            13.1900         已成            0               0               
13:39:37        1520368356      12807264        600185          101 证券卖出    600             11.9200         已成            0               0               
13:40:20        1560368857      12853210        603198          101 证券卖出    200             20.8100         已成            0               0               
14:59:36        1500368993      18315791        511990          100 证券买入    300             100.0060        部分成交        0               0               
14:59:36        1500368993      18315792        511990          100 证券买入    500             100.0060        部分成交        0               0               
14:59:36        1500368993      18315793        511990          100 证券买入    1000            100.0060        部分成交        0               0               
14:59:36        1500368993      18315794        511990          100 证券买入    200             100.0060        部分成交        0               0               
14:59:36        1500368993      18315795        511990          100 证券买入    100             100.0060        部分成交        0               0               
14:59:36        1500368993      18315796        511990          100 证券买入    1000            100.0060        部分成交        0               0               
14:59:36        1500368993      18315797        511990          100 证券买入    1000            100.0060        部分成交        0               0               
14:59:36        1500368993      18315798        511990          100 证券买入    100             100.0060        部分成交        0               0               
14:59:36        1500368993      18315808        511990          100 证券买入    200             100.0060        部分成交        0               0               
14:59:36        1500368993      18315837        511990          100 证券买入    1000            100.0060        部分成交        0               0               
14:59:37        1500368993      18316073        511990          100 证券买入    100             100.0060        部分成交        0               0               
14:59:37        1500368993      18316095        511990          100 证券买入    400             100.0060        部分成交        0               0               
14:59:37        1500368993      18316176        511990          100 证券买入    9000            100.0060        部分成交        0               0               
14:59:37        1500368993      18316188        511990          100 证券买入    400             100.0060        部分成交        0               0               
14:59:37        1500368993      18316211        511990          100 证券买入    100             100.0060        部分成交        0               0               
14:59:38        1500368993      18316429        511990          100 证券买入    100             100.0060        部分成交        0               0               
14:59:39        1500368993      18316617        511990          100 证券买入    1000            100.0060        部分成交        0               0               
14:59:39        1500368993      18316639        511990          100 证券买入    17000           100.0060        部分成交        0               0               
14:59:41        1500368993      18317101        511990          100 证券买入    200             100.0060        部分成交        0               0               
14:59:41        1500368993      18317128        511990          100 证券买入    4000            100.0060        部分成交        0               0               
14:59:41        1500368993      18317456        511990          100 证券买入    1600            100.0060        部分成交        0               0               
14:59:43        1500368993      18317722        511990          100 证券买入    700             100.0060        部分成交        0               0               
14:59:43        1500368993      18317855        511990          100 证券买入    10303           100.0060        部分成交        0               0               
14:59:44        1500368993      18318000        511990          100 证券买入    100             100.0060        部分成交        0               0               
14:59:44        1500368993      18318049        511990          100 证券买入    700             100.0060        部分成交        0               0               
14:59:45        1500368993      18318144        511990          100 证券买入    600             100.0060        部分成交        0               0               
14:59:45        1500368993      18318171        511990          100 证券买入    200             100.0060        部分成交        0               0               
14:59:47        1500368993      18318686        511990          100 证券买入    1001            100.0060        部分成交        0               0               
14:59:48        1500368993      18318802        511990          100 证券买入    2000            100.0060        部分成交        0               0               
14:59:49        1500368993      18319213        511990          100 证券买入    200             100.0060        部分成交        0               0               
14:59:49        1500368993      18319214        511990          100 证券买入    100             100.0060        部分成交        0               0               
14:59:49        1500368993      18319274        511990          100 证券买入    500             100.0060        部分成交        0               0               
14:59:49        1500368993      18319277        511990          100 证券买入    4296            100.0060        已成            0               0               
