时间            委托编号        证券代码        交易业务        委托数量        委托价格        委托状态        
09:30:20.247    1120312809      300433          701 担保品卖出  99              24.4100         已成            
09:30:20.247    1140308511      300669          701 担保品卖出  30              31.9000         已成            
09:30:35.651    1120312810      603669          701 担保品卖出  1100            8.1200          已成            
09:30:35.704    1140308512      603666          701 担保品卖出  100             106.4700        已成            
09:30:35.704    1160312410      603666          701 担保品卖出  100             106.4700        已成            
09:30:36.028    1080313011      603801          701 担保品卖出  500             26.3400         部撤            
09:30:36.028    1100309712      603801          701 担保品卖出  500             26.3400         已撤            
09:30:36.028    1120312811      603179          700 担保品买入  1500            22.1900         已成            
09:30:36.459    1020309911      603258          701 担保品卖出  100             48.5900         已撤            
09:30:36.459    1140308513      603116          701 担保品卖出  14900           8.3800          已成            
09:30:36.459    1160312411      603116          701 担保品卖出  14900           8.3800          已成            
09:30:36.459    1180309812      603026          701 担保品卖出  500             25.9300         已撤            
09:30:36.461    1000311114      603258          701 担保品卖出  100             48.5900         已撤            
09:30:36.470    1100309713      600132          701 担保品卖出  400             69.4100         已撤            
09:30:37.299    1140308515      002226          701 担保品卖出  2200            5.9700          已撤            
09:30:37.460    1000311116      603739          701 担保品卖出  1800            26.2000         已撤            
09:30:37.595    1040311116      603313          701 担保品卖出  800             24.5700         已撤            
09:30:37.595    1080313014      603308          701 担保品卖出  1100            18.1400         已撤            
09:30:37.595    1100309715      603043          701 担保品卖出  400             31.0200         已撤            
09:30:37.598    1060310113      603058          700 担保品买入  500             8.3300          已撤            
09:30:37.628    1120312814      002240          701 担保品卖出  2500            12.4600         已撤            
09:30:37.696    1140308516      603739          701 担保品卖出  1800            26.2000         已撤            
09:30:37.708    1000311117      603516          701 担保品卖出  200             38.5900         已撤            
09:30:37.873    1060310114      600848          701 担保品卖出  100             21.2900         已撤            
09:30:37.873    1080313015      002212          700 担保品买入  200             24.8300         已撤            
09:30:38.172    1100309716      603658          701 担保品卖出  300             170.8700        已撤            
09:30:38.172    1120312815      603658          701 担保品卖出  300             170.8700        已撤            
09:30:38.353    1160312415      002213          701 担保品卖出  400             17.4000         已成            
09:30:39.062    1100309717      002240          701 担保品卖出  2500            12.4600         已撤            
09:30:39.521    1120312816      002901          701 担保品卖出  300             106.6600        已撤            
09:30:39.590    1140308518      002901          701 担保品卖出  300             106.6600        已撤            
09:30:39.717    1180309817      000913          700 担保品买入  1400            13.1300         已撤            
09:30:40.247    1040311119      000948          700 担保品买入  300             12.8100         已撤            
09:30:40.331    1100309718      000863          700 担保品买入  800             4.2200          已撤            
09:30:40.531    1140308519      002001          701 担保品卖出  400             28.4800         已成            
09:30:40.850    1000311120      002918          701 担保品卖出  2000            30.3100         已撤            
09:30:40.850    1020309917      002126          701 担保品卖出  5600            12.1000         已撤            
09:30:40.850    1040311120      002441          701 担保品卖出  200             8.0300          已成            
09:30:40.850    1160312417      002920          701 担保品卖出  700             52.6800         已撤            
09:30:41.108    1060310117      002920          701 担保品卖出  700             52.6800         已撤            
09:30:41.268    1080313018      002549          701 担保品卖出  4100            8.1000          已撤            
09:30:41.268    1100309719      002918          701 担保品卖出  2000            30.3100         已撤            
09:30:41.432    1120312818      002666          700 担保品买入  5300            7.0600          已成            
09:30:41.443    1160312418      002530          700 担保品买入  4800            12.4300         已撤            
09:30:41.443    1180309819      002666          700 担保品买入  5300            7.0600          已成            
09:30:41.474    1000311121      002555          701 担保品卖出  200             42.1000         已成            
09:30:41.561    1020309918      002126          701 担保品卖出  900             12.1000         已撤            
09:30:41.591    1120312819      002549          701 担保品卖出  4100            8.1000          已撤            
09:30:41.784    1000311122      002555          701 担保品卖出  200             42.1000         已成            
09:30:41.784    1020309919      300651          701 担保品卖出  500             35.4700         已撤            
09:30:41.784    1160312419      300203          701 担保品卖出  5000            17.9000         已撤            
09:30:41.784    1180309820      002507          700 担保品买入  100             34.0900         已成            
09:30:41.901    1040311122      603666          701 担保品卖出  100             106.4700        已成            
09:30:41.901    1060310119      002467          701 担保品卖出  7700            7.6300          已撤            
09:30:41.901    1080313020      002626          700 担保品买入  3700            24.7600         已撤            
09:30:41.901    1100309721      300227          701 担保品卖出  5000            9.8400          已成            
09:30:42.030    1140308522      300651          701 担保品卖出  500             35.4700         已撤            
09:30:42.078    1000311123      300166          701 担保品卖出  200             14.4900         已成            
09:30:42.078    1020309920      300609          701 担保品卖出  700             39.3300         已撤            
09:30:42.078    1040311123      300609          701 担保品卖出  700             39.3300         已撤            
09:30:42.078    1180309821      300671          701 担保品卖出  1800            27.0500         已成            
09:30:42.150    1060310120      300685          701 担保品卖出  3000            68.5300         已成            
09:30:42.343    1000311124      603666          701 担保品卖出  100             106.4700        已成            
09:30:42.343    1020309921      300685          701 担保品卖出  3000            68.5300         已成            
09:30:42.343    1160312421      300357          701 担保品卖出  300             59.8700         已撤            
09:30:42.343    1180309822      300587          701 担保品卖出  300             17.8300         已撤            
09:30:42.377    1040311124      300455          701 担保品卖出  600             15.1900         已撤            
09:30:42.455    1100309723      300587          701 担保品卖出  100             17.8300         已撤            
09:30:42.521    1160312422      300623          701 担保品卖出  2700            28.1800         已成            
09:30:42.521    1180309823      300701          701 担保品卖出  700             32.7400         已撤            
09:30:42.598    1020309922      300696          700 担保品买入  900             34.2200         已撤            
09:30:42.598    1040311125      300595          701 担保品卖出  300             63.6100         已撤            
09:30:42.796    1080313023      300357          701 担保品卖出  300             59.8700         已撤            
