时间            委托编号        成交编号        证券代码        交易业务        成交数量        成交价格        委托状态        汇总成交        汇总撤单        
09:17:23        1000320201      WTD:1690500000  601818          700 担保品买入  -100            3.4000          已撤            0               0               
09:30:36        1140317514      0101000000906670 000636          700 担保品买入  4200            29.3000         部分成交        0               0               
09:30:36        1140317514      0101000000906672 000636          700 担保品买入  100             29.3000         部分成交        0               0               
09:30:36        1140317514      0101000000906674 000636          700 担保品买入  400             29.3100         部分成交        0               0               
09:30:36        1140317514      0101000000906676 000636          700 担保品买入  200             29.3100         部分成交        0               0               
09:30:36        1140317514      0101000000906678 000636          700 担保品买入  1700            29.3100         部分成交        0               0               
09:30:36        1140317514      0101000000906680 000636          700 担保品买入  7800            29.3100         已成            0               0               
09:30:35        1060319610      480011          600552          700 担保品买入  200             5.5000          已成            0               0               
09:30:36        1120321512      480783          603069          700 担保品买入  2700            14.1200         部分成交        0               0               
09:30:36        1120321512      480784          603069          700 担保品买入  2500            14.1300         部分成交        0               0               
09:30:36        1120321512      480785          603069          700 担保品买入  5800            14.1300         已成            0               0               
09:30:36        1100318812      481957          600570          701 担保品卖出  400             106.3400        部分成交        0               0               
09:30:36        1180318814      482451          603986          700 担保品买入  200             240.3500        部分成交        0               0               
09:30:36        1040320214      483377          603739          700 担保品买入  300             26.4700         部分成交        0               0               
09:30:36        1100318812      482959          600570          701 担保品卖出  1500            106.3400        已成            0               0               
09:30:36        1180318815      483751          603987          700 担保品买入  3600            17.0300         部分成交        0               0               
09:30:36        1040320214      483378          603739          700 担保品买入  700             26.5000         部分成交        0               0               
09:30:36        1180318814      483962          603986          700 担保品买入  100             240.3500        已成            0               0               
09:30:36        1040320214      483379          603739          700 担保品买入  1000            26.5200         部分成交        0               0               
09:30:36        1120321516      0104000001047526 002459          700 担保品买入  1800            17.7800         已成            0               0               
09:30:36        1180318817      0101000000911187 002432          700 担保品买入  600             10.7700         部分成交        0               0               
09:30:36        1180318817      0101000000911189 002432          700 担保品买入  2600            10.7800         部分成交        0               0               
09:30:36        1180318817      0101000000911191 002432          700 担保品买入  2600            10.7800         部分成交        0               0               
09:30:36        1180318817      0101000000911193 002432          700 担保品买入  2000            10.7800         部分成交        0               0               
09:30:36        1040320217      0102000000958963 002460          700 担保品买入  6200            53.4500         部分成交        0               0               
09:30:36        1040320217      0102000000958965 002460          700 担保品买入  1200            53.4500         已成            0               0               
09:30:37        1000320217      0102000000959591 002465          700 担保品买入  2500            12.9400         部分成交        0               0               
09:30:36        1100318816      484264          603986          700 担保品买入  100             240.0200        部分成交        0               0               
09:30:36        1180318815      484102          603987          700 担保品买入  500             17.0300         部分成交        0               0               
09:30:36        1020318915      484439          603659          700 担保品买入  800             100.3300        部分成交        0               0               
09:30:36        1020318915      484440          603659          700 担保品买入  200             100.3300        部分成交        0               0               
09:30:37        1000320217      0102000000960415 002465          700 担保品买入  1000            12.9400         部分成交        0               0               
09:30:36        1020318913      484570          603688          701 担保品卖出  1000            23.3100         部分成交        0               0               
09:30:37        1000320217      0102000000960926 002465          700 担保品买入  7700            12.9400         部分成交        0               0               
09:30:36        1080322018      484880          603708          700 担保品买入  200             43.5700         已成            0               0               
09:30:36        1160321518      484963          603676          701 担保品卖出  500             10.4400         部分成交        0               0               
09:30:36        1160321518      484964          603676          701 担保品卖出  400             10.4400         已成            0               0               
09:30:37        1040320218      0103000001000455 000878          700 担保品买入  1300            10.4900         已成            0               0               
09:30:37        1020318914      0103000001000951 002467          700 担保品买入  29000           7.1100          已成            0               0               
09:30:37        1040320219      0103000001002004 002384          700 担保品买入  18900           28.9900         已成            0               0               
09:30:37        1120321515      485412          603690          701 担保品卖出  100             41.5900         部分成交        0               0               
09:30:37        1100318816      485415          603986          700 担保品买入  100             240.3500        部分成交        0               0               
09:30:37        1100318816      485820          603986          700 担保品买入  100             240.3500        已成            0               0               
09:30:37        1120321515      486142          603690          701 担保品卖出  200             41.5900         部分成交        0               0               
09:30:37        1180318815      485819          603987          700 担保品买入  500             17.0300         部分成交        0               0               
09:30:37        1000320217      0102000000963946 002465          700 担保品买入  3000            12.9400         部分成交        0               0               
09:30:37        1000320217      0102000000963956 002465          700 担保品买入  500             12.9400         部分成交        0               0               
09:30:37        1000320217      0102000000964187 002465          700 担保品买入  1400            12.9400         部分成交        0               0               
09:30:37        1120321518      0102000000964355 002385          700 担保品买入  500             9.0700          部分成交        0               0               
09:30:37        1180318817      0101000000916735 002432          700 担保品买入  3000            10.7800         部分成交        0               0               
09:30:37        1120321518      0102000000964832 002385          700 担保品买入  500             9.0700          部分成交        0               0               
09:30:37        1060319617      0104000001053518 002481          700 担保品买入  4100            17.0100         部分成交        0               0               
09:30:37        1180318820      0104000001053928 000931          700 担保品买入  9100            11.9000         已成            0               0               
09:30:37        1120321518      0102000000965520 002385          700 担保品买入  600             9.0700          部分成交        0               0               
09:30:37        1120321518      0102000000965524 002385          700 担保品买入  6200            9.0700          部分成交        0               0               
09:30:37        1020318915      486496          603659          700 担保品买入  300             100.3500        已成            0               0               
09:30:37        1120321518      0102000000965683 002385          700 担保品买入  300             9.0700          部分成交        0               0               
09:30:37        1000320217      0102000000965691 002465          700 担保品买入  1100            12.9400         部分成交        0               0               
09:30:37        1120321518      0102000000965927 002385          700 担保品买入  500             9.0700          部分成交        0               0               
09:30:37        1060319617      0104000001054707 002481          700 担保品买入  200             17.0100         部分成交        0               0               
09:30:37        1120321515      486814          603690          701 担保品卖出  400             41.5900         部分成交        0               0               
09:30:37        1120321515      486815          603690          701 担保品卖出  1000            41.5900         部分成交        0               0               
09:30:37        1120321515      486820          603690          701 担保品卖出  800             41.5900         部分成交        0               0               
09:30:37        1120321515      486821          603690          701 担保品卖出  500             41.5900         已成            0               0               
09:30:37        1120321518      0102000000966772 002385          700 担保品买入  4200            9.0700          部分成交        0               0               
09:30:37        1120321519      486984          600362          700 担保品买入  100             13.4400         已成            0               0               
09:30:37        1120321518      0102000000966889 002385          700 担保品买入  9600            9.0700          部分成交        0               0               
09:30:37        1020318919      0102000000966962 300750          700 担保品买入  100             169.4200        部分成交        0               0               
09:30:37        1020318919      0102000000966964 300750          700 担保品买入  200             169.4300        部分成交        0               0               
09:30:37        1020318919      0102000000966966 300750          700 担保品买入  200             169.4300        部分成交        0               0               
09:30:37        1020318919      0102000000966968 300750          700 担保品买入  100             169.4300        部分成交        0               0               
09:30:37        1020318919      0102000000966970 300750          700 担保品买入  100             169.4300        部分成交        0               0               
09:30:37        1020318919      0102000000966972 300750          700 担保品买入  200             169.4300        部分成交        0               0               
09:30:37        1020318919      0102000000966974 300750          700 担保品买入  100             169.4300        部分成交        0               0               
09:30:37        1020318919      0102000000966976 300750          700 担保品买入  200             169.4800        部分成交        0               0               
09:30:37        1120321520      0101000000919198 002085          701 担保品卖出  300             6.7300          部分成交        0               0               
09:30:37        1120321520      0101000000919200 002085          701 担保品卖出  100             6.7200          已成            0               0               
09:30:37        1060319619      487901          603501          700 担保品买入  1100            204.0100        已成            0               0               
09:30:37        1180318821      488166          603200          700 担保品买入  600             42.0000         已成            0               0               
09:30:38        1120321518      0102000000967962 002385          700 担保品买入  300             9.0700          部分成交        0               0               
09:30:38        1060319620      0101000000919844 002351          701 担保品卖出  300             20.7600         部分成交        0               0               
09:30:38        1060319620      0101000000919846 002351          701 担保品卖出  600             20.7600         部分成交        0               0               
09:30:38        1060319620      0101000000919848 002351          701 担保品卖出  400             20.7500         部分成交        0               0               
09:30:38        1060319620      0101000000919850 002351          701 担保品卖出  100             20.7500         部分成交        0               0               
09:30:38        1060319620      0101000000919852 002351          701 担保品卖出  200             20.7500         部分成交        0               0               
09:30:38        1060319620      0101000000919854 002351          701 担保品卖出  300             20.7500         部分成交        0               0               
