时间,账户,代码,名称,状态,完成状态,买卖,委托价,委托量,成交量,成交均价,成交额,撤单量,类别,订单号,算法ID,来源,来源ID,Cats账户,SymbolFull
2020-08-07 09:14:27,20300226218,601818,光大银行,全撤,已结束订单,买入,3.6,100,0,0,0,100,限价,SHDDF0_20300226218_SH_6,CSV,文件扫单,CSV@56500004,8980000931,601818.SH
2020-08-07 09:30:25,20300226218,300758,七彩化学,全成,已结束订单,卖出,34.83,80,80,34.95,2796,0,限价,SHDDF0_20300226218_SZ_3719,CSV,文件扫单,CSV@56500036,8980000931,300758.SZ
2020-08-07 09:30:25,20300226218,300327,中颖电子,全成,已结束订单,卖出,36.55,10,10,36.55,365.5,0,限价,SHDDF0_20300226218_SZ_3720,CSV,文件扫单,CSV@56500037,8980000931,300327.SZ
2020-08-07 09:30:25,20300226218,002688,金河生物,全成,已结束订单,卖出,8.47,20,20,8.48,169.6,0,限价,SHDDF0_20300226218_SZ_3721,CSV,文件扫单,CSV@56500038,8980000931,002688.SZ
2020-08-07 09:30:26,20300226218,300219,鸿利智汇,全成,已结束订单,卖出,12.11,36,36,12.2,439.2,0,限价,SHDDF0_20300226218_SZ_3751,CSV,文件扫单,CSV@56500039,8980000931,300219.SZ
2020-08-07 10:32:02,20300226218,002225,濮耐股份,全撤,已结束订单,卖出,4.68,4300,0,0,0,4300,限价,SHDDF0_20300226218_SZ_124163,CSV,文件扫单,CSV@56502577,8980000931,002225.SZ
2020-08-07 10:32:02,20300226218,002413,雷科防务,全成,已结束订单,卖出,10.54,13500,13500,10.55,142425,0,限价,SHDDF0_20300226218_SZ_124164,CSV,文件扫单,CSV@56502578,8980000931,002413.SZ
2020-08-07 10:32:02,20300226218,300101,振芯科技,全成,已结束订单,卖出,17.85,1800,1800,17.85,32130,0,限价,SHDDF0_20300226218_SZ_124165,CSV,文件扫单,CSV@56502579,8980000931,300101.SZ
2020-08-07 10:32:02,20300226218,000070,特发信息,全成,已结束订单,卖出,12.68,2000,2000,12.69,25380,0,限价,SHDDF0_20300226218_SZ_124166,CSV,文件扫单,CSV@56502580,8980000931,000070.SZ
2020-08-07 10:32:02,20300226218,002515,金字火腿,全成,已结束订单,卖出,7.36,18000,18000,7.36,132480,0,限价,SHDDF0_20300226218_SZ_124167,CSV,文件扫单,CSV@56502581,8980000931,002515.SZ
2020-08-07 10:32:02,20300226218,600702,舍得酒业,全成,已结束订单,卖出,34.72,200,200,34.75,6950,0,限价,SHDDF0_20300226218_SH_124187,CSV,文件扫单,CSV@56502582,8980000931,600702.SH
2020-08-07 10:32:02,20300226218,002531,天顺风能,全撤,已结束订单,卖出,7.58,5000,0,0,0,5000,限价,SHDDF0_20300226218_SZ_124188,CSV,文件扫单,CSV@56502583,8980000931,002531.SZ
2020-08-07 10:32:02,20300226218,300492,华图山鼎,全成,已结束订单,卖出,45.91,100,100,45.95,4595,0,限价,SHDDF0_20300226218_SZ_124189,CSV,文件扫单,CSV@56502584,8980000931,300492.SZ
2020-08-07 10:32:02,20300226218,300575,中旗股份,全撤,已结束订单,卖出,49.25,100,0,0,0,100,限价,SHDDF0_20300226218_SZ_124190,CSV,文件扫单,CSV@56502585,8980000931,300575.SZ
2020-08-07 10:32:02,20300226218,300719,安达维尔,全成,已结束订单,卖出,16.21,500,500,16.21,8105,0,限价,SHDDF0_20300226218_SZ_124191,CSV,文件扫单,CSV@56502586,8980000931,300719.SZ
2020-08-07 10:32:02,20300226218,002539,云图控股,全成,已结束订单,卖出,7.17,5700,5700,7.17,40869,0,限价,SHDDF0_20300226218_SZ_124192,CSV,文件扫单,CSV@56502587,8980000931,002539.SZ
2020-08-07 10:32:02,20300226218,601500,通用股份,全成,已结束订单,卖出,6.52,1600,1600,6.52,10432,0,限价,SHDDF0_20300226218_SH_124193,CSV,文件扫单,CSV@56502588,8980000931,601500.SH
2020-08-07 10:32:02,20300226218,603167,渤海轮渡,全成,已结束订单,卖出,9.96,1000,1000,9.96,9960,0,限价,SHDDF0_20300226218_SH_124194,CSV,文件扫单,CSV@56502589,8980000931,603167.SH
2020-08-07 10:32:02,20300226218,603977,国泰集团,全成,已结束订单,卖出,7.58,7300,7300,7.58,55334,0,限价,SHDDF0_20300226218_SH_124195,CSV,文件扫单,CSV@56502591,8980000931,603977.SH
2020-08-07 10:32:02,20300226218,000875,吉电股份,全撤,已结束订单,卖出,4.26,29800,0,0,0,29800,限价,SHDDF0_20300226218_SZ_124196,CSV,文件扫单,CSV@56502592,8980000931,000875.SZ
2020-08-07 10:32:02,20300226218,300204,舒泰神,全成,已结束订单,卖出,12.31,500,500,12.31,6155,0,限价,SHDDF0_20300226218_SZ_124197,CSV,文件扫单,CSV@56502593,8980000931,300204.SZ
2020-08-07 10:32:02,20300226218,601919,中远海控,全撤,已结束订单,卖出,4.8,25300,0,0,0,25300,限价,SHDDF0_20300226218_SH_124198,CSV,文件扫单,CSV@56502594,8980000931,601919.SH
2020-08-07 10:32:02,20300226218,603803,瑞斯康达,全成,已结束订单,卖出,12.49,800,800,12.5,10000,0,限价,SHDDF0_20300226218_SH_124199,CSV,文件扫单,CSV@56502595,8980000931,603803.SH
2020-08-07 10:32:03,20300226218,300213,佳讯飞鸿,全成,已结束订单,卖出,8.47,3700,3700,8.47,31339,0,限价,SHDDF0_20300226218_SZ_124214,CSV,文件扫单,CSV@56502596,8980000931,300213.SZ
2020-08-07 10:32:03,20300226218,600633,浙数文化,全成,已结束订单,卖出,12.26,2400,2400,12.27,29448,0,限价,SHDDF0_20300226218_SH_124215,CSV,文件扫单,CSV@56502597,8980000931,600633.SH
2020-08-07 10:32:03,20300226218,600089,特变电工,部撤,已结束订单,卖出,8.9,30300,3400,8.9,30260,26900,限价,SHDDF0_20300226218_SH_124216,CSV,文件扫单,CSV@56502598,8980000931,600089.SH
2020-08-07 10:32:03,20300226218,603669,灵康药业,全撤,已结束订单,卖出,9.61,12800,0,0,0,12800,限价,SHDDF0_20300226218_SH_124217,CSV,文件扫单,CSV@56502599,8980000931,603669.SH
2020-08-07 10:32:03,20300226218,002182,云海金属,部撤,已结束订单,卖出,12.23,2600,1700,12.23,20791,900,限价,SHDDF0_20300226218_SZ_124218,CSV,文件扫单,CSV@56502600,8980000931,002182.SZ
2020-08-07 10:32:03,20300226218,300109,新开源,全成,已结束订单,卖出,18.4,1600,1600,18.455625,29529,0,限价,SHDDF0_20300226218_SZ_124219,CSV,文件扫单,CSV@56502601,8980000931,300109.SZ
