冻结金额,可用,参考市值,资产
4906500.79,17327463.7,7143295.9,24470821.3
,,,
证券代码,证券名称,可用数量,库存数量,参考成本,参考盈亏,市值,当前价
28,国药一致,0,400,44.0947,422.12,18060.0,45.15
30,富奥股份,0,4400,6.354,-897.62,27060.0,6.15
403,双林生物,900,900,71.0342,2489.19,66420.0,73.8
503,国新健康,0,200,11.7155,-137.09,2206.0,11.03
526,紫光学大,0,200,55.709,120.2,11262.0,56.31
567,海德股份,3800,3800,14.1545,-6021.07,47766.0,12.57
599,青岛双星,0,100,4.1724,13.76,431.0,4.31
636,风华高科,0,6700,27.8262,9137.62,195573.0,29.19
655,金岭矿业,0,1800,5.9078,-572.09,10062.0,5.59
697,炼石航空,0,100,9.4137,9.63,951.0,9.51
732,泰禾集团,0,1500,5.1551,-52.67,7680.0,5.12
736,中交地产,60,60,6.468,15.12,403.2,6.72
739,普洛药业,0,800,22.234,140.83,17928.0,22.41
799,酒鬼酒,0,600,47.2996,14094.25,42474.0,70.79
823,超声电子,0,400,12.9429,302.83,5480.0,13.7
878,云南铜业,0,300,10.4437,7.9,3141.0,10.47
913,钱江摩托,0,100,10.4616,293.84,1340.0,13.4
918,嘉凯城,0,300,4.7759,1.23,1434.0,4.78
931,中关村,0,1400,11.8292,-992.9,15568.0,11.12
961,中南建设,0,200,8.6251,48.98,1774.0,8.87
2019,亿帆医药,0,800,22.3425,-106.03,17768.0,22.21
2030,达安基因,53,53,3.8381,1251.43,1454.85,27.45
2044,美年健康,0,3800,13.5798,2014.76,53618.0,14.11
2050,三花智控,4200,4200,21.6868,-448.73,90636.0,21.58
2084,海鸥住工,0,2200,9.2447,-560.41,19778.0,8.99
2099,海翔药业,4,4,130.8375,-492.87,30.48,7.62
2127,南极电商,0,500,22.4934,-711.68,10535.0,21.07
2171,楚江新材,0,400,8.7366,221.38,3716.0,9.29
2208,合肥城建,0,2300,10.8551,-1391.62,23575.0,10.25
2212,南洋股份,0,300,27.4255,-367.64,7860.0,26.2
2213,特尔佳,20,20,-69.7825,1757.25,361.6,18.080000000000002
2226,江南化工,0,400,5.3723,179.07,2328.0,5.82
2238,天威视讯,20,20,16.9525,-203.65,135.4,6.7700000000000005
2240,威华股份,0,10600,12.9674,-1880.85,135574.0,12.79
2241,歌尔股份,0,1100,14.7918,13099.04,29370.0,26.7
2254,泰和新材,200,200,11.5045,419.11,2720.0,13.6
2308,威创股份,0,900,7.1122,-343.99,6057.0,6.73
2324,普利特,7300,7300,14.6721,-453.0,106653.0,14.61
2338,奥普光电,0,2500,27.921,-477.45,69325.0,27.73
2351,漫步者,0,1200,25.4947,-5669.6,24924.0,20.77
2352,顺丰控股,1000,1000,54.2429,457.09,54700.0,54.7
2382,蓝帆医疗,0,16400,28.5859,13678.8,482488.0,29.42
2385,大北农,0,20200,9.3715,-9322.91,179982.0,8.91
2388,新亚制程,0,100,7.5708,52.92,810.0,8.1
2398,垒知集团,0,400,11.655,-478.0,4184.0,10.46
2399,海普瑞,0,300,25.1316,-105.49,7434.0,24.78
2402,和而泰,0,15800,16.0865,-3578.67,250588.0,15.86
2410,广联达,1600,1600,64.3056,7031.11,109920.0,68.7
2459,晶澳科技,0,100,18.0937,60.63,1870.0,18.7
