证券代码,无用,业务,成交数量,成交价格,委托状态,无用二
300709,101,证券卖出,60,95.8,已成,0
300696,101,证券卖出,50,35.62,已成,0
859,100,证券买入,300,6.03,已成,0
783,101,证券卖出,1300,8.19,已成,0
830,101,证券卖出,200,8.83,已成,0
878,101,证券卖出,1200,12.29,已成,0
601012,101,证券卖出,1100,42.69,部分成交,0
600620,101,证券卖出,100,6.37,已成,0
601012,101,证券卖出,400,42.69,部分成交,0
601012,101,证券卖出,100,42.69,已成,0
158,100,证券买入,400,10.9,已成,0
625,100,证券买入,500,12.1,已成,0
601108,101,证券卖出,100,12.65,已成,0
601636,101,证券卖出,3400,6.64,已成,0
16,101,证券卖出,3400,7.55,已成,0
425,101,证券卖出,100,6.38,已成,0
2,101,证券卖出,1700,29.8,已成,0
300695,101,证券卖出,200,75.75,已成,0
600861,101,证券卖出,100,15.35,已成,0
300054,100,证券买入,200,15.71,部分成交,0
300054,100,证券买入,400,15.75,已成,0
2398,101,证券卖出,200,11.37,已成,0
2338,100,证券买入,200,27.47,部分成交,0
2338,100,证券买入,400,27.47,部分成交,0
2338,100,证券买入,1900,27.48,已成,0
2244,101,证券卖出,300,4.95,已成,0
603960,101,证券卖出,39,31.96,部分成交,0
603960,101,证券卖出,300,31.96,部分成交,0
603960,101,证券卖出,300,31.96,部分成交,0
603960,101,证券卖出,561,31.96,已成,0
300246,101,证券卖出,600,36.19,已成,0
603986,100,证券买入,100,236.92,已成,0
601555,101,证券卖出,2400,10.04,已成,0
600682,101,证券卖出,100,10.37,已成,0
600418,100,证券买入,2100,9.05,已成,0
300133,101,证券卖出,100,7.82,已成,0
600438,101,证券卖出,2700,18.97,已成,0
603976,100,证券买入,700,38.2,已成,0
600383,101,证券卖出,3200,16.65,已成,0
157,101,证券卖出,500,7.45,已成,0
603777,101,证券卖出,200,17.58,已成,0
2261,100,证券买入,400,9.22,已成,0
603713,101,证券卖出,100,96.73,已成,0
2179,101,证券卖出,100,40.11,已成,0
300639,100,证券买入,100,49.85,部分成交,0
2601,101,证券卖出,500,20.3,已成,0
300485,100,证券买入,400,21.18,部分成交,0
300485,100,证券买入,1200,21.18,部分成交,0
300485,100,证券买入,100,21.18,已成,0
300638,101,证券卖出,100,59.14,已成,0
300363,100,证券买入,400,35.31,已成,0
2829,101,证券卖出,400,35.75,已成,0
2881,101,证券卖出,100,30.16,部分成交,0
2881,101,证券卖出,100,30.07,已成,0
2930,101,证券卖出,500,16.6,已成,0
2217,101,证券卖出,200,5.68,已成,0
300617,101,证券卖出,300,34.04,部分成交,0
300617,101,证券卖出,100,34.04,部分成交,0
300617,101,证券卖出,100,34.04,部分成交,0
300617,101,证券卖出,100,34.04,部分成交,0
300617,101,证券卖出,100,34.04,部分成交,0
300617,101,证券卖出,100,34.01,已成,0
300639,100,证券买入,100,49.86,已成,0
990,101,证券卖出,200,15.15,已成,0
600291,101,证券卖出,100,11.57,已成,0
2867,101,证券卖出,100,24.36,部分成交,0
2428,101,证券卖出,500,13.45,部分成交,0
2428,101,证券卖出,700,13.45,部分成交,0
2428,101,证券卖出,200,13.45,已成,0
2776,101,证券卖出,100,8.92,已成,0
600373,101,证券卖出,100,12.76,已成,0
603218,101,证券卖出,100,18.35,已成,0
300242,100,证券买入,1300,6.49,已成,0
2867,101,证券卖出,200,24.36,已成,0
300623,101,证券卖出,400,30.82,部分成交,0
300623,101,证券卖出,500,30.82,已成,0
2399,101,证券卖出,600,26.1,已成,0
603113,100,证券买入,200,13.75,已成,0
601968,101,证券卖出,300,6.11,已成,0
600559,100,证券买入,1500,13.15,部分成交,0
600559,100,证券买入,100,13.16,部分成交,0
600559,100,证券买入,1400,13.17,已成,0
600657,101,证券卖出,800,5.13,部分成交,0
600657,101,证券卖出,200,5.13,已成,0
2208,100,证券买入,4600,10.58,已成,0
601028,101,证券卖出,500,12.29,已成,0
300377,101,证券卖出,100,10.13,已成,0
2084,100,证券买入,600,10.06,已成,0
300485,100,证券买入,1700,21.13,已成,0
300443,100,证券买入,100,19.27,已成,0
300260,100,证券买入,400,19.59,已成,0
300598,100,证券买入,100,183.52,已成,0
603517,101,证券卖出,400,68.64,已成,0
603383,101,证券卖出,100,54.0,已成,0
300485,100,证券买入,600,21.13,已成,0
300729,100,证券买入,100,53.68,已成,0
851,100,证券买入,1000,9.6,部分成交,0
851,100,证券买入,100,9.6,已成,0
2734,101,证券卖出,200,14.69,已成,0
959,100,证券买入,3000,4.76,已成,0
600993,100,证券买入,1300,24.64,已成,0
300346,101,证券卖出,3200,45.17,已成,0
