时间            委托编号        委托标识        证券代码        交易业务        委托数量        委托价格        委托状态
09:17:00.178    133382126       749834          601818          700 担保品买入  100             3.6000          已撤
09:30:20.464    101378163       749838          002544          701 担保品卖出  27              16.9900         已成
09:30:20.474    105384817       749839          603630          701 担保品卖出  30              18.6300         已成
09:30:20.496    121386761       749842          300045          701 担保品卖出  22              16.0400         已成
09:30:20.664    117382362       749844          603919          701 担保品卖出  10              16.5600         已成
09:30:20.667    133382402       749845          600222          701 担保品卖出  49              6.5200          已成
09:30:20.689    133382403       749846          002810          701 担保品卖出  84              36.3100         已成
09:30:20.805    105384826       749850          603330          701 担保品卖出  20              25.2000         已成
09:30:20.843    133382406       749851          000889          701 担保品卖出  1               6.8700          已成
09:30:20.985    109383350       749853          600833          701 担保品卖出  3               12.5500         已成
09:30:20.986    117382374       749852          002582          701 担保品卖出  17              13.9900         已成
09:30:30.969    105384894       749855          603129          701 担保品卖出  100             87.7100         已撤
09:30:31.000    113385763       749856          603806          701 担保品卖出  700             71.1100         已撤
09:30:31.093    121386835       749857          600831          700 担保品买入  4900            8.1600          已成
09:30:31.543    133382473       749858          601877          701 担保品卖出  400             31.9400         已成
09:30:31.579    101378244       749859          603712          701 担保品卖出  1100            54.4500         已撤
09:30:31.614    113385764       749860          600862          701 担保品卖出  5700            26.7200         已撤
09:30:31.738    125383623       749861          600165          700 担保品买入  33600           7.9000          已撤
09:30:31.768    133382474       749862          600685          701 担保品卖出  1400            35.1200         已撤
09:30:31.912    117382437       749863          600523          700 担保品买入  1300            20.9000         已成
09:30:32.246    129384558       749864          000603          700 担保品买入  2500            17.1900         已成
09:30:32.260    133382477       749865          000725          701 担保品卖出  3900            5.1400          已成
09:30:32.434    109383420       749866          002013          701 担保品卖出  2400            11.2900         已成
09:30:32.456    133382481       749868          000738          701 担保品卖出  12700           24.2600         已撤
09:30:32.482    101378250       749867          000615          700 担保品买入  12600           4.6800          已成
09:30:32.485    109383421       749870          600184          701 担保品卖出  2000            13.1300         已成
09:30:32.487    113385770       749869          000698          700 担保品买入  24800           7.7000          已撤
09:30:32.499    125383629       749871          002184          700 担保品买入  100             16.0000         已成
09:30:32.521    129384561       749872          002073          700 担保品买入  800             4.5300          已成
