冻结金额,可用,参考市值,资产
,5478329.0,,88106921.81
,,,
证券代码,证券名称,可用数量,库存数量,参考成本,参考盈亏,市值,当前价
1,平安银行,0,8200,15.1331,-435.29,123656.0,15.08
4,国农科技,400,400,23.2122,947.14,10232.0,25.58
7,全新好,300,300,9.1918,-33.55,2724.0,9.08
11,深物业A,3200,3200,20.9076,-2360.38,64544.0,20.17
21,深科技,1200,1200,26.3453,-1074.32,30540.0,25.45
26,飞亚达,0,100,14.8395,160.05,1644.0,16.44
27,深圳能源,0,100,5.7513,-2.13,573.0,5.73
30,富奥股份,0,900,7.242,-181.82,6336.0,7.04
35,中国天楹,0,100,5.3412,-1.12,533.0,5.33
46,泛海控股,0,100,4.1609,-4.09,412.0,4.12
48,京基智农,12,1112,35.4142,4999.28,44379.92,39.91
49,德赛电池,100,100,55.221,65.9,5588.0,55.88
70,特发信息,19700,19700,13.4786,-36614.7,228914.0,11.62
88,盐田港,7200,7200,7.0214,-370.11,50184.0,6.97
100,TCL科技,0,41600,7.0582,904.97,294528.0,7.08
153,丰原药业,2500,2500,10.5518,-754.38,25625.0,10.25
156,华数传媒,100,100,11.1522,1.78,1117.0,11.17
301,东方盛虹,400,500,5.8972,16.4,2965.0,5.93
338,潍柴动力,0,600,14.9533,-79.97,8892.0,14.82
400,许继电气,3500,3500,16.1992,-1677.08,55020.0,15.72
403,双林生物,500,500,39.7239,-746.97,19115.0,38.23
421,南京公用,1200,1200,6.9714,46.33,8412.0,7.01
429,粤高速Ａ,100,100,7.0414,-16.14,688.0,6.88
430,张家界,0,100,5.5912,-2.12,557.0,5.57
488,晨鸣纸业,0,200,5.9313,-24.26,1162.0,5.81
501,鄂武商Ａ,10200,12700,20.3197,-20824.32,237236.0,18.68
505,京粮控股,0,7000,10.9153,3462.62,79870.0,11.41
513,丽珠集团,800,800,52.2142,1028.65,42800.0,53.5
526,紫光学大,100,100,66.0864,315.36,6924.0,69.24
528,柳工,100,100,7.3315,-5.15,728.0,7.28
529,广弘控股,0,700,9.3579,99.49,6650.0,9.5
531,穗恒运Ａ,500,500,10.5221,8.95,5270.0,10.54
532,华金资本,300,400,13.1952,157.92,5436.0,13.59
534,万泽股份,0,2100,14.4725,729.72,31122.0,14.82
537,广宇发展,0,100,7.8618,-3.18,783.0,7.83
538,云南白药,0,400,116.3646,-261.84,46284.0,115.71
544,中原环保,300,300,7.5315,5.55,2265.0,7.55
547,航天发展,0,3100,20.4503,-527.91,62868.0,20.28
555,神州信息,1900,1900,17.2577,1942.44,34732.0,18.28
568,泸州老窖,0,1600,134.8354,23463.4,239200.0,149.5
576,广东甘化,2300,2300,10.6021,202.12,24587.0,10.69
581,威孚高科,1200,1200,25.3251,-486.08,29904.0,24.92
582,北部湾港,300,300,11.1674,-95.22,3255.0,10.85
589,贵州轮胎,1100,1100,5.8189,-526.76,5874.0,5.34
590,启迪古汉,0,1600,11.2276,-348.19,17616.0,11.01
598,兴蓉环境,300,300,5.211,20.69,1584.0,5.28
600,建投能源,3000,3000,5.8238,-1091.52,16380.0,5.46
601,韶能股份,800,800,6.9314,70.89,5616.0,7.02
603,盛达资源,0,920,19.2203,-239.49,17443.2,18.96
607,华媒控股,300,300,4.4509,-12.27,1323.0,4.41
625,长安汽车,1800,1800,11.9824,-490.31,21078.0,11.71
633,合金投资,0,300,4.361,-9.29,1299.0,4.33
636,风华高科,4000,4000,35.1524,-10969.52,129640.0,32.41
655,金岭矿业,1200,1200,7.6112,-673.45,8460.0,7.05
656,金科股份,3000,3000,12.1157,-5687.19,30660.0,10.22
665,湖北广电,0,400,5.6012,-16.49,2224.0,5.56
671,阳光城,800,800,7.1227,-58.13,5640.0,7.05
678,襄阳轴承,0,500,5.5612,-5.62,2775.0,5.55
681,视觉中国,0,400,17.5939,-45.55,6992.0,17.48
690,宝新能源,1700,1700,7.1007,-171.14,11900.0,7.0
703,恒逸石化,0,8100,12.2848,1337.81,100845.0,12.45
710,贝瑞基因,1800,1800,72.8965,-20243.71,110970.0,61.65
719,中原传媒,0,400,8.2368,-26.72,3268.0,8.17
722,湖南发展,5800,5800,8.8016,-8535.42,42514.0,7.33
725,京东方Ａ,0,124900,5.211,36098.35,686950.0,5.5
728,国元证券,0,200,11.1224,-20.48,2204.0,11.02
729,燕京啤酒,1300,10900,8.0395,-430.12,87200.0,8.0
733,振华科技,4000,4000,37.4064,30174.49,179800.0,44.95
738,航发控制,0,2700,26.9098,-14120.42,58536.0,21.68
739,普洛药业,900,1100,27.8775,629.74,31295.0,28.45
766,通化金马,0,100,5.3812,-4.12,534.0,5.34
