证券代码,无用,业务,成交数量,成交价格,委托状态,无用二
2406,701,担保品卖出,64,7.84,已成,0
2444,701,担保品卖出,27,22.72,已成,0
901,701,担保品卖出,53,13.23,已成,0
603707,701,担保品卖出,85,53.0,已成,0
733,701,担保品卖出,200,46.5,已成,0
603218,701,担保品卖出,300,21.1,部分成交,0
603218,701,担保品卖出,100,21.1,部分成交,0
603218,701,担保品卖出,100,21.1,已成,0
603859,701,担保品卖出,1300,50.1,已成,0
300238,701,担保品卖出,500,29.4,部分成交,0
300474,700,担保品买入,200,83.98,部分成交,0
300238,701,担保品卖出,300,29.4,部分成交,0
300474,700,担保品买入,200,83.99,已成,0
2166,700,担保品买入,1100,10.9,部分成交,0
2166,700,担保品买入,200,10.9,已成,0
901,700,担保品买入,1618,13.28,部分成交,0
901,700,担保品买入,1982,13.28,已成,0
411,701,担保品卖出,100,22.99,部分成交,0
600436,701,担保品卖出,100,201.77,已成,0
600765,700,担保品买入,100,15.39,部分成交,0
600711,700,担保品买入,2200,6.79,部分成交,0
603318,700,担保品买入,1200,11.3,部分成交,0
600711,700,担保品买入,600,6.79,部分成交,0
603318,700,担保品买入,7465,11.33,部分成交,0
600711,700,担保品买入,7700,6.79,已成,0
603318,700,担保品买入,600,11.33,部分成交,0
603318,700,担保品买入,500,11.33,部分成交,0
603318,700,担保品买入,300,11.33,部分成交,0
603318,700,担保品买入,1000,11.33,部分成交,0
603318,700,担保品买入,900,11.33,部分成交,0
603318,700,担保品买入,600,11.33,部分成交,0
603318,700,担保品买入,35,11.34,已成,0
411,701,担保品卖出,1300,22.99,部分成交,0
600765,700,担保品买入,500,15.39,部分成交,0
600765,700,担保品买入,100,15.39,部分成交,0
600765,700,担保品买入,100,15.39,部分成交,0
600765,700,担保品买入,1400,15.39,部分成交,0
600765,700,担保品买入,300,15.39,部分成交,0
600765,700,担保品买入,700,15.39,部分成交,0
600765,700,担保品买入,900,15.39,部分成交,0
600765,700,担保品买入,1800,15.39,部分成交,0
600765,700,担保品买入,2100,15.39,部分成交,0
600765,700,担保品买入,100,15.39,部分成交,0
600765,700,担保品买入,500,15.39,部分成交,0
600765,700,担保品买入,500,15.39,部分成交,0
600765,700,担保品买入,700,15.39,已成,0
300238,701,担保品卖出,100,29.4,已成,0
603678,700,担保品买入,900,43.67,部分成交,0
603678,700,担保品买入,1500,43.67,已成,0
300378,701,担保品卖出,100,37.46,已成,0
600127,701,担保品卖出,9400,14.98,已成,0
603218,701,担保品卖出,100,21.11,部分成交,0
603218,701,担保品卖出,100,21.1,部分成交,0
603218,701,担保品卖出,300,21.1,已成,0
2166,700,担保品买入,800,10.91,部分成交,0
901,700,担保品买入,100,13.27,部分成交,0
411,701,担保品卖出,1300,22.98,部分成交,0
600765,700,担保品买入,1400,15.37,部分成交,0
600765,700,担保品买入,100,15.37,部分成交,0
600765,700,担保品买入,400,15.37,部分成交,0
600765,700,担保品买入,1000,15.37,部分成交,0
600765,700,担保品买入,300,15.37,部分成交,0
600765,700,担保品买入,100,15.38,部分成交,0
600765,700,担保品买入,300,15.38,部分成交,0
600765,700,担保品买入,100,15.38,部分成交,0
600765,700,担保品买入,300,15.38,部分成交,0
600765,700,担保品买入,200,15.38,部分成交,0
600765,700,担保品买入,100,15.38,部分成交,0
600765,700,担保品买入,300,15.38,部分成交,0
600765,700,担保品买入,1700,15.38,部分成交,0
600765,700,担保品买入,1900,15.39,部分成交,0
600765,700,担保品买入,1500,15.39,部分成交,0
600765,700,担保品买入,700,15.39,已成,0
300474,700,担保品买入,100,83.98,部分成交,0
300474,700,担保品买入,100,83.98,已成,0
733,701,担保品卖出,100,46.54,已成,0
603888,700,担保品买入,1600,27.97,已成,0
603318,700,担保品买入,100,11.32,部分成交,0
411,701,担保品卖出,100,22.98,已成,0
600711,700,担保品买入,10500,6.79,已成,0
2166,700,担保品买入,300,10.91,已成,0
300213,700,担保品买入,2900,9.01,部分成交,0
300213,700,担保品买入,200,9.01,部分成交,0
300213,700,担保品买入,4600,9.01,已成,0
2166,700,担保品买入,2000,10.92,已成,0
603218,701,担保品卖出,500,21.1,已成,0
300213,700,担保品买入,300,9.02,部分成交,0
300213,700,担保品买入,100,9.02,部分成交,0
300213,700,担保品买入,100,9.02,部分成交,0
300213,700,担保品买入,300,9.02,部分成交,0
300213,700,担保品买入,5100,9.02,部分成交,0
300213,700,担保品买入,1700,9.02,部分成交,0
300213,700,担保品买入,100,9.02,已成,0
603318,700,担保品买入,100,11.33,部分成交,0
300474,700,担保品买入,200,83.93,已成,0
603678,700,担保品买入,800,43.6,已成,0
901,700,担保品买入,200,13.28,部分成交,0
600711,700,担保品买入,100,6.78,部分成交,0
2626,701,担保品卖出,200,48.85,部分成交,0
600711,700,担保品买入,200,6.78,部分成交,0
600711,700,担保品买入,100,6.78,部分成交,0
600711,700,担保品买入,100,6.78,部分成交,0
600711,700,担保品买入,500,6.78,部分成交,0
600711,700,担保品买入,800,6.78,部分成交,0
600711,700,担保品买入,3400,6.78,部分成交,0
2570,700,担保品买入,8600,8.8,已成,0
901,700,担保品买入,3400,13.28,已成,0
600118,700,担保品买入,200,42.13,部分成交,0
600118,700,担保品买入,1300,42.14,已成,0
411,701,担保品卖出,2000,22.98,部分成交,0
600765,700,担保品买入,200,15.36,部分成交,0
600765,700,担保品买入,200,15.36,部分成交,0
600765,700,担保品买入,100,15.36,部分成交,0
600765,700,担保品买入,200,15.36,部分成交,0
600765,700,担保品买入,600,15.36,部分成交,0
600765,700,担保品买入,500,15.36,部分成交,0
600765,700,担保品买入,100,15.36,部分成交,0
600765,700,担保品买入,100,15.37,部分成交,0
600765,700,担保品买入,1400,15.37,已成,0
411,701,担保品卖出,6400,22.98,已成,0
2307,700,担保品买入,200,7.17,已成,0
600711,700,担保品买入,2400,6.78,部分成交,0
600127,701,担保品卖出,3000,14.98,部分成交,0
600127,701,担保品卖出,3700,14.98,部分成交,0
603318,700,担保品买入,200,11.33,部分成交,0
600127,701,担保品卖出,2500,14.98,部分成交,0
600711,700,担保品买入,2200,6.78,已成,0
600127,701,担保品卖出,2300,14.98,部分成交,0
603318,700,担保品买入,1000,11.33,部分成交,0
600127,701,担保品卖出,2500,14.98,部分成交,0
600127,701,担保品卖出,500,14.98,部分成交,0
300238,701,担保品卖出,200,29.32,已成,0
600127,701,担保品卖出,300,14.98,部分成交,0
2626,701,担保品卖出,500,48.77,部分成交,0
2626,701,担保品卖出,200,48.77,部分成交,0
2626,701,担保品卖出,900,48.77,已成,0
300395,701,担保品卖出,200,48.86,已成,0
603218,701,担保品卖出,500,21.09,已成,0
600127,701,担保品卖出,2600,14.98,部分成交,0
901,700,担保品买入,1200,13.27,部分成交,0
901,700,担保品买入,900,13.28,部分成交,0
901,700,担保品买入,100,13.28,部分成交,0
2570,700,担保品买入,7100,8.79,已成,0
901,700,担保品买入,100,13.28,部分成交,0
901,700,担保品买入,100,13.28,部分成交,0
2166,700,担保品买入,1100,10.92,部分成交,0
2166,700,担保品买入,400,10.92,已成,0
300142,701,担保品卖出,400,74.97,已成,0
300648,700,担保品买入,100,32.51,已成,0
600118,700,担保品买入,100,42.13,部分成交,0
600118,700,担保品买入,1800,42.13,已成,0
901,700,担保品买入,300,13.28,部分成交,0
901,700,担保品买入,900,13.28,已成,0
600127,701,担保品卖出,900,14.98,部分成交,0
600127,701,担保品卖出,2800,14.98,部分成交,0
300213,700,担保品买入,2300,9.0,部分成交,0
