证券代码,无用,业务,成交数量,成交价格,委托状态,无用二
603429,701,担保品卖出,60,29.65,已成,0
2299,701,担保品卖出,100,28.86,部分成交,0
2299,701,担保品卖出,100,28.86,部分成交,0
2299,701,担保品卖出,1400,28.85,已成,0
300315,701,担保品卖出,5400,7.19,已成,0
300171,701,担保品卖出,100,16.55,部分成交,0
300171,701,担保品卖出,2800,16.54,部分成交,0
300171,701,担保品卖出,700,16.54,已成,0
603690,701,担保品卖出,100,39.33,部分成交,0
603690,701,担保品卖出,100,39.33,部分成交,0
603690,701,担保品卖出,200,39.33,部分成交,0
603690,701,担保品卖出,100,39.33,已成,0
300280,700,担保品买入,200,46.6,已成,0
603520,701,担保品卖出,1600,86.18,已成,0
300373,700,担保品买入,100,32.8,部分成交,0
300373,700,担保品买入,100,32.81,部分成交,0
300373,700,担保品买入,200,32.82,已成,0
2385,700,担保品买入,12500,9.07,部分成交,0
2385,700,担保品买入,100,9.07,部分成交,0
2385,700,担保品买入,3700,9.07,部分成交,0
2385,700,担保品买入,12000,9.07,已成,0
2481,700,担保品买入,200,17.22,已成,0
600211,700,担保品买入,200,59.06,已成,0
300496,700,担保品买入,100,73.6,已成,0
600966,700,担保品买入,2800,10.0,已成,0
300525,700,担保品买入,800,36.44,部分成交,0
300525,700,担保品买入,300,36.45,已成,0
300274,700,担保品买入,200,13.81,部分成交,0
300274,700,担保品买入,2300,13.82,已成,0
601012,700,担保品买入,3200,40.12,已成,0
603337,701,担保品卖出,700,21.65,已成,0
300315,701,担保品卖出,6100,7.2,已成,0
2299,701,担保品卖出,1600,28.84,已成,0
300280,700,担保品买入,200,46.59,已成,0
603337,701,担保品卖出,1000,21.63,已成,0
300373,700,担保品买入,100,32.78,部分成交,0
300373,700,担保品买入,200,32.78,部分成交,0
300171,701,担保品卖出,4600,16.57,部分成交,0
300373,700,担保品买入,500,32.78,部分成交,0
300373,700,担保品买入,100,32.79,已成,0
601788,701,担保品卖出,13300,14.77,已成,0
600993,701,担保品卖出,300,20.98,部分成交,0
2385,700,担保品买入,4400,9.08,部分成交,0
2385,700,担保品买入,400,9.08,部分成交,0
600993,701,担保品卖出,700,20.98,已成,0
300496,700,担保品买入,200,73.73,已成,0
2385,700,担保品买入,600,9.08,部分成交,0
2385,700,担保品买入,300,9.08,部分成交,0
