冻结金额,可用,参考市值,资产
,3455831.59,,13437447.69
,,,
证券代码,证券名称,可用数量,库存数量,参考成本,参考盈亏,市值,当前价
600,建投能源,57200,57200,5.9411,2797.03,342628.0,5.99
786,北新建材,8500,8500,27.8044,42207.65,278545.0,32.77
799,酒鬼酒,0,700,66.3413,1182.11,47621.0,68.03
830,鲁西化工,35700,35700,9.4603,37475.35,375207.0,10.51
967,盈峰环境,3900,3900,9.5454,-2438.9,34788.0,8.92
2049,紫光国微,2900,2900,124.0495,7106.42,366850.0,126.5
2124,天邦股份,7600,7600,16.276,6642.03,130340.0,17.15
2128,露天煤业,800,800,11.4417,678.63,9832.0,12.29
2181,粤传媒,51300,51300,5.582,-13952.94,272403.0,5.31
2191,劲嘉股份,23700,23700,12.2059,3888.44,293169.0,12.37
2197,证通电子,0,13500,11.962,2402.55,163890.0,12.14
2233,塔牌集团,5800,5800,13.4538,7053.88,85086.0,14.67
2239,奥特佳,9900,59900,5.634,24316.71,361796.0,6.04
2425,凯撒文化,21300,21300,17.7562,-72339.38,305868.0,14.36
2565,顺灏股份,27300,27300,5.5988,853.07,153699.0,5.63
2570,贝因美,0,6200,7.2706,678.34,45756.0,7.38
2666,德联集团,31900,31900,6.7982,8990.51,225852.0,7.08
2675,东诚药业,0,1300,21.6733,-875.23,27300.0,21.0
2683,宏大爆破,600,600,44.5742,2895.5,29640.0,49.4
2706,良信电器,9100,9100,21.2134,-4398.52,188643.0,20.73
2797,第一创业,32300,32300,10.8266,-11840.73,337858.0,10.46
2930,宏川智慧,17100,17100,18.7162,35462.01,355509.0,20.79
2932,明德生物,3200,3200,96.1122,-15815.08,291744.0,91.17
300054,鼎龙股份,16900,16900,21.5474,-47782.61,316368.0,18.72
300065,海兰信,8800,8800,12.0254,26792.65,132616.0,15.07
300070,碧水源,21900,21900,9.5705,12691.23,222285.0,10.15
300085,银之杰,6700,6700,23.7906,14333.86,173731.0,25.93
300137,先河环保,0,4200,7.4113,288.71,31416.0,7.48
300177,中海达,6900,6900,10.8068,-2462.19,72105.0,10.45
300183,东软载波,0,700,21.0136,683.5,15393.0,21.99
300233,金城医药,8900,8900,39.3217,-9004.49,340959.0,38.31
300246,宝莱特,1600,1600,39.821,-2673.57,61040.0,38.15
300261,雅本化学,0,4000,6.8312,955.35,28280.0,7.07
300277,海联讯,1200,1200,13.1203,-1224.36,14520.0,12.1
300293,蓝英装备,11600,11600,27.0258,9212.98,322712.0,27.82
300315,掌趣科技,39000,39000,8.6753,4473.26,342810.0,8.79
300352,北信源,15100,15100,7.4356,7767.55,120045.0,7.95
300464,星徽精密,0,500,19.9234,433.31,10395.0,20.79
300480,光力科技,0,700,18.3831,102.81,12971.0,18.53
300677,英科医疗,2000,2000,175.0933,-31186.53,319000.0,159.5
300741,华宝股份,5000,5000,69.4348,-44174.08,303000.0,60.6
300767,震安科技,900,900,77.5342,6269.26,76050.0,84.5
511990,华宝添益,3,3,-81763.9333,245591.85100000002,300.051,100.017
600211,西藏药业,0,1000,79.5235,-523.52,79000.0,79.0
600366,宁波韵升,100,400,6.7476,-123.05,2576.0,6.44
600426,华鲁恒升,11900,11900,21.2481,34532.32,287385.0,24.15
600705,中航资本,0,36000,4.9608,6809.65,185400.0,5.15
600859,王府井,4800,5700,60.3817,-7590.96,336585.0,59.05
600884,杉杉股份,5800,5800,12.6021,-534.42,72558.0,12.51
601012,隆基股份,4500,4500,44.0621,16505.62,214785.0,47.73
601200,上海环境,10800,10800,13.9739,7194.34,158112.0,14.64
601519,大智慧,0,6900,11.1619,2056.91,79074.0,11.46
601777,力帆股份,0,8200,4.6914,-175.54,38294.0,4.67
601888,中国中免,900,1000,174.5453,21454.66,196000.0,196.0
603069,海汽集团,5100,6800,35.8598,-31754.67,212092.0,31.19
603590,康辰药业,0,100,51.0187,78.13,5180.0,51.8
603906,龙蟠科技,17500,17500,19.3716,19047.37,358050.0,20.46
