冻结金额,可用,参考市值,资产
,2422275.91,,25259069.2
,,,
证券代码,证券名称,可用数量,库存数量,参考成本,参考盈亏,市值,当前价
32,深桑达Ａ,5400,5400,25.8004,-2971.9,136350.0,25.25
66,中国长城,1000,41000,17.2953,600.83,709710.0,17.31
400,许继电气,0,2500,15.1118,-1029.42,36750.0,14.7
531,穗恒运Ａ,0,3900,9.8717,-591.54,37908.0,9.72
584,哈工智能,0,22400,6.3388,4506.25,146496.0,6.54
733,振华科技,6300,6300,30.1482,7382.39,197316.0,31.32
860,顺鑫农业,9600,9600,65.2909,-33512.97,593280.0,61.8
960,锡业股份,0,68700,10.1677,1529.29,700053.0,10.19
975,银泰黄金,2000,2000,16.3961,6667.81,39460.0,19.73
976,华铁股份,0,82700,6.6298,-22316.2,525972.0,6.36
987,越秀金控,0,30700,21.2443,-130.85,652068.0,21.24
2004,华邦健康,0,112800,6.2932,-87214.06,622656.0,5.52
2013,中航机电,0,63000,10.4976,14638.57,675990.0,10.73
2049,紫光国微,5700,5700,122.5274,19793.8,718200.0,126.0
2104,恒宝股份,46000,46000,10.3182,-22458.19,452180.0,9.83
2128,露天煤业,24600,24600,11.772,-8167.45,281424.0,11.44
2156,通富微电,0,14200,25.7749,8876.79,374880.0,26.4
2191,劲嘉股份,52200,52200,12.2355,-45176.56,593514.0,11.37
2214,大立科技,0,12700,28.3643,2230.77,362458.0,28.54
2229,鸿博股份,50,50,207.3336,-10019.18,347.5,6.95
2311,海大集团,500,500,56.3164,66.79,28225.0,56.45
2352,顺丰控股,10600,10600,64.9088,25240.82,713274.0,67.29
2382,蓝帆医疗,0,11200,29.4724,3892.9,333984.0,29.82
2409,雅克科技,0,4500,58.7266,-4754.91,259515.0,57.67
2415,海康威视,0,19900,36.7638,4501.65,736101.0,36.99
2425,凯撒文化,0,50500,13.3806,-4575.86,671145.0,13.29
2515,金字火腿,96,96,360.7678,-33954.03,679.68,7.079999999999999
2570,贝因美,26900,26900,7.8432,-6541.86,204440.0,7.6
2637,赞宇科技,0,13100,12.4432,-2268.7,160737.0,12.27
2727,一心堂,7400,7400,33.0289,-10647.67,233766.0,31.59
2812,恩捷股份,6900,6900,74.9196,-56025.54,460920.0,66.8
2847,盐津铺子,600,600,99.7709,-702.52,59160.0,98.6
2930,宏川智慧,17100,17100,18.7162,11522.01,331569.0,19.39
2940,昂利康,2300,2300,65.1193,2485.54,152260.0,66.2
300005,探路者,63700,63700,4.3907,8239.05,287924.0,4.52
300083,创世纪,61700,61700,9.3727,-60629.57,517663.0,8.39
300085,银之杰,25500,30500,22.7161,-40749.6,652090.0,21.38
300118,东方日升,24500,24500,18.6344,6261.53,462805.0,18.89
300137,先河环保,43980,43980,8.1304,-11012.83,346562.4,7.880000000000001
300151,昌红科技,15700,15700,17.4946,18924.81,293590.0,18.7
300181,佐力药业,31700,31700,6.4117,3434.52,206684.0,6.52
300206,理邦仪器,2100,2100,24.3,-4809.0,46221.0,22.01
300285,国瓷材料,9300,9300,36.1703,-16091.43,320292.0,34.44
300303,聚飞光电,50500,50500,6.4689,8137.01,334815.0,6.63
300346,南大光电,0,16500,37.1944,9827.19,623535.0,37.79
300364,中文在线,0,26300,8.1507,-17.44,214345.0,8.15
300366,创意信息,39700,49700,12.8814,-3050.14,637154.0,12.82
300390,天华超净,14600,14600,17.85,-10950.0,249660.0,17.1
300413,芒果超媒,400,400,68.9403,-1976.12,25600.0,64.0
300485,赛升药业,0,600,18.1145,771.28,11640.0,19.4
300489,中飞股份,8400,8400,44.2749,-43048.74,328860.0,39.15
300492,华图山鼎,0,400,43.832,163.22,17696.0,44.24
300566,激智科技,13000,13000,35.3778,-47161.98,412750.0,31.75
300598,诚迈科技,0,1600,178.0204,447.39,285280.0,178.3
300669,沪宁股份,200,200,34.7052,-285.04,6656.0,33.28
300757,罗博特科,2000,2000,47.7482,-10796.32,84700.0,42.35
511990,华宝添益,6,6,-40831.9567,245591.818,600.078,100.01299999999999
600131,国网信通,2800,2800,22.0738,-5218.51,56588.0,20.21
600201,生物股份,7100,7100,27.8502,-10935.66,186801.0,26.31
600273,嘉化能源,30500,30500,12.0758,-481.57,367830.0,12.06
600515,海航基础,77800,77800,7.621,-49094.87,543822.0,6.99
600702,舍得酒业,0,17900,36.1164,4718.11,651202.0,36.38
600834,申通地铁,0,3800,11.1974,-28.22,42522.0,11.19
600970,中材国际,0,25500,5.9316,-805.69,150450.0,5.9
601519,大智慧,0,34800,10.2604,-362.69,356700.0,10.25
601865,福莱特,0,25100,22.4976,-26295.98,538395.0,21.45
603238,诺邦股份,0,3100,41.6335,-4195.83,124868.0,40.28
603501,韦尔股份,3300,3300,210.2854,-43841.96,650100.0,197.0
603605,珀莱雅,2700,2700,172.2956,-19077.03,446121.0,165.23
603766,隆鑫通用,0,12500,4.2207,-1133.97,51625.0,4.13
603915,国茂股份,52,52,3.0842,897.3,1057.68,20.34
