证券代码,无用,业务,成交数量,成交价格,委托状态,无用二
2847,701,担保品卖出,100,98.41,已成,0
2745,701,担保品卖出,600,15.26,已成,0
2181,701,担保品卖出,10000,4.98,部分成交,0
600812,701,担保品卖出,1600,14.17,已成,0
2821,701,担保品卖出,100,221.36,已成,0
600587,701,担保品卖出,400,19.23,部分成交,0
600861,701,担保品卖出,1500,15.46,部分成交,0
600861,701,担保品卖出,500,15.46,部分成交,0
600861,701,担保品卖出,300,15.46,部分成交,0
600861,701,担保品卖出,600,15.46,部分成交,0
600861,701,担保品卖出,500,15.46,部分成交,0
600861,701,担保品卖出,300,15.46,部分成交,0
600861,701,担保品卖出,100,15.46,已成,0
975,701,担保品卖出,3600,19.29,部分成交,0
2515,701,担保品卖出,8200,7.16,部分成交,0
2666,701,担保品卖出,600,6.46,部分成交,0
2666,701,担保品卖出,4100,6.46,部分成交,0
2666,701,担保品卖出,800,6.46,部分成交,0
2666,701,担保品卖出,600,6.46,已成,0
2515,701,担保品卖出,400,7.16,已成,0
2181,701,担保品卖出,500,4.98,部分成交,0
300144,701,担保品卖出,1000,18.34,已成,0
531,700,担保品买入,3900,9.87,已成,0
975,701,担保品卖出,100,19.28,已成,0
600409,701,担保品卖出,10715,6.01,部分成交,0
600409,701,担保品卖出,1000,6.01,部分成交,0
600409,701,担保品卖出,600,6.01,部分成交,0
600409,701,担保品卖出,4385,6.01,已成,0
300346,700,担保品买入,300,36.9,已成,0
2555,701,担保品卖出,100,43.75,已成,0
987,700,担保品买入,6700,21.32,已成,0
300598,700,担保品买入,1500,177.5,已成,0
300364,700,担保品买入,4900,8.14,已成,0
600597,701,担保品卖出,900,16.96,部分成交,0
976,700,担保品买入,10000,6.67,已成,0
2409,700,担保品买入,100,58.73,已成,0
600970,700,担保品买入,6700,5.93,部分成交,0
600970,700,担保品买入,500,5.93,已成,0
2156,700,担保品买入,1000,25.73,部分成交,0
2156,700,担保品买入,100,25.73,部分成交,0
2156,700,担保品买入,600,25.73,部分成交,0
2156,700,担保品买入,300,25.76,部分成交,0
2013,700,担保品买入,1000,10.34,部分成交,0
2181,701,担保品卖出,1100,4.98,已成,0
2156,700,担保品买入,1800,25.76,部分成交,0
400,700,担保品买入,100,15.09,部分成交,0
2013,700,担保品买入,300,10.34,部分成交,0
601519,700,担保品买入,2700,10.28,部分成交,0
601519,700,担保品买入,1000,10.28,部分成交,0
601519,700,担保品买入,500,10.28,已成,0
300673,701,担保品卖出,100,41.83,已成,0
600597,701,担保品卖出,400,16.96,已成,0
603238,700,担保品买入,100,41.45,已成,0
2156,700,担保品买入,100,25.76,部分成交,0
2156,700,担保品买入,100,25.76,已成,0
2013,700,担保品买入,100,10.34,部分成交,0
2013,700,担保品买入,100,10.34,部分成交,0
2013,700,担保品买入,200,10.34,部分成交,0
2013,700,担保品买入,100,10.34,已成,0
600834,700,担保品买入,600,11.22,已成,0
2204,701,担保品卖出,11000,4.74,部分成交,0
2204,701,担保品卖出,9200,4.74,已成,0
2677,701,担保品卖出,2400,13.58,已成,0
300213,701,担保品卖出,1200,8.29,部分成交,0
300213,701,担保品卖出,600,8.28,已成,0
2204,701,担保品卖出,200,4.74,部分成交,0
2204,701,担保品卖出,2000,4.74,部分成交,0
2444,701,担保品卖出,400,16.18,已成,0
600352,701,担保品卖出,3000,14.52,部分成交,0
600352,701,担保品卖出,3000,14.52,部分成交,0
600352,701,担保品卖出,1000,14.52,部分成交,0
600352,701,担保品卖出,300,14.52,部分成交,0
600352,701,担保品卖出,400,14.52,已成,0
300144,701,担保品卖出,400,18.33,部分成交,0
300144,701,担保品卖出,300,18.33,部分成交,0
2204,701,担保品卖出,10000,4.74,部分成交,0
600597,701,担保品卖出,900,16.94,已成,0
2204,701,担保品卖出,18600,4.74,已成,0
600861,701,担保品卖出,5400,15.49,已成,0
300144,701,担保品卖出,100,18.33,部分成交,0
2666,701,担保品卖出,700,6.46,部分成交,0
2709,701,担保品卖出,200,37.5,部分成交,0
2666,701,担保品卖出,200,6.46,已成,0
2709,701,担保品卖出,100,37.5,已成,0
400,700,担保品买入,2000,15.11,已成,0
300598,700,担保品买入,100,177.25,已成,0
975,701,担保品卖出,2000,19.3,部分成交,0
975,701,担保品卖出,300,19.3,部分成交,0
987,700,担保品买入,1100,21.33,部分成交,0
987,700,担保品买入,200,21.34,已成,0
976,700,担保品买入,5000,6.68,部分成交,0
976,700,担保品买入,200,6.68,已成,0
600409,701,担保品卖出,6700,6.01,部分成交,0
975,701,担保品卖出,3300,19.3,已成,0
600587,701,担保品卖出,100,19.08,已成,0
2409,700,担保品买入,200,58.71,已成,0
600089,701,担保品卖出,2400,8.34,部分成交,0
600409,701,担保品卖出,800,6.01,已成,0
2013,700,担保品买入,2500,10.35,已成,0
300144,701,担保品卖出,100,18.33,已成,0
601865,700,担保品买入,400,22.45,部分成交,0
601865,700,担保品买入,300,22.45,部分成交,0
601865,700,担保品买入,200,22.45,部分成交,0
601865,700,担保品买入,600,22.45,已成,0
2214,700,担保品买入,100,28.25,已成,0
2382,700,担保品买入,900,29.48,部分成交,0
2382,700,担保品买入,200,29.48,部分成交,0
2382,700,担保品买入,200,29.48,部分成交,0
2382,700,担保品买入,700,29.49,已成,0
2415,700,担保品买入,100,36.74,部分成交,0
2415,700,担保品买入,200,36.77,部分成交,0
2415,700,担保品买入,400,36.78,部分成交,0
2415,700,担保品买入,100,36.8,部分成交,0
2415,700,担保品买入,100,36.8,部分成交,0
2415,700,担保品买入,100,36.8,部分成交,0
2415,700,担保品买入,400,36.8,部分成交,0
2415,700,担保品买入,500,36.8,部分成交,0
2415,700,担保品买入,300,36.8,部分成交,0
2415,700,担保品买入,2500,36.8,部分成交,0
2415,700,担保品买入,400,36.8,部分成交,0
2415,700,担保品买入,100,36.8,部分成交,0
2415,700,担保品买入,100,36.8,部分成交,0
2415,700,担保品买入,200,36.8,部分成交,0
2415,700,担保品买入,100,36.8,部分成交,0
2415,700,担保品买入,100,36.8,部分成交,0
2415,700,担保品买入,300,36.8,已成,0
600702,700,担保品买入,3700,36.17,已成,0
600970,700,担保品买入,8200,5.94,已成,0
600089,701,担保品卖出,6900,8.34,部分成交,0
2137,701,担保品卖出,3600,7.95,已成,0
2156,700,担保品买入,1100,25.8,部分成交,0
2156,700,担保品买入,500,25.8,已成,0
2204,701,担保品卖出,20900,4.74,部分成交,0
2204,701,担保品卖出,500,4.74,部分成交,0
2204,701,担保品卖出,300,4.74,部分成交,0
2204,701,担保品卖出,400,4.74,部分成交,0
2677,701,担保品卖出,1000,13.58,已成,0
2204,701,担保品卖出,1000,4.74,部分成交,0
300213,701,担保品卖出,300,8.27,已成,0
2204,701,担保品卖出,600,4.74,部分成交,0
2204,701,担保品卖出,2000,4.74,部分成交,0
2745,701,担保品卖出,154,15.21,部分成交,0
2745,701,担保品卖出,1000,15.21,部分成交,0
2745,701,担保品卖出,1200,15.21,部分成交,0
2745,701,担保品卖出,146,15.21,已成,0
2204,701,担保品卖出,300,4.74,部分成交,0
2204,701,担保品卖出,4600,4.74,已成,0
2137,701,担保品卖出,200,7.95,已成,0
2555,701,担保品卖出,100,43.7,部分成交,0
2555,701,担保品卖出,100,43.7,已成,0
88,701,担保品卖出,100,7.23,部分成交,0
600812,701,担保品卖出,2800,14.2,已成,0
2666,701,担保品卖出,1600,6.46,已成,0
2515,701,担保品卖出,100,7.16,部分成交,0
2515,701,担保品卖出,100,7.16,部分成交,0
2515,701,担保品卖出,500,7.16,部分成交,0
2515,701,担保品卖出,200,7.16,部分成交,0
2515,701,担保品卖出,100,7.16,已成,0
600861,701,担保品卖出,4200,15.49,已成,0
300144,701,担保品卖出,200,18.32,部分成交,0
300144,701,担保品卖出,1100,18.32,部分成交,0
300144,701,担保品卖出,400,18.31,部分成交,0
