冻结金额,可用,参考市值,资产
,1425174.69,,25838180.04
,,,
证券代码,证券名称,可用数量,库存数量,参考成本,参考盈亏,市值,当前价
70,特发信息,0,23100,11.7016,-1423.94,268884.0,11.64
603,盛达资源,9500,9500,19.1429,-11427.27,170430.0,17.94
672,上峰水泥,0,14700,30.2459,-4055.59,440559.0,29.97
710,贝瑞基因,100,8600,87.6442,26968.01,780708.0,90.78
795,英洛华,7400,7400,6.6213,-897.35,48100.0,6.5
976,华铁股份,82700,82700,6.6297,7466.75,555744.0,6.72
2004,华邦健康,100600,100600,6.3992,-86435.56,557324.0,5.54
2020,京新药业,0,51200,14.9063,9919.28,773120.0,15.1
2028,思源电气,0,27000,27.68,4049.98,751410.0,27.83
2057,中钢天源,87600,87600,7.9954,-16240.04,684156.0,7.81
2117,东港股份,2000,2000,11.8018,396.46,24000.0,12.0
2157,正邦科技,32600,32600,21.1637,3138.52,693076.0,21.26
2182,云海金属,0,60200,12.1583,1905.58,733838.0,12.19
2364,中恒电气,0,7100,15.0358,5709.85,112464.0,15.84
2449,国星光电,0,51000,14.4362,5804.85,742050.0,14.55
2557,洽洽食品,12500,12500,56.2413,30233.56,733250.0,58.66
2570,贝因美,26900,26900,7.8432,183.14,211165.0,7.85
2581,未名医药,30500,30500,22.6982,13475.18,705770.0,23.14
2653,海思科,0,26300,28.2261,1416.83,743764.0,28.28
2867,周大生,3100,3100,28.3046,1225.86,88970.0,28.7
2930,宏川智慧,17100,17100,18.7162,38198.01,358245.0,20.95
2940,昂利康,2300,2300,65.1193,-8094.46,141680.0,61.6
300005,探路者,63700,63700,4.3907,15883.05,295568.0,4.64
300009,安科生物,0,34500,21.3617,286.01,737265.0,21.37
300031,宝通科技,9500,9500,28.5979,-21354.76,250325.0,26.35
300118,东方日升,24500,24500,18.6344,-11623.47,444920.0,18.16
300119,瑞普生物,7500,7500,22.9812,14016.14,186375.0,24.85
300146,汤臣倍健,0,100,22.7987,89.13,2369.0,23.69
300151,昌红科技,15700,15700,17.4946,41375.81,316041.0,20.13
300159,新研股份,0,95100,5.2925,-12602.54,490716.0,5.16
300177,中海达,0,67700,11.4637,-25976.44,750116.0,11.08
300182,捷成股份,0,150300,5.0129,19099.45,772542.0,5.14
300194,福安药业,0,58300,6.277,-407.85,365541.0,6.27
300199,翰宇药业,41500,41500,7.658,45317.33,363125.0,8.75
300238,冠昊生物,1800,5800,31.1706,14670.39,195460.0,33.7
300296,利亚德,0,104000,7.093,-1350.07,736320.0,7.08
300303,聚飞光电,50500,50500,6.4689,19752.01,346430.0,6.86
300364,中文在线,26300,26300,8.1273,2962.94,216712.0,8.24
300366,创意信息,24700,76100,13.3227,66765.39,1080620.0,14.2
300427,红相股份,0,28600,25.4365,-43085.4,684398.0,23.93
300464,星徽精密,0,1600,24.49,1312.01,40496.0,25.31
300492,华图山鼎,400,400,43.7066,785.38,18268.0,45.67
300573,兴齐眼药,700,700,192.9446,-2397.25,132664.0,189.52
300677,英科医疗,1900,1900,173.9872,-8905.59,321670.0,169.3
300678,中科信息,0,2300,22.8288,968.87,53475.0,23.25
300740,御家汇,0,11000,21.9184,4418.05,245520.0,22.32
300757,罗博特科,2000,2000,47.7482,-6176.32,89320.0,44.66
300758,七彩化学,2200,2200,27.9469,11402.78,72886.0,33.13
511990,华宝添益,6,6,-40831.9567,245591.764,600.024,100.004
600131,国网信通,1900,1900,23.0614,-5284.59,38532.0,20.28
600161,天坛生物,0,15500,47.5954,21770.61,759500.0,49.0
600490,鹏欣资源,120800,120800,4.0839,-10134.84,483200.0,4.0
600515,海航基础,27800,77800,7.4942,-17440.17,565606.0,7.27
600702,舍得酒业,17900,17900,36.1164,21723.14,668207.0,37.33
600834,申通地铁,3800,3800,11.1974,617.78,43168.0,11.36
601108,财通证券,0,49800,15.3044,-4205.53,757956.0,15.22
601865,福莱特,9700,9700,22.8091,-2901.25,218347.0,22.51
601949,中国出版,0,26100,5.9588,7862.54,163386.0,6.26
603167,渤海轮渡,16500,16500,8.0886,9758.29,143220.0,8.68
603501,韦尔股份,3300,3300,210.2854,-22721.96,671220.0,203.4
603605,珀莱雅,2700,2700,172.2956,18884.97,484083.0,179.29
603718,海利生物,5700,5700,42.1568,14211.2,254505.0,44.65
