时间            委托编号        委托标识        成交编号                证券代码        交易业务                成交数量        成交价格        委托状态        汇总成交        汇总撤单
09:16:36.000    237393304       10001           WTD:1046000003          601818          100 证券买入            -100            3.6000          已撤            0               0
09:30:00.000    217388347       217388347       146866                  511990          101 证券卖出            80000           99.9820         已成            0               0
09:32:42.000    213392050       10002           0102000001715315        300548          101 证券卖出            300             57.7000         已成            0               0
09:32:42.000    217388857       10003           0104000001919660        000951          100 证券买入            200             28.4700         已成            0               0
09:32:42.000    213392052       10008           0101000001675390        300229          100 证券买入            3400            11.7700         已成            0               0
09:32:42.000    205392202       10012           0101000001676296        002352          100 证券买入            900             56.0900         已成            0               0
09:32:42.000    221394004       10004           920401                  603181          100 证券买入            500             21.1000         已成            0               0
09:32:42.000    225385977       10005           920367                  603127          100 证券买入            100             91.1600         部分成交        0               0
09:32:42.000    225385977       10005           920368                  603127          100 证券买入            100             91.1600         部分成交        0               0
09:32:42.000    229393277       10006           920370                  603317          100 证券买入            100             52.3700         已成            0               0
09:32:42.000    225385977       10005           920369                  603127          100 证券买入            100             91.1600         已成            0               0
09:32:42.000    217388858       10009           920819                  600298          100 证券买入            400             45.1700         已成            0               0
09:32:42.000    229393278       10010           921112                  600486          100 证券买入            300             82.3600         已成            0               0
09:32:42.000    233387350       10011           921113                  603583          100 证券买入            100             66.8700         已成            0               0
09:32:42.000    213392053       10014           921636                  603208          100 证券买入            400             103.2000        已成            0               0
09:32:43.000    233387349       10007           923711                  603338          100 证券买入            100             74.7600         已成            0               0
09:32:44.000    209386512       10013           0101000001688470        300653          100 证券买入            -500            73.8700         已撤            0               0
09:32:47.000    209386521       10016           0104000001951627        000951          100 证券买入            100             28.4600         已成            0               0
09:32:47.000    209386522       10020           0101000001702718        300229          100 证券买入            3400            11.7600         部分成交        0               0
09:32:47.000    209386522       10020           0101000001702720        300229          100 证券买入            500             11.7600         部分成交        0               0
09:32:47.000    209386522       10020           0101000001702722        300229          100 证券买入            400             11.7600         部分成交        0               0
09:32:47.000    209386522       10020           0101000001702724        300229          100 证券买入            100             11.7600         已成            0               0
09:32:48.000    201385402       10024           0101000001703483        002352          100 证券买入            100             56.0500         部分成交        0               0
