冻结金额,可用,参考市值,资产
6438488.35,3082246.86,35568720.67,38652767.73
,,,
证券代码,证券名称,可用数量,库存数量,参考成本,参考盈亏,市值,当前价
59,华锦股份,0,5600,5.129,229.64,28952.0,5.17
403,双林生物,14300,14300,72.4279,-1685.33,1034033.0,72.31
425,徐工机械,156400,156400,6.3952,28908.98,1029112.0,6.58
546,金圆股份,80600,80600,10.2061,38193.66,860808.0,10.68
882,华联股份,111700,111700,2.0603,11135.48,241272.0,2.16
2024,苏宁易购,103700,106800,9.6221,102301.73,1129944.0,10.58
2027,分众传媒,170500,173200,5.9948,16494.58,1054788.0,6.09
2242,九阳股份,27900,28100,34.3593,49475.56,1014972.0,36.12
2252,上海莱士,112900,112900,8.9326,109219.75,1117710.0,9.9
2312,三泰控股,44700,44700,5.0477,24240.16,249873.0,5.59
2340,格林美,0,190200,5.4753,-1013.9,1040394.0,5.47
2376,新北洋,92100,92100,11.0302,29456.2,1045335.0,11.35
2422,科伦药业,44600,44600,22.4389,31267.94,1032044.0,23.14
2534,杭锅股份,56400,56400,7.5493,57565.55,483348.0,8.57
2616,长青集团,27000,27000,10.7622,34501.76,325080.0,12.04
2705,新宝股份,30100,30100,35.0202,49358.92,1103466.0,36.66
2749,国光股份,26700,26700,12.3776,31035.46,361518.0,13.54
2791,坚朗五金,1700,1700,56.2141,56415.96,151980.0,89.4
2821,凯莱英,700,700,218.94,6481.97,159740.0,228.2
2880,卫光生物,3500,3500,44.7364,73197.52,229775.0,65.65
300027,华谊兄弟,238700,241700,4.2205,19226.4,1039310.0,4.3
300220,金运激光,4500,4500,34.8301,14264.5,171000.0,38.0
300232,洲明科技,0,110800,9.4661,-6219.6,1042628.0,9.41
300298,三诺生物,33900,33900,31.6612,93862.13,1167177.0,34.43
300476,胜宏科技,0,40200,26.0878,9336.2,1058064.0,26.32
300638,广和通,10300,10300,59.2922,55288.42,665998.0,64.66
300653,正海生物,13950,13950,74.9012,4029.3,1048900.5,75.19
300673,佩蒂股份,1600,1600,36.9174,3300.15,62368.0,38.98
300699,光威复材,63,63,-1532.9968,100739.95,4161.15,66.05
300751,迈为股份,300,300,299.0149,4825.54,94530.0,315.1
300760,迈瑞医疗,3400,3400,293.9956,88279.07,1087864.0,319.96
511990,华宝添益,4,4,-27303.1125,109612.466,400.01599999999996,100.00399999999999
600010,包钢股份,4900,513900,1.1933,39423.17,652653.0,1.27
600039,四川路桥,8100,8100,4.08,1053.38,34101.0,4.21
600151,航天机电,2100,2100,5.1399,441.17,11235.0,5.35
600219,南山铝业,0,301400,2.4165,-1948.91,726374.0,2.41
600307,酒钢宏兴,0,89900,1.7352,2227.31,158224.0,1.76
600486,扬农化工,11600,11600,82.1014,49516.3,1001892.0,86.37
600490,鹏欣资源,0,170000,3.7603,-1758.74,637500.0,3.75
600811,东方集团,149900,149900,4.4239,95355.22,758494.0,5.06
600984,建设机械,48700,48700,22.7515,-21012.32,1086984.0,22.32
601668,中国建筑,8100,8100,5.5209,-331.6,44388.0,5.48
601766,中国中车,12500,12500,6.3211,361.57,79375.0,6.35
601799,星宇股份,1500,1500,118.2781,18782.82,196200.0,130.8
601965,中国汽研,12300,12300,9.5905,6636.42,124599.0,10.13
603077,和邦生物,0,728400,1.4243,18728.33,1056180.0,1.45
603127,昭衍新药,8900,8900,91.0133,73484.35,883503.0,99.27
603179,新泉股份,1500,1500,21.767,1729.46,34380.0,22.92
603181,皇马科技,38800,38800,21.1413,50001.52,870284.0,22.43
603228,景旺电子,16080,16080,34.0047,77108.26,623904.0,38.8
603355,莱克电气,23100,23100,23.1417,49163.71,583737.0,25.27
603516,淳中科技,4100,4100,39.2692,10458.44,171462.0,41.82
603538,美诺华,8400,8400,51.0788,-9902.08,419160.0,49.9
603566,普莱柯,15500,15500,25.2599,38596.46,430125.0,27.75
603583,捷昌驱动,200,200,-143.5942,43458.84,14740.0,73.7
603611,诺力股份,19500,19500,20.023,52005.68,442455.0,22.69
603688,石英股份,25100,25100,21.6371,153684.04,696776.0,27.76
603699,纽威股份,6400,6400,15.5439,12391.13,111872.0,17.48
603707,健友股份,700,700,61.8305,-784.35,42497.0,60.71
603713,密尔克卫,10300,10300,96.1835,84835.72,1075526.0,104.42
603826,坤彩科技,28200,28200,30.3487,64332.61,920166.0,32.63
603856,东宏股份,35400,35400,14.5343,28875.51,543390.0,15.35
