证券代码,无用,业务,成交数量,成交价格,委托状态,无用二
2127,101,证券卖出,300,18.58,已成,0
603508,101,证券卖出,1000,37.69,部分成交,0
603508,101,证券卖出,500,37.66,已成,0
603486,101,证券卖出,200,39.54,已成,0
603508,101,证券卖出,1500,37.71,已成,0
603486,101,证券卖出,200,39.5,已成,0
603508,101,证券卖出,500,37.74,部分成交,0
603508,101,证券卖出,400,37.7,部分成交,0
603508,101,证券卖出,1100,37.69,已成,0
603508,101,证券卖出,200,37.7,已成,0
603486,101,证券卖出,100,39.27,已成,0
603508,101,证券卖出,1000,37.72,部分成交,0
603508,101,证券卖出,300,37.71,已成,0
603486,101,证券卖出,100,38.89,部分成交,0
603486,101,证券卖出,200,38.89,已成,0
603486,101,证券卖出,200,38.88,部分成交,0
603486,101,证券卖出,200,38.88,已成,0
603486,101,证券卖出,800,38.87,部分成交,0
603486,101,证券卖出,400,38.87,已成,0
603486,101,证券卖出,100,38.38,部分成交,0
603486,101,证券卖出,100,38.38,部分成交,0
603486,101,证券卖出,100,38.38,已成,0
603486,101,证券卖出,100,38.48,已成,0
603486,101,证券卖出,400,38.57,已成,0
