时间            委托编号        委托标识        证券代码        交易业务        委托数量        委托价格        委托状态
09:19:06.262    221368401       10001           601818          100 证券买入    100             3.6000          已撤
09:30:16.555    205366539       10002           600657          101 证券卖出    20              4.1600          已成
10:32:04.292    209365650       10003           002025          101 证券卖出    700             33.8000         已成
10:32:04.392    217367687       10004           601231          101 证券卖出    100             21.4800         已成
10:32:04.492    225365165       10005           603060          101 证券卖出    400             18.7400         部撤
10:32:04.593    233366332       10006           603823          101 证券卖出    400             19.7700         已成
10:32:04.694    209365651       10007           600570          101 证券卖出    100             98.3100         已成
10:32:04.795    221372812       10008           603733          101 证券卖出    2300            16.4100         已成
10:32:04.894    237372585       10009           002163          101 证券卖出    7600            9.7400          已成
10:32:04.993    205370897       10010           002409          101 证券卖出    100             48.0800         已成
10:32:05.090    213370849       10011           603825          101 证券卖出    200             32.8700         已成
10:32:05.192    225365166       10012           603659          101 证券卖出    200             102.4500        已成
10:32:05.295    201364104       10013           601699          101 证券卖出    300             5.9300          已成
10:32:05.391    213370850       10014           603486          101 证券卖出    200             30.6600         已成
10:32:05.492    225365167       10015           000988          101 证券卖出    500             23.6900         已成
10:32:05.593    217367690       10016           002460          101 证券卖出    200             55.7000         已成
10:32:05.691    233366336       10017           600521          100 证券买入    1000            32.1400         已成
10:32:05.792    217367692       10018           002241          100 证券买入    1400            26.4200         已成
10:32:05.906    233366338       10019           002605          100 证券买入    1900            34.3500         已成
10:32:05.993    233366339       10020           600859          100 证券买入    400             40.6000         已成
10:32:06.092    201364111       10021           000636          100 证券买入    1200            28.7700         已成
10:32:06.191    201364112       10022           002129          100 证券买入    1100            21.0900         已成
10:32:11.193    233366350       10023           603486          101 证券卖出    100             30.6800         已成
10:32:11.291    217367707       10024           000988          101 证券卖出    800             23.7000         已成
10:32:11.390    201364129       10025           002460          101 证券卖出    600             55.6800         已成
10:32:11.492    209365678       10026           002025          101 证券卖出    100             33.8100         已成
10:32:11.695    237372601       10027           603823          101 证券卖出    1600            19.7700         部撤
10:32:11.795    221372832       10028           603733          101 证券卖出    5500            16.3900         已成
10:32:11.891    225365190       10029           600570          101 证券卖出    100             98.2300         已成
10:32:11.993    221372833       10030           603825          101 证券卖出    200             32.8200         已成
10:32:12.091    201364130       10031           002951          101 证券卖出    300             17.6300         已成
10:32:12.195    233366353       10032           300750          100 证券买入    100             168.0000        已成
10:32:12.294    233366354       10033           600859          100 证券买入    400             40.6000         已成
10:32:12.402    209365681       10034           000636          100 证券买入    200             28.7600         已成
10:32:12.493    217367712       10035           600521          100 证券买入    1000            32.1400         已成
10:32:17.499    221372843       10036           000988          101 证券卖出    800             23.6900         已成
10:32:17.604    209365691       10037           002025          101 证券卖出    100             33.8000         已成
10:32:17.799    213370877       10038           601231          101 证券卖出    100             21.4800         已成
10:32:17.891    201364140       10039           300566          101 证券卖出    700             27.0400         已成
10:32:17.994    221372846       10040           603823          101 证券卖出    1600            19.7500         已成
10:32:18.091    233366367       10041           603733          101 证券卖出    800             16.3900         已成
10:32:18.194    217367721       10042           603825          101 证券卖出    200             32.7700         已成
10:32:18.292    233366368       10043           002951          101 证券卖出    3100            17.6100         已成
10:32:18.394    217367722       10044           300404          101 证券卖出    300             14.9900         已成
10:32:18.492    209365697       10045           603517          101 证券卖出    100             69.9300         已成
10:32:18.593    225365204       10046           603486          101 证券卖出    100             30.6900         已成
10:32:18.696    233366370       10047           600859          100 证券买入    1100            40.6300         已成
10:32:18.795    201364144       10048           000636          100 证券买入    1000            28.7600         已成
10:32:18.891    209365698       10049           002241          100 证券买入    2800            26.4200         已成
10:32:23.892    237372627       10050           002951          101 证券卖出    1400            17.6000         已成
10:32:23.993    229372545       10051           300404          101 证券卖出    100             14.9900         已成
10:32:24.092    221372855       10052           002925          101 证券卖出    100             57.6700         已成
10:32:24.196    229372546       10053           603486          101 证券卖出    100             30.6900         已成
10:32:24.294    217367733       10054           002025          101 证券卖出    700             33.7600         部撤
10:32:24.495    209365707       10055           601231          101 证券卖出    1100            21.4900         已成
10:32:24.591    233366377       10056           300566          101 证券卖出    100             27.0500         已成
10:32:24.692    209365708       10057           603060          101 证券卖出    300             18.7300         已成
10:32:24.901    201364156       10058           603823          101 证券卖出    700             19.7400         已成
10:32:24.901    205370932       10059           603733          101 证券卖出    1300            16.3900         已成
10:32:25.092    209365709       10061           600521          100 证券买入    100             32.0100         已撤
10:32:25.193    217367737       10062           000636          100 证券买入    500             28.7500         已成
10:32:25.291    229372548       10063           002241          100 证券买入    500             26.4300         已成
10:32:24.999    225365215       10060           603825          101 证券卖出    500             32.8100         已成
10:32:25.393    217367738       10064           002605          100 证券买入    800             34.3200         已成
10:32:30.393    233366395       10065           603823          101 证券卖出    100             19.7300         已成
10:32:30.492    209365725       10066           603733          101 证券卖出    1000            16.3900         已成
10:32:30.592    209365726       10067           600570          101 证券卖出    200             98.2800         已成
10:32:30.702    225365232       10068           603825          101 证券卖出    400             32.8100         已成
10:32:30.897    225365233       10069           603659          101 证券卖出    100             102.2900        已成
10:32:30.897    229372566       10070           002951          101 证券卖出    300             17.6000         已成
10:32:30.993    225365234       10071           300404          101 证券卖出    100             14.9900         已成
10:32:31.104    209365728       10072           603517          101 证券卖出    500             69.9100         已成
10:32:31.192    221372874       10073           002925          101 证券卖出    100             57.6700         已成
10:32:31.292    205370946       10074           601699          101 证券卖出    1200            5.9300          已成
10:32:31.392    213370902       10075           603486          101 证券卖出    100             30.6900         已成
10:32:31.491    221372875       10076           603658          101 证券卖出    100             172.7100        已成
10:32:31.598    229372568       10077           000988          101 证券卖出    300             23.6900         已成
10:32:31.694    217367758       10078           002460          101 证券卖出    1500            55.6300         已成
10:32:31.795    217367759       10079           002025          101 证券卖出    600             33.7500         部撤
10:32:32.017    229372569       10080           600859          100 证券买入    200             40.4500         已撤
10:32:32.095    237372647       10081           002241          100 证券买入    1400            26.4400         已成
10:32:32.195    205370949       10082           002605          100 证券买入    2500            34.3500         已成
10:32:37.192    229372584       10083           603823          101 证券卖出    300             19.7300         已成
10:32:37.291    237372660       10084           603733          101 证券卖出    200             16.3900         已成
10:32:37.391    205370962       10085           002409          101 证券卖出    100             48.0900         已成
10:32:37.493    213370915       10086           002951          101 证券卖出    700             17.5900         已成
10:32:37.593    229372585       10087           300404          101 证券卖出    900             14.9900         已成
10:32:37.693    205370963       10088           603517          101 证券卖出    200             69.8300         已成
10:32:37.799    237372662       10089           002925          101 证券卖出    100             57.6500         已成
10:32:37.892    213370918       10090           603486          101 证券卖出    100             30.6900         已成
10:32:38.000    221372895       10091           603658          101 证券卖出    100             173.5700        已撤
