证券代码,无用,业务,成交数量,成交价格,委托状态,无用二
2465,101,证券卖出,38,12.83,已成,0
2878,101,证券卖出,30,22.57,已成,0
603027,101,证券卖出,60,28.53,已成,0
2732,101,证券卖出,500,21.48,已成,0
2063,101,证券卖出,1200,12.72,部分成交,0
2063,101,证券卖出,500,12.72,部分成交,0
2063,101,证券卖出,900,12.72,已成,0
603208,101,证券卖出,100,98.0,已成,0
2508,101,证券卖出,300,32.28,部分成交,0
2508,101,证券卖出,300,32.28,部分成交,0
2705,101,证券卖出,100,35.72,已成,0
603345,101,证券卖出,100,117.2,已成,0
2683,101,证券卖出,200,35.94,已成,0
603138,101,证券卖出,100,22.89,已成,0
2508,101,证券卖出,300,32.25,部分成交,0
2241,101,证券卖出,500,26.99,部分成交,0
2241,101,证券卖出,100,26.99,部分成交,0
2241,101,证券卖出,800,26.99,部分成交,0
2241,101,证券卖出,2000,26.99,部分成交,0
2241,101,证券卖出,2000,26.99,已成,0
603055,101,证券卖出,80,7.59,部分成交,0
603055,101,证券卖出,120,7.59,已成,0
2539,101,证券卖出,200,6.71,已成,0
2940,101,证券卖出,300,54.95,已成,0
600872,101,证券卖出,400,56.05,已成,0
300396,101,证券卖出,100,27.22,已成,0
976,101,证券卖出,200,5.25,已成,0
300136,101,证券卖出,500,50.11,已成,0
300161,101,证券卖出,100,21.87,已成,0
300723,101,证券卖出,100,41.25,已成,0
2508,101,证券卖出,400,32.25,已成,0
300558,101,证券卖出,100,133.79,已成,0
2841,101,证券卖出,200,95.62,已成,0
300088,101,证券卖出,1400,10.83,部分成交,0
300088,101,证券卖出,600,10.83,已成,0
600885,101,证券卖出,226,39.41,部分成交,0
600885,101,证券卖出,774,39.4,已成,0
2582,101,证券卖出,1700,12.14,已成,0
2747,101,证券卖出,1300,11.33,已成,0
300485,101,证券卖出,100,21.86,部分成交,0
300760,101,证券卖出,100,298.74,已成,0
300530,101,证券卖出,200,42.72,已成,0
636,101,证券卖出,500,30.07,已成,0
2749,101,证券卖出,100,13.1,已成,0
603605,101,证券卖出,100,172.89,已成,0
300379,101,证券卖出,200,42.95,已成,0
2706,101,证券卖出,200,15.89,已成,0
300223,101,证券卖出,100,105.22,已成,0
300653,101,证券卖出,50,72.93,部分成交,0
300653,101,证券卖出,100,72.9,部分成交,0
300653,101,证券卖出,150,72.9,已成,0
300300,101,证券卖出,300,6.16,已成,0
603313,101,证券卖出,700,24.39,已成,0
603650,101,证券卖出,300,22.87,已成,0
600764,100,证券买入,600,25.26,已成,0
