时间            委托编号        委托标识        证券代码        交易业务        委托数量        委托价格        委托状态
09:17:07.868    222198101       10001           601818          100 证券买入    100             3.6000          已撤
09:30:26.536    222198165       10002           000800          101 证券卖出    1               14.2100         已成
09:30:26.537    226186464       10003           002413          101 证券卖出    20              10.6500         已成
09:30:26.537    230196366       10004           002302          101 证券卖出    70              10.9400         已成
10:32:25.090    238199248       10005           002190          101 证券卖出    400             32.3500         已成
10:32:25.198    214197842       10006           002346          101 证券卖出    1000            11.1600         已成
10:32:25.308    202190012       10007           002920          101 证券卖出    400             72.4300         已成
10:32:25.389    210193381       10008           300206          101 证券卖出    1400            22.8100         已成
10:32:25.490    230200446       10009           002851          101 证券卖出    300             28.8500         已成
10:32:25.591    238199249       10010           300233          101 证券卖出    100             35.7100         已成
10:32:25.692    218195531       10011           300416          101 证券卖出    2100            29.5800         已成
10:32:25.795    226190363       10012           002949          101 证券卖出    1600            34.8400         已撤
10:32:25.891    234192937       10013           600298          101 证券卖出    600             68.7500         已成
10:32:25.991    206198571       10014           300770          101 证券卖出    100             116.8500        已成
10:32:26.090    222202086       10015           002140          101 证券卖出    1700            7.7900          已成
10:32:26.194    230200447       10016           601888          101 证券卖出    100             217.8700        已成
10:32:26.291    238199250       10017           002045          101 证券卖出    600             9.3000          已成
10:32:26.391    206198572       10018           300048          101 证券卖出    28600           4.4200          已撤
10:32:26.490    202190013       10019           300315          101 证券卖出    6700            8.9500          已成
10:32:26.591    222202088       10020           603596          101 证券卖出    100             39.9600         已成
10:32:26.693    238199252       10021           000537          101 证券卖出    7600            8.0800          部撤
10:32:26.791    222202089       10022           002507          101 证券卖出    200             39.5100         已成
10:32:26.890    202190014       10023           002641          101 证券卖出    900             8.8700          已成
10:32:26.989    218195534       10024           600161          101 证券卖出    100             51.7200         已成
10:32:27.093    206198574       10025           600600          101 证券卖出    100             77.4700         已成
10:32:27.294    222202090       10026           300148          100 证券买入    5100            5.7800          已成
10:32:27.393    210193385       10027           300189          100 证券买入    69900           4.6400          已成
10:32:27.394    214197846       10028           600098          100 证券买入    700             5.9900          已成
10:32:27.589    234192943       10029           600742          100 证券买入    1800            11.0600         已成
10:32:27.604    206198575       10030           000903          100 证券买入    2400            8.6000          已成
10:32:27.696    238199254       10031           000973          100 证券买入    2500            5.1800          已成
10:32:27.793    210193386       10032           300596          100 证券买入    200             38.3000         已成
10:32:27.889    222202091       10033           603722          100 证券买入    200             45.3400         已成
10:32:27.990    206198576       10034           000048          100 证券买入    100             25.6200         已成
10:32:28.090    230200453       10035           000930          100 证券买入    600             9.6000          已成
10:32:28.290    218195536       10036           300047          100 证券买入    1100            8.4100          已成
10:32:28.391    206198578       10037           000333          100 证券买入    500             72.5400         已成
10:32:28.392    210193387       10038           002216          100 证券买入    800             31.0900         已成
10:32:28.599    202190017       10040           002706          100 证券买入    400             26.2500         已成
10:32:28.599    238199258       10039           300601          100 证券买入    200             239.4600        已成
10:32:28.790    226190369       10041           300497          100 证券买入    300             21.2000         已成
10:32:28.889    218195538       10042           300426          100 证券买入    1100            9.8600          已成
10:32:28.989    226190370       10043           000070          100 证券买入    2400            12.7100         已成
10:32:29.092    218195539       10044           002568          100 证券买入    100             60.2400         已成
10:32:29.196    234192945       10045           002714          100 证券买入    500             95.5700         已成
10:32:29.289    210193388       10046           300248          100 证券买入    1000            14.0000         已成
10:32:34.314    230200462       10047           002507          101 证券卖出    500             39.4800         已成
10:32:34.392    206198585       10048           002641          101 证券卖出    1000            8.8700          已成
10:32:34.489    218195550       10049           603596          101 证券卖出    200             39.9400         已成
10:32:34.596    234192950       10050           000537          101 证券卖出    6100            8.0600          已撤
10:32:34.690    210193393       10051           600600          101 证券卖出    100             77.4800         已成
10:32:34.790    218195551       10052           600161          101 证券卖出    100             51.7800         已成
10:32:34.892    234192951       10053           002346          101 证券卖出    1100            11.1500         已成
10:32:34.990    202190024       10054           002920          101 证券卖出    100             72.4300         已成
10:32:35.089    210193394       10055           300206          101 证券卖出    200             22.7900         已成
10:32:35.189    222202095       10056           002190          101 证券卖出    500             32.3600         已成
10:32:35.291    230200464       10057           002930          101 证券卖出    100             23.5000         已成
10:32:35.391    202190025       10058           300416          101 证券卖出    1300            29.5600         已成
10:32:35.490    210193395       10059           002851          101 证券卖出    400             28.8300         已成
10:32:35.590    222202096       10060           002949          101 证券卖出    1600            34.8200         已撤
10:32:35.691    230200465       10061           600298          101 证券卖出    100             68.7500         已成
10:32:35.791    238199265       10062           300770          101 证券卖出    100             116.7900        已成
10:32:35.890    210193396       10063           601888          101 证券卖出    100             217.9200        已成
10:32:35.990    218195552       10064           002028          101 证券卖出    13500           28.0300         已成
10:32:36.090    210193397       10065           300315          101 证券卖出    11000           8.9500          已成
10:32:36.190    218195553       10066           000070          100 证券买入    2400            12.7100         已成
10:32:36.289    218195554       10067           002568          100 证券买入    100             60.2800         已成
10:32:36.389    210193399       10068           002714          100 证券买入    100             95.5900         已成
10:32:36.491    230200467       10069           300426          100 证券买入    700             9.8500          已成
10:32:36.590    214197857       10070           600098          100 证券买入    100             5.9900          已撤
10:32:36.689    222202097       10071           000973          100 证券买入    3600            5.1800          已成
10:32:36.792    238199267       10072           300148          100 证券买入    800             5.7800          已成
10:32:36.891    230200468       10073           600885          100 证券买入    100             48.3500         已成
10:32:36.990    238199268       10074           603722          100 证券买入    200             45.3300         已成
10:32:37.089    210193400       10075           000048          100 证券买入    200             25.6200         已成
10:32:37.195    226190384       10076           000930          100 证券买入    100             9.6000          已成
10:32:37.290    234192956       10077           300047          100 证券买入    900             8.4100          已成
10:32:37.401    206198590       10078           600496          100 证券买入    4800            6.2200          已成
10:32:37.490    214197858       10079           300601          100 证券买入    300             239.9800        已成
10:32:37.592    222202098       10080           600328          100 证券买入    100             8.6600          已成
10:32:42.590    210193403       10081           600161          101 证券卖出    200             51.7300         已成
10:32:42.689    218195562       10082           600600          101 证券卖出    100             77.4700         已成
10:32:42.790    226190389       10083           002190          101 证券卖出    500             32.4500         部撤
10:32:42.891    202190032       10084           002346          101 证券卖出    1200            11.1600         部撤
10:32:42.990    218195563       10085           002920          101 证券卖出    200             72.4200         已成
10:32:43.090    238199272       10086           002851          101 证券卖出    400             28.8400         已成
10:32:43.190    214197861       10087           300416          101 证券卖出    1300            29.5300         部撤
10:32:43.289    226190391       10088           002949          101 证券卖出    900             34.8000         已撤
10:32:43.404    234192961       10089           600298          101 证券卖出    300             68.7100         已成
10:32:43.590    222202102       10090           300770          101 证券卖出    200             116.7800        已成
10:32:43.613    202190034       10091           601888          101 证券卖出    100             218.0400        已成
10:32:43.689    214197862       10092           300048          101 证券卖出    200             4.4200          已撤
10:32:43.789    222202103       10093           002507          101 证券卖出    300             39.4400         已成
10:32:43.892    230200470       10094           002641          101 证券卖出    4000            8.8700          已成
10:32:43.990    238199273       10095           000537          101 证券卖出    17000           8.0300          已成
10:32:44.090    206198593       10096           600742          100 证券买入    200             11.0500         已成
10:32:44.200    218195564       10097           000973          100 证券买入    3000            5.1800          已成
10:32:44.291    234192962       10098           600098          100 证券买入    400             5.9900          已撤
10:32:44.398    206198594       10099           600885          100 证券买入    100             48.3600         已成
10:32:44.490    214197863       10100           603722          100 证券买入    200             45.3400         已成
10:32:44.589    222202104       10101           300047          100 证券买入    1000            8.4200          已成
10:32:44.690    230200471       10102           600496          100 证券买入    1700            6.2200          已成
10:32:44.790    222202105       10103           002706          100 证券买入    100             26.2700         已成
10:32:44.891    238199275       10104           000070          100 证券买入    2300            12.7100         已成
10:32:44.992    206198596       10105           300426          100 证券买入    100             9.8500          已成
10:32:45.090    222202106       10106           603718          100 证券买入    300             43.9800         已成
10:32:50.088    206198603       10107           300048          101 证券卖出    28800           4.4100          已成
10:32:50.189    214197870       10108           300315          101 证券卖出    1600            8.9600          已成
