时间            委托编号        委托标识        成交编号                证券代码        交易业务                成交数量        成交价格        委托状态        汇总成交        汇总撤单
09:18:46.000    222198101       10001           WTD:2196000001          601818          100 证券买入            -100            3.6000          已撤            0               0
09:30:27.000    222198165       10002           0101000001172119        000800          101 证券卖出            1               14.2300         已成            0               0
09:30:27.000    226186464       10003           0104000001213858        002413          101 证券卖出            20              10.6800         已成            0               0
09:30:27.000    230196366       10004           0102000001150624        002302          101 证券卖出            70              10.9600         已成            0               0
10:32:26.000    238199248       10005           0103000015617482        002190          101 证券卖出            400             32.3800         已成            0               0
10:32:26.000    214197842       10006           0103000015617691        002346          101 证券卖出            200             11.1700         部分成交        0               0
10:32:26.000    214197842       10006           0103000015617693        002346          101 证券卖出            300             11.1600         部分成交        0               0
10:32:26.000    214197842       10006           0103000015617695        002346          101 证券卖出            500             11.1600         已成            0               0
10:32:26.000    202190012       10007           0103000015617950        002920          101 证券卖出            200             72.5000         部分成交        0               0
10:32:26.000    202190012       10007           0103000015617952        002920          101 证券卖出            200             72.5000         已成            0               0
10:32:26.000    210193381       10008           0102000015452013        300206          101 证券卖出            200             22.8200         部分成交        0               0
10:32:26.000    210193381       10008           0102000015452015        300206          101 证券卖出            500             22.8200         部分成交        0               0
10:32:26.000    210193381       10008           0102000015452017        300206          101 证券卖出            500             22.8100         部分成交        0               0
10:32:26.000    230200446       10009           0101000015468166        002851          101 证券卖出            300             28.8600         已成            0               0
10:32:26.000    238199249       10010           0104000015260607        300233          101 证券卖出            100             35.7300         已成            0               0
10:32:26.000    218195531       10011           0104000015260895        300416          101 证券卖出            2100            29.6000         已成            0               0
10:32:26.000    210193381       10008           0102000015452019        300206          101 证券卖出            200             22.8100         已成            0               0
10:32:26.000    206198571       10014           0102000015453372        300770          101 证券卖出            100             116.9500        已成            0               0
10:32:27.000    222202086       10015           0101000015469786        002140          101 证券卖出            1700            7.7900          已成            0               0
10:32:26.000    234192937       10013           11274877                600298          101 证券卖出            600             68.8100         已成            0               0
10:32:27.000    238199250       10017           0103000015620195        002045          101 证券卖出            600             9.3000          已成            0               0
10:32:27.000    230200447       10016           11275325                601888          101 证券卖出            100             218.1000        已成            0               0
10:32:27.000    202190013       10019           0103000015620655        300315          101 证券卖出            4400            8.9600          部分成交        0               0
10:32:27.000    202190013       10019           0103000015620657        300315          101 证券卖出            2300            8.9500          已成            0               0
10:32:27.000    238199252       10021           0103000015621104        000537          101 证券卖出            600             8.0800          部分成交        0               0
10:32:27.000    238199252       10021           0103000015621106        000537          101 证券卖出            100             8.0800          部分成交        0               0
10:32:27.000    238199252       10021           0103000015621108        000537          101 证券卖出            300             8.0800          部分成交        0               0
10:32:27.000    222202089       10022           0103000015621337        002507          101 证券卖出            200             39.5200         已成            0               0
10:32:27.000    222202088       10020           11275982                603596          101 证券卖出            100             39.9700         已成            0               0
10:32:27.000    202190014       10023           0103000015621659        002641          101 证券卖出            900             8.8700          已成            0               0
10:32:27.000    218195534       10024           11276718                600161          101 证券卖出            100             51.7900         已成            0               0
10:32:28.000    206198574       10025           11276979                600600          101 证券卖出            100             77.5300         已成            0               0
10:32:28.000    206198575       10030           0101000015474629        000903          100 证券买入            300             8.6000          部分成交        0               0
10:32:28.000    238199254       10031           0104000015266647        000973          100 证券买入            900             5.1800          部分成交        0               0
10:32:28.000    238199254       10031           0104000015266649        000973          100 证券买入            200             5.1800          部分成交        0               0
10:32:28.000    238199254       10031           0104000015266651        000973          100 证券买入            100             5.1800          部分成交        0               0
10:32:28.000    206198575       10030           0101000015475045        000903          100 证券买入            2100            8.6000          已成            0               0
10:32:28.000    210193386       10032           0103000015624657        300596          100 证券买入            200             38.2500         已成            0               0
10:32:28.000    234192943       10029           11277786                600742          100 证券买入            1300            11.0500         部分成交        0               0
10:32:28.000    234192943       10029           11277787                600742          100 证券买入            500             11.0600         已成            0               0
10:32:28.000    206198576       10034           0102000015458649        000048          100 证券买入            100             25.6000         已成            0               0
10:32:29.000    230200453       10035           0103000015625282        000930          100 证券买入            600             9.6000          已成            0               0
10:32:29.000    238199252       10021           0103000015625397        000537          101 证券卖出            100             8.0800          部分成交        0               0
10:32:28.000    222202091       10033           11278168                603722          100 证券买入            200             45.3000         已成            0               0
10:32:29.000    222202090       10026           0102000015459126        300148          100 证券买入            3800            5.7800          部分成交        0               0
10:32:29.000    222202090       10026           0102000015459161        300148          100 证券买入            500             5.7800          部分成交        0               0
10:32:29.000    218195536       10036           0104000015268321        300047          100 证券买入            1100            8.4100          已成            0               0
10:32:29.000    206198578       10037           0104000015268363        000333          100 证券买入            500             72.4800         已成            0               0
10:32:29.000    210193387       10038           0101000015476534        002216          100 证券买入            800             31.0800         已成            0               0
10:32:29.000    226190363       10012           0102000015459693        002949          101 证券卖出            -1600           34.8400         已撤            0               0
10:32:29.000    238199258       10039           0101000015477287        300601          100 证券买入            200             239.2600        已成            0               0
10:32:29.000    202190017       10040           0102000015459914        002706          100 证券买入            400             26.2400         已成            0               0
10:32:29.000    238199252       10021           0103000015626916        000537          101 证券卖出            400             8.0800          部分成交        0               0
10:32:29.000    226190369       10041           0102000015460291        300497          100 证券买入            300             21.1800         已成            0               0
