更新时间        委托时间        委托编号        委托标识        证券代码        交易业务        委托数量        成交数量        撤单数量        委托价格        成交金额                执行状态        执行信息
15:22:08.676    10:52:05.172    222397015       11561           600009          100 证券买入    16200           0               0               81.5200         0.0000                  废单            [资金可用余额]不足，尚需[220747.560]，其中预留金额[0.000]
15:22:08.692    10:56:21.560    234388180       11954           603535          100 证券买入    400             0               0               34.1000         0.0000                  废单            [资金可用余额]不足，尚需[637.160]，其中预留金额[0.000]
15:22:08.692    10:56:21.762    214393874       11956           603039          100 证券买入    100             0               0               105.8700        0.0000                  废单            [资金可用余额]不足，尚需[7822.670]，其中预留金额[0.000]
15:22:08.692    10:56:21.957    230397138       11958           000568          100 证券买入    100             0               0               136.1300        0.0000                  废单            [资金可用余额]不足，尚需[13481.540]，其中预留金额[0.000]
15:22:08.692    10:56:27.057    226385820       11960           300562          100 证券买入    700             0               0               22.3500         0.0000                  废单            [资金可用余额]不足，尚需[5266.770]，其中预留金额[0.000]
15:22:08.692    10:56:27.257    222397241       11962           603010          100 证券买入    500             0               0               20.5000         0.0000                  废单            [资金可用余额]不足，尚需[5135.960]，其中预留金额[0.000]
15:22:08.692    10:56:27.361    206394235       11963           000568          100 证券买入    900             0               0               136.1300        0.0000                  废单            [资金可用余额]不足，尚需[110302.700]，其中预留金额[0.000]
15:22:08.692    10:56:27.458    214393880       11964           002041          100 证券买入    700             0               0               20.2900         0.0000                  废单            [资金可用余额]不足，尚需[1968.120]，其中预留金额[0.000]
15:22:08.692    10:56:33.057    230397148       11971           002032          100 证券买入    100             0               0               81.0600         0.0000                  废单            [资金可用余额]不足，尚需[1329.760]，其中预留金额[0.000]
15:22:08.692    10:56:33.157    202387400       11972           300423          100 证券买入    700             0               0               15.1200         0.0000                  废单            [资金可用余额]不足，尚需[3808.230]，其中预留金额[0.000]
15:22:08.692    10:56:45.357    214393892       11995           002124          100 证券买入    3800            0               0               19.7300         0.0000                  废单            [资金可用余额]不足，尚需[42123.840]，其中预留金额[0.000]
15:22:08.692    10:56:45.658    238395007       11998           000869          100 证券买入    900             0               0               38.2800         0.0000                  废单            [资金可用余额]不足，尚需[20909.200]，其中预留金额[0.000]
15:22:08.692    10:56:45.759    206394248       11999           002041          100 证券买入    1200            0               0               20.3100         0.0000                  废单            [资金可用余额]不足，尚需[10827.280]，其中预留金额[0.000]
15:22:08.895    10:56:58.459    202387418       12027           603010          100 证券买入    1400            0               0               20.5100         0.0000                  废单            [资金可用余额]不足，尚需[4888.680]，其中预留金额[0.000]
15:22:08.895    10:57:08.557    202387425       12029           300562          100 证券买入    1700            0               0               22.3300         0.0000                  废单            [资金可用余额]不足，尚需[16655.390]，其中预留金额[0.000]
15:22:08.895    10:58:29.254    210389635       12101           000568          100 证券买入    2200            0               0               136.1600        0.0000                  废单            [资金可用余额]不足，尚需[208074.330]，其中预留金额[0.000]
15:22:08.911    11:00:01.449    218393255       12188           603039          100 证券买入    100             0               0               106.4600        0.0000                  废单            [资金可用余额]不足，尚需[6201.140]，其中预留金额[0.000]
15:22:08.911    11:00:16.650    222397442       12193           300423          100 证券买入    600             0               0               15.0300         0.0000                  废单            [资金可用余额]不足，尚需[6673.930]，其中预留金额[0.000]
15:22:08.911    11:00:21.750    214394076       12195           002041          100 证券买入    600             0               0               20.2100         0.0000                  废单            [资金可用余额]不足，尚需[8404.200]，其中预留金额[0.000]
15:22:08.911    11:00:37.552    214394108       12206           002032          100 证券买入    700             0               0               81.1200         0.0000                  废单            [资金可用余额]不足，尚需[35273.920]，其中预留金额[0.000]
15:22:08.911    11:01:30.045    206394570       12239           603916          100 证券买入    500             0               0               34.4000         0.0000                  废单            [资金可用余额]不足，尚需[6748.840]，其中预留金额[0.000]
15:22:08.911    11:01:30.145    214394194       12240           603712          100 证券买入    300             0               0               49.2200         0.0000                  废单            [资金可用余额]不足，尚需[4314.340]，其中预留金额[0.000]
15:22:08.911    11:01:40.346    210389880       12244           300522          100 证券买入    300             0               0               30.9900         0.0000                  废单            [资金可用余额]不足，尚需[2248.720]，其中预留金额[0.000]
15:22:08.911    11:03:49.842    238395587       12318           601066          100 证券买入    20000           0               0               51.2100         0.0000                  废单            [资金可用余额]不足，尚需[882346.820]，其中预留金额[0.000]
15:22:08.911    11:06:28.735    226386676       12401           002151          100 证券买入    5000            0               0               57.2800         0.0000                  废单            [资金可用余额]不足，尚需[169269.920]，其中预留金额[0.000]
