时间            委托编号        委托标识        成交编号                证券代码        交易业务                成交数量        成交价格        委托状态        汇总成交        汇总撤单
09:15:58.000    105441054       771057          WTD:3396000001          601818          100 证券买入            -100            3.8000          已撤            0               0
09:25:00.000    117438063       1005-500020     7946                    688393          101 证券卖出            159             69.6000         部分成交        0               0
09:25:00.000    117438063       1005-500020     7947                    688393          101 证券卖出            200             69.6000         部分成交        0               0
09:25:00.000    117438063       1005-500020     7948                    688393          101 证券卖出            200             69.6000         部分成交        0               0
09:25:00.000    117438063       1005-500020     7949                    688393          101 证券卖出            200             69.6000         部分成交        0               0
09:25:00.000    117438063       1005-500020     7950                    688393          101 证券卖出            200             69.6000         部分成交        0               0
09:25:00.000    117438063       1005-500020     7951                    688393          101 证券卖出            2152            69.6000         已成            0               0
09:25:00.000    117438062       1005-500010     96209                   688596          101 证券卖出            5839            39.9900         部分成交        0               0
09:25:00.000    117438062       1005-500010     96210                   688596          101 证券卖出            200             39.9900         部分成交        0               0
09:25:00.000    117438062       1005-500010     96211                   688596          101 证券卖出            500             39.9900         部分成交        0               0
09:25:00.000    117438062       1005-500010     96212                   688596          101 证券卖出            1179            39.9900         已成            0               0
09:32:44.000    125441141       771392          0101000002498674        000581          101 证券卖出            800             24.2500         已成            0               0
09:32:44.000    133440275       771395          0104000002307071        002937          101 证券卖出            1200            14.6400         已成            0               0
09:32:44.000    133440276       771399          0102000002256415        300132          101 证券卖出            100             21.4400         部分成交        0               0
09:32:45.000    109441011       771400          0101000002501021        300679          101 证券卖出            100             32.6500         部分成交        0               0
09:32:45.000    109441011       771400          0101000002501023        300679          101 证券卖出            100             32.6400         已成            0               0
09:32:44.000    101435472       771393          2017213                 600021          101 证券卖出            300             8.0100          部分成交        0               0
09:32:44.000    101435472       771393          2017214                 600021          101 证券卖出            9900            8.0100          已成            0               0
09:32:45.000    117439519       771401          0102000002257670        300737          101 证券卖出            400             29.8800         部分成交        0               0
09:32:45.000    117439519       771401          0102000002257672        300737          101 证券卖出            1300            29.8700         已成            0               0
09:32:44.000    117439515       771394          2017738                 603818          101 证券卖出            900             11.1100         部分成交        0               0
09:32:44.000    117439515       771394          2017739                 603818          101 证券卖出            400             11.1100         部分成交        0               0
09:32:44.000    129441779       771397          2018169                 601100          101 证券卖出            200             62.8000         部分成交        0               0
09:32:45.000    105442415       771402          0104000002309622        300767          101 证券卖出            100             86.9900         已成            0               0
09:32:44.000    117439515       771394          2017740                 603818          101 证券卖出            2200            11.1000         已成            0               0
09:32:44.000    129441779       771397          2018170                 601100          101 证券卖出            200             62.7100         部分成交        0               0
09:32:44.000    129441779       771397          2018171                 601100          101 证券卖出            200             62.7100         已成            0               0
09:32:45.000    121444821       771403          0104000002309882        002396          101 证券卖出            100             30.8600         已成            0               0
09:32:44.000    109441010       771396          2018377                 600640          101 证券卖出            1200            18.6500         已成            0               0
09:32:45.000    137442905       771404          0101000002502500        002595          101 证券卖出            300             20.9600         已成            0               0
09:32:45.000    133440276       771399          0102000002258324        300132          101 证券卖出            100             21.4400         部分成交        0               0
09:32:45.000    133440276       771399          0102000002259796        300132          101 证券卖出            1300            21.4400         已成            0               0
09:32:45.000    121444823       771408          0104000002311687        000923          101 证券卖出            100             14.4000         部分成交        0               0
09:32:45.000    121444823       771408          0104000002311689        000923          101 证券卖出            100             14.3800         部分成交        0               0
09:32:45.000    121444823       771408          0104000002311710        000923          101 证券卖出            200             14.3800         已成            0               0
09:32:45.000    105442418       771409          0104000002312216        002434          101 证券卖出            400             9.2200          部分成交        0               0
09:32:45.000    105442418       771409          0104000002312218        002434          101 证券卖出            100             9.2200          已成            0               0
09:32:45.000    137442906       771406          2022598                 603516          101 证券卖出            1500            40.4000         部分成交        0               0
09:32:45.000    129441786       771415          0102000002262863        002833          101 证券卖出            100             39.6300         部分成交        0               0
09:32:45.000    129441786       771415          0102000002262865        002833          101 证券卖出            2500            39.6200         已成            0               0
09:32:45.000    137442906       771406          2022599                 603516          101 证券卖出            400             40.4000         已成            0               0
09:32:45.000    137442912       771414          0102000002262877        002643          101 证券卖出            2000            20.5000         已成            0               0
09:32:45.000    105442417       771407          2024937                 603855          101 证券卖出            200             18.7600         部分成交        0               0
09:32:45.000    105442417       771407          2024938                 603855          101 证券卖出            200             18.7500         部分成交        0               0
09:32:45.000    105442417       771407          2024939                 603855          101 证券卖出            200             18.7500         已成            0               0
09:32:45.000    105442420       771412          2026496                 603327          101 证券卖出            1000            29.7500         已成            0               0
09:32:46.000    133440284       771420          0104000002316206        002042          101 证券卖出            200             5.7300          部分成交        0               0
09:32:46.000    133440284       771420          0104000002316273        002042          101 证券卖出            400             5.7300          部分成交        0               0
09:32:46.000    101435481       771421          0104000002316741        002392          101 证券卖出            11300           5.4300          已成            0               0
09:32:46.000    133440284       771420          0104000002317095        002042          101 证券卖出            400             5.7300          部分成交        0               0
09:32:45.000    137442909       771411          2027937                 603303          101 证券卖出            240             13.1200         部分成交        0               0
09:32:46.000    133440284       771420          0104000002317309        002042          101 证券卖出            300             5.7300          部分成交        0               0
09:32:46.000    133440284       771420          0104000002317386        002042          101 证券卖出            200             5.7300          部分成交        0               0
09:32:46.000    117439529       771423          0103000002415655        300001          101 证券卖出            100             20.0700         部分成交        0               0
09:32:46.000    117439529       771423          0103000002415657        300001          101 证券卖出            300             20.0400         部分成交        0               0
09:32:46.000    113443422       771405          0104000002317690        300188          101 证券卖出            100             19.7400         部分成交        0               0
09:32:46.000    117439529       771423          0103000002415659        300001          101 证券卖出            1900            20.0400         部分成交        0               0
09:32:46.000    117439529       771423          0103000002415661        300001          101 证券卖出            1000            20.0400         部分成交        0               0
09:32:46.000    117439529       771423          0103000002415663        300001          101 证券卖出            200             20.0300         部分成交        0               0
09:32:46.000    117439529       771423          0103000002415665        300001          101 证券卖出            1700            20.0300         部分成交        0               0
09:32:46.000    117439529       771423          0103000002415667        300001          101 证券卖出            100             20.0300         部分成交        0               0
09:32:46.000    117439529       771423          0103000002415669        300001          101 证券卖出            1000            20.0300         部分成交        0               0
09:32:46.000    117439529       771423          0103000002415671        300001          101 证券卖出            300             20.0300         已成            0               0
09:32:46.000    137442909       771411          2030228                 603303          101 证券卖出            500             13.1200         部分成交        0               0
09:32:46.000    133440282       771417          0102000002268704        300423          101 证券卖出            1300            14.7100         已成            0               0
09:32:46.000    125441147       771419          2029813                 603198          101 证券卖出            300             22.3800         部分成交        0               0
09:32:46.000    125441147       771419          2029814                 603198          101 证券卖出            300             22.3700         已成            0               0
09:32:46.000    121444830       771431          0104000002320931        300037          100 证券买入            100             53.6600         已成            0               0
09:32:46.000    137442920       771432          0104000002321026        300763          100 证券买入            100             98.3100         已成            0               0
09:32:46.000    105442432       771434          0103000002419630        300394          100 证券买入            100             62.0000         已成            0               0
