冻结金额,可用,参考市值,资产
5497817.53,5924878.28,197849424.13,203775014.65
,,,
证券代码,证券名称,可用数量,库存数量,参考成本,参考盈亏,市值,当前价
50,深天马Ａ,23800,23800,16.7587,-20675.32,378182.0,15.89
62,深圳华强,7800,7800,16.2661,-9797.41,117078.0,15.01
301,东方盛虹,29800,29800,5.9226,-971.7,175522.0,5.89
553,安道麦A,11500,11500,9.4027,-2331.39,105800.0,9.2
598,兴蓉环境,44900,44900,5.0564,9590.26,236623.0,5.27
681,视觉中国,9100,9100,20.5754,-36903.76,150332.0,16.52
686,东北证券,34100,34100,11.189,-26562.48,354981.0,10.41
739,普洛药业,18100,18200,27.504,-437.1,500136.0,27.48
813,德展健康,22100,22100,6.8678,-16084.45,135694.0,6.14
951,中国重汽,48700,48700,34.1056,135115.49,1796056.0,36.88
960,锡业股份,24700,24700,10.1382,-16504.56,233909.0,9.47
967,盈峰环境,24400,24400,9.7953,-12818.4,226188.0,9.27
983,西山煤电,39200,39200,4.3335,-6407.28,163464.0,4.17
990,诚志股份,6000,6000,15.5964,-2858.48,90720.0,15.12
999,华润三九,9800,9800,30.9061,-23579.39,279300.0,28.5
2010,传化智联,50800,50800,6.0804,993.89,309880.0,6.1
2014,永新股份,42600,42600,12.141,-23472.27,493734.0,11.59
2019,亿帆医药,18500,18500,30.4737,-48724.25,515040.0,27.84
2028,思源电气,14400,14400,27.3613,-33858.22,360144.0,25.01
2030,达安基因,14600,14600,38.3822,-34780.45,525600.0,36.0
2050,三花智控,166900,166900,21.6216,43129.65,3651772.0,21.88
2051,中工国际,12400,12400,8.1589,-3334.24,97836.0,7.89
2080,中材科技,26600,26600,21.791,-29285.69,550354.0,20.69
2091,江苏国泰,126700,126700,6.8335,-42249.99,823550.0,6.5
2127,南极电商,43539,44239,27.1404,-381800.44,818863.89,18.51
2203,海亮股份,14800,14800,8.9546,-4508.8,128020.0,8.65
2212,南洋股份,24300,24300,56.9178,-866971.71,516132.0,21.24
2244,滨江集团,30800,30800,5.2697,-12003.79,150304.0,4.88
2250,联化科技,19100,19100,25.2708,-20451.71,462220.0,24.2
2281,光迅科技,9500,9500,32.8758,-1575.29,310745.0,32.71
2294,信立泰,8200,8200,32.3061,28239.68,293150.0,35.75
2301,齐心集团,72000,72000,16.9572,-59556.79,1161360.0,16.13
2327,富安娜,14800,14800,7.3831,5726.25,114996.0,7.77
2375,亚厦股份,19600,19600,14.2354,4990.01,284004.0,14.49
2382,蓝帆医疗,9800,9800,29.6714,-11577.25,279202.0,28.49
2387,维信诺,20200,20200,15.7094,-9885.35,307444.0,15.22
2396,星网锐捷,9100,9100,37.3278,-80606.16,259077.0,28.47
2414,高德红外,16900,16900,40.0098,-51034.53,625131.0,36.99
2434,万里扬,13600,13600,9.7402,-7211.15,125256.0,9.21
2439,启明星辰,16400,16400,46.359,-137087.57,623200.0,38.0
2444,巨星科技,13300,13300,22.7257,-10051.41,292201.0,21.97
2475,立讯精密,81000,81000,51.0286,319252.43,4452570.0,54.97
2484,江海股份,250700,250700,8.8758,367073.38,2592238.0,10.34
2491,通鼎互联,18300,18300,5.4591,17.03,99918.0,5.46
2557,洽洽食品,8100,8100,66.7978,9819.21,550881.0,68.01
2595,豪迈科技,12900,12900,22.5353,-6259.98,284445.0,22.05
2641,永高股份,120800,120800,8.7888,52090.36,1113776.0,9.22
2648,卫星石化,16500,16500,18.4428,15628.2,319935.0,19.39
2653,海思科,4100,4100,27.6861,-9127.19,104386.0,25.46
2690,美亚光电,6900,6900,55.7129,-11819.02,372600.0,54.0
2705,新宝股份,73300,73300,44.3756,-100829.89,3151900.0,43.0
2706,良信电器,65400,65400,24.9047,-11424.4,1617342.0,24.73
2709,天赐材料,6900,6900,42.9405,-20634.34,275655.0,39.95
2777,久远银海,60619,60619,27.6714,-138297.83,1539116.41,25.389999999999997
2791,坚朗五金,7500,7500,142.9553,-41139.72,1031025.0,137.47
2798,帝欧家居,45000,45000,34.3392,-159262.57,1386000.0,30.8
2810,山东赫达,0,14100,40.2364,-21945.79,545388.0,38.68
2818,富森美,5500,5500,12.4276,18878.45,87230.0,15.86
2824,和胜股份,39700,39700,22.3191,-91273.35,794794.0,20.02
2831,裕同科技,6700,6700,34.7657,-3455.26,229475.0,34.25
2859,洁美科技,34400,34400,26.997,44823.57,973520.0,28.3
2867,周大生,5500,5500,27.6585,-17371.51,134750.0,24.5
2876,三利谱,10500,10500,46.0189,-21303.43,461895.0,43.99
2880,卫光生物,11650,11650,38.0675,230349.67,673836.0,57.84
2901,大博医疗,30200,30200,91.1402,170019.7,2922454.0,96.77
2920,德赛西威,59400,60700,69.8308,-50427.72,4188300.0,69.0
2925,盈趣科技,3400,3400,57.5054,-7906.42,187612.0,55.18
2996,顺博合金,391,391,8.41,0.0,3288.31,8.41
300010,豆神教育,18000,18000,21.2372,-44948.92,337320.0,18.74
300037,新宙邦,50700,50700,55.9656,-38814.05,2798640.0,55.2
300041,回天新材,117300,117300,14.9767,-128637.86,1628124.0,13.88
300134,大富科技,9300,9300,16.0925,-17786.03,131874.0,14.18
300192,科斯伍德,27500,27500,25.5566,-1555.44,701250.0,25.5
300212,易华录,110400,110400,42.8045,-351570.63,4374048.0,39.62
300229,拓尔思,344592,344592,12.9008,-565411.4,3880105.92,11.26
300253,卫宁健康,34300,34300,22.5578,-66465.58,707266.0,20.62
300257,开山股份,75600,75600,19.3843,-38877.43,1426572.0,18.87
300271,华宇软件,12300,12300,32.638,-69716.42,331731.0,26.97
300298,三诺生物,17600,17600,41.4139,-87892.46,640992.0,36.42
300308,中际旭创,70726,70726,60.8331,-110554.21,4191930.02,59.27
300316,晶盛机电,15327,15327,23.7918,4724.33,369380.7,24.1
300357,我武生物,8400,8400,39.3358,164507.48,494928.0,58.92
300365,恒华科技,28900,28900,9.4166,50674.48,322813.0,11.17
300394,天孚通信,60184,60184,64.5356,17114.66,3901126.88,64.82
300413,芒果超媒,52218,68518,61.4208,348018.63,4556447.0,66.5
300418,昆仑万维,17300,17300,24.462,62245.88,485438.0,28.06
300440,运达科技,27300,27300,9.9804,-16664.78,255801.0,9.37
300474,景嘉微,4300,4300,75.9348,-17994.71,308525.0,71.75
300476,胜宏科技,189400,189400,24.1691,-213845.93,4363776.0,23.04
300482,万孚生物,44900,44900,96.7999,-303071.52,4043245.0,90.05
300496,中科创达,6500,6500,96.9904,-44332.76,586105.0,90.17
300502,新易盛,47900,47900,70.2604,-206947.74,3158526.0,65.94
300522,世名科技,10100,10100,29.5159,12969.47,311080.0,30.8
300523,辰安科技,15800,15800,50.7303,-33343.33,768196.0,48.62
300548,博创科技,72000,72000,58.7352,-405731.39,3823200.0,53.1
300552,万集科技,67900,69200,48.942,221299.24,3608088.0,52.14
300558,贝达药业,6300,6300,130.8288,-30169.39,794052.0,126.04
300575,中旗股份,44100,44100,48.6875,-111903.78,2035215.0,46.15
300595,欧普康视,9700,9700,65.0493,-478.28,630500.0,65.0
300617,安靠智电,0,11000,45.8187,-13405.36,490600.0,44.6
300628,亿联网络,70400,70400,64.2081,-574332.08,3945920.0,56.05
300636,同和药业,14800,14800,37.7475,-56943.15,501720.0,33.9
300638,广和通,61400,61400,75.8746,-567615.99,4091082.0,66.63
300639,凯普生物,76540,76540,52.0765,-27284.15,3958648.8,51.72
300659,中孚信息,15800,15800,57.905,-113838.8,801060.0,50.7
300660,江苏雷利,100,2000,17.7086,5922.71,41340.0,20.67
300661,圣邦股份,13700,13800,315.7044,-446628.23,3910092.0,283.34
300684,中石科技,18800,18800,36.4534,-91620.21,593704.0,31.58
300687,赛意信息,60700,60700,20.9377,75407.62,1346326.0,22.18
300695,兆丰股份,8400,8400,61.4623,75328.6,591612.0,70.43
300702,天宇股份,27000,30200,106.6809,267243.67,3489006.0,115.53
300709,精研科技,10800,10800,92.3008,-157688.4,839160.0,77.7
300724,捷佳伟创,57400,57400,88.9641,-190232.04,4916310.0,85.65
300725,药石科技,19535,19535,50.7286,1509495.97,2500480.0,128.0
300751,迈为股份,4800,4800,335.4673,72253.16,1682496.0,350.52
300763,锦浪科技,26670,26670,97.9319,-74993.32,2536850.4,95.11999999999999
300766,每日互动,92700,92700,35.8022,-296842.45,3022020.0,32.6
300770,新媒股份,24940,24940,115.8096,-80047.71,2808244.0,112.6
300782,卓胜微,10840,10840,377.7455,-42552.5,4052208.8,373.82
600060,海信视像,20700,20700,13.669,20928.61,303876.0,14.68
600125,铁龙物流,23200,23200,6.2773,-8986.41,136648.0,5.89
600132,重庆啤酒,6500,6500,71.1794,113104.04,575770.0,88.58
600167,联美控股,17600,17600,13.5807,-3708.49,235312.0,13.37
600201,生物股份,28658,28658,27.1212,7703.08,784942.62,27.39
600298,安琪酵母,13600,13600,65.8939,55706.9,951864.0,69.99
600315,上海家化,8900,8900,46.0808,-52339.52,357780.0,40.2
600325,华发股份,41500,41500,7.3756,-14758.27,291330.0,7.02
600329,中新药业,7200,7200,18.2325,-6785.65,124488.0,17.29
600348,阳泉煤业,33100,33100,4.941,-6654.34,156894.0,4.74
600376,首开股份,32200,32200,6.8356,-4364.88,215740.0,6.7
600466,蓝光发展,36800,36800,5.9312,-24698.91,193568.0,5.26
600486,扬农化工,4800,4900,93.7176,-4104.43,455112.0,92.88
600500,中化国际,33300,33300,5.7754,-4507.47,187812.0,5.64
