更新时间        委托时间        委托编号        委托标识        证券代码        交易业务        委托数量        成交数量        撤单数量        委托价格        成交金额                执行状态        执行信息
15:07:34.423    11:12:13.643    213355743       21992           300206          700 担保品买入  1600            0               0               17.7800         0.0000                  废单            可用金额不足，可用金额21980.050 ，预留金额10.000，实际申请使用 28452.840
15:07:34.435    11:12:13.726    229357371       21994           002022          700 担保品买入  1300            0               0               17.5300         0.0000                  废单            可用金额不足，可用金额16187.060 ，预留金额10.000，实际申请使用 22792.880
15:07:34.669    11:12:36.258    213355757       22047           300206          700 担保品买入  2800            0               0               17.8100         0.0000                  废单            可用金额不足，可用金额26149.160 ，预留金额10.000，实际申请使用 49876.480
15:07:34.669    11:12:36.326    201348673       22050           002022          700 担保品买入  1200            0               0               17.5300         0.0000                  废单            可用金额不足，可用金额12642.860 ，预留金额10.000，实际申请使用 21039.580
15:07:34.669    11:12:36.325    237357653       22049           300502          700 担保品买入  500             0               0               57.9100         0.0000                  废单            可用金额不足，可用金额12642.860 ，预留金额10.000，实际申请使用 28959.920
15:07:34.669    11:12:36.436    213355758       22051           600834          700 担保品买入  2300            0               0               12.2000         0.0000                  废单            可用金额不足，可用金额3827.360 ，预留金额10.000，实际申请使用 28064.770
15:07:34.669    11:12:36.523    229357389       22053           603466          700 担保品买入  1000            0               0               18.0300         0.0000                  废单            可用金额不足，可用金额3831.360 ，预留金额10.000，实际申请使用 18033.060
15:07:34.669    11:12:36.523    233350712       22054           300658          700 担保品买入  600             0               0               29.6900         0.0000                  废单            可用金额不足，可用金额3831.360 ，预留金额10.000，实际申请使用 17817.030
15:07:34.670    11:12:42.270    233350718       22069           300677          700 担保品买入  300             0               0               113.1100        0.0000                  废单            可用金额不足，可用金额17087.360 ，预留金额10.000，实际申请使用 33938.770
15:07:34.671    11:12:59.737    229357420       22120           601231          700 担保品买入  400             0               0               21.4900         0.0000                  废单            可用金额不足，可用金额6049.030 ，预留金额10.000，实际申请使用 8597.460
15:07:34.671    11:12:59.737    233350730       22121           002079          700 担保品买入  800             0               0               12.8200         0.0000                  废单            可用金额不足，可用金额6049.030 ，预留金额10.000，实际申请使用 10257.750
15:07:34.671    11:12:59.822    221357761       22122           300206          700 担保品买入  2800            0               0               17.8200         0.0000                  废单            可用金额不足，可用金额6052.030 ，预留金额10.000，实际申请使用 49904.480
15:07:34.671    11:12:59.823    225349867       22123           300233          700 担保品买入  1100            0               0               30.7700         0.0000                  废单            可用金额不足，可用金额6052.030 ，预留金额10.000，实际申请使用 33852.760
15:07:34.672    11:13:15.722    229357429       22143           300502          700 担保品买入  900             0               0               57.9400         0.0000                  废单            可用金额不足，可用金额25975.450 ，预留金额10.000，实际申请使用 52154.860
15:07:34.672    11:13:15.844    205356039       22145           600834          700 担保品买入  2900            0               0               12.1900         0.0000                  废单            可用金额不足，可用金额15455.660 ，预留金额10.000，实际申请使用 35357.010
15:07:34.672    11:13:15.930    221357768       22147           002382          700 担保品买入  700             0               0               29.3300         0.0000                  废单            可用金额不足，可用金额6856.200 ，预留金额10.000，实际申请使用 20534.490
15:07:34.672    11:13:21.035    213355790       22151           002022          700 担保品买入  800             0               0               17.5300         0.0000                  废单            可用金额不足，可用金额13859.010 ，预留金额10.000，实际申请使用 14026.380
15:07:34.672    11:13:21.126    225349878       22152           600834          700 担保品买入  1200            0               0               12.1900         0.0000                  废单            可用金额不足，可用金额13859.010 ，预留金额10.000，实际申请使用 14630.480
15:07:34.672    11:13:21.126    229357433       22153           002338          700 担保品买入  900             0               0               28.6600         0.0000                  废单            可用金额不足，可用金额13859.010 ，预留金额10.000，实际申请使用 25798.390
15:07:34.673    11:13:26.323    237357691       22158           002338          700 担保品买入  600             0               0               28.6200         0.0000                  废单            可用金额不足，可用金额10694.490 ，预留金额10.000，实际申请使用 17174.920
15:07:34.673    11:13:26.436    217352184       22159           300624          700 担保品买入  200             0               0               67.0400         0.0000                  废单            可用金额不足，可用金额10694.490 ，预留金额10.000，实际申请使用 13410.280
15:07:34.673    11:13:31.635    225349889       22164           300206          700 担保品买入  2800            0               0               17.8200         0.0000                  废单            可用金额不足，可用金额8232.610 ，预留金额10.000，实际申请使用 49904.480
15:07:34.673    11:13:31.723    217352191       22166           600834          700 担保品买入  3000            0               0               12.1900         0.0000                  废单            可用金额不足，可用金额2433.620 ，预留金额10.000，实际申请使用 36576.220
15:07:34.673    11:13:37.041    221357776       22173           002022          700 担保品买入  1300            0               0               17.5300         0.0000                  废单            可用金额不足，可用金额6253.150 ，预留金额10.000，实际申请使用 22792.880
15:07:34.673    11:13:37.122    237357697       22175           002382          700 担保品买入  500             0               0               29.3200         0.0000                  废单            可用金额不足，可用金额152.110 ，预留金额10.000，实际申请使用 14662.490
15:07:34.673    11:13:37.122    201348724       22176           300658          700 担保品买入  200             0               0               29.6900         0.0000                  废单            可用金额不足，可用金额152.110 ，预留金额10.000，实际申请使用 5939.010
15:07:34.673    11:13:37.233    213355798       22177           300624          700 担保品买入  100             0               0               67.0400         0.0000                  废单            可用金额不足，可用金额152.110 ，预留金额10.000，实际申请使用 6705.140
15:07:34.673    11:13:37.234    217352194       22178           600233          700 担保品买入  300             0               0               16.3300         0.0000                  废单            可用金额不足，可用金额152.110 ，预留金额10.000，实际申请使用 4899.830
15:07:34.673    11:13:37.322    229357443       22179           300233          700 担保品买入  200             0               0               30.7700         0.0000                  废单            可用金额不足，可用金额944.180 ，预留金额10.000，实际申请使用 6155.040
15:07:34.673    11:13:37.323    233350760       22180           300502          700 担保品买入  100             0               0               57.9700         0.0000                  废单            可用金额不足，可用金额944.180 ，预留金额10.000，实际申请使用 5797.990
15:07:34.675    11:13:59.733    213355822       22230           300624          700 担保品买入  600             0               0               67.0500         0.0000                  废单            可用金额不足，可用金额5863.510 ，预留金额10.000，实际申请使用 40236.830
15:07:34.675    11:13:59.734    217352212       22231           600233          700 担保品买入  700             0               0               16.3500         0.0000                  废单            可用金额不足，可用金额5863.510 ，预留金额10.000，实际申请使用 11446.950
15:07:34.675    11:13:59.625    205356071       22229           300677          700 担保品买入  100             0               0               112.6100        0.0000                  废单            可用金额不足，可用金额5863.510 ，预留金额10.000，实际申请使用 11262.920
15:07:34.675    11:13:59.835    233350786       22232           601231          700 担保品买入  900             0               0               21.5100         0.0000                  废单            可用金额不足，可用金额5863.510 ，预留金额10.000，实际申请使用 19362.290
15:07:34.675    11:13:59.836    237357723       22233           300206          700 担保品买入  2200            0               0               17.8100         0.0000                  废单            可用金额不足，可用金额5863.510 ，预留金额10.000，实际申请使用 39188.660
15:07:34.675    11:13:59.928    209350213       22234           300227          700 担保品买入  1500            0               0               9.8500          0.0000                  废单            可用金额不足，可用金额5866.510 ，预留金额10.000，实际申请使用 14777.520
15:07:34.675    11:13:59.928    213355823       22235           300233          700 担保品买入  200             0               0               30.7200         0.0000                  废单            可用金额不足，可用金额5866.510 ，预留金额10.000，实际申请使用 6145.040
15:07:34.675    11:14:00.027    225349914       22236           603113          700 担保品买入  500             0               0               12.1900         0.0000                  废单            可用金额不足，可用金额5875.510 ，预留金额10.000，实际申请使用 6096.030
15:07:34.675    11:14:05.234    209350216       22242           300658          700 担保品买入  200             0               0               29.7000         0.0000                  废单            可用金额不足，可用金额1446.740 ，预留金额10.000，实际申请使用 5941.010
15:07:34.675    11:14:05.234    205356072       22241           002382          700 担保品买入  500             0               0               29.2900         0.0000                  废单            可用金额不足，可用金额1446.740 ，预留金额10.000，实际申请使用 14647.490
15:07:34.675    11:14:05.321    221357803       22243           300206          700 担保品买入  1800            0               0               17.7900         0.0000                  废单            可用金额不足，可用金额1446.740 ，预留金额10.000，实际申请使用 32027.440
15:07:34.675    11:14:05.322    225349918       22244           300502          700 担保品买入  300             0               0               57.9400         0.0000                  废单            可用金额不足，可用金额1446.740 ，预留金额10.000，实际申请使用 17384.960
15:07:34.675    11:14:05.437    237357724       22245           002022          700 担保品买入  200             0               0               17.5300         0.0000                  废单            可用金额不足，可用金额1446.740 ，预留金额10.000，实际申请使用 3506.600
15:07:34.676    11:14:10.523    217352219       22249           002338          700 担保品买入  1000            0               0               28.6100         0.0000                  废单            可用金额不足，可用金额27708.630 ，预留金额10.000，实际申请使用 28614.860
15:07:34.676    11:14:21.258    233350799       22265           300502          700 担保品买入  400             0               0               57.9500         0.0000                  废单            可用金额不足，可用金额22343.280 ，预留金额10.000，实际申请使用 23183.940
15:07:34.676    11:14:26.625    209350225       22274           002022          700 担保品买入  900             0               0               17.5300         0.0000                  废单            可用金额不足，可用金额14402.240 ，预留金额10.000，实际申请使用 15779.690
15:07:34.677    11:14:31.933    229357491       22280           300624          700 担保品买入  300             0               0               67.0600         0.0000                  废单            可用金额不足，可用金额8677.830 ，预留金额10.000，实际申请使用 20121.420
15:07:34.677    11:14:32.022    205356100       22283           300502          700 担保品买入  500             0               0               57.9500         0.0000                  废单            可用金额不足，可用金额5722.330 ，预留金额10.000，实际申请使用 28979.930
15:07:34.677    11:14:32.021    237357745       22281           300206          700 担保品买入  3700            0               0               17.7900         0.0000                  废单            可用金额不足，可用金额8677.830 ，预留金额10.000，实际申请使用 65834.190
15:07:34.677    11:14:32.125    233350806       22285           600834          700 担保品买入  500             0               0               12.1900         0.0000                  废单            可用金额不足，可用金额2217.730 ，预留金额10.000，实际申请使用 6096.030
