冻结金额,可用,参考市值,资产
,19685776.86,,160100885.02
,,,
证券代码,证券名称,可用数量,库存数量,参考成本,参考盈亏,市值,当前价
16,深康佳Ａ,52300,52300,7.3426,80408.02,464424.0,8.88
100,TCL科技,258900,258900,6.4865,130357.57,1809711.0,6.99
425,徐工机械,0,74700,6.8303,2965.29,513189.0,6.87
608,阳光股份,9800,9800,5.0587,1580.55,51156.0,5.22
615,京汉股份,4100,4100,4.5107,489.23,18983.0,4.63
697,炼石航空,22800,22800,10.6308,-929.38,241452.0,10.59
700,模塑科技,1700,221800,8.2055,276037.28,2096010.0,9.45
725,京东方Ａ,0,307700,5.2165,13379.18,1618502.0,5.26
766,通化金马,13000,13000,5.2708,1029.73,69550.0,5.35
793,华闻集团,379700,379700,4.0681,217137.01,1761808.0,4.64
799,酒鬼酒,0,19300,77.6881,-4980.84,1494399.0,77.43
912,泸天化,11400,11400,4.4507,1360.39,52098.0,4.57
918,嘉凯城,4400,4400,4.8207,1624.82,22836.0,5.19
926,福星股份,21500,21500,5.8555,3322.79,129215.0,6.01
997,新大陆,61536,61536,19.2179,-9101.86,1173491.52,19.07
2049,紫光国微,0,12100,127.7732,84419.22,1630475.0,134.75
2057,中钢天源,43480,43480,7.8836,2015.37,344796.4,7.930000000000001
2073,软控股份,39900,39900,4.3607,4761.91,178752.0,4.48
2090,金智科技,0,50500,9.7737,2844.04,496415.0,9.83
2097,山河智能,13002,13002,6.691,2977.42,89973.84,6.92
2125,湘潭电化,0,60800,9.8431,11366.24,609824.0,10.03
2161,远望谷,156800,156800,8.9496,9466.56,1412768.0,9.01
2191,劲嘉股份,0,22400,12.2815,-928.74,274176.0,12.24
2217,合力泰,159800,159800,6.0405,46259.23,1011534.0,6.33
2225,濮耐股份,58100,58100,4.5965,4269.95,271327.0,4.67
2228,合兴包装,67800,67800,4.5507,3345.8,311880.0,4.6
2239,奥特佳,0,70700,6.2279,7926.14,448238.0,6.34
2249,大洋电机,270500,270500,4.0806,56639.44,1160445.0,4.29
2274,华昌化工,64200,64200,5.1189,19974.24,348606.0,5.43
2277,友阿股份,204400,204400,4.3616,110051.29,1001560.0,4.9
2279,久其软件,0,35500,8.1549,3021.82,292520.0,8.24
2288,超华科技,52700,52700,5.2875,18049.21,296701.0,5.63
2312,三泰控股,30800,30800,5.515,-1076.98,168784.0,5.48
2317,众生药业,97601,97601,15.2027,239837.06,1723633.66,17.66
2328,新朋股份,23200,23200,6.1609,8330.56,151264.0,6.52
2332,仙琚制药,7,7,-11094.7929,77787.03,123.48,17.64
2340,格林美,0,294400,5.7181,-11216.13,1672192.0,5.68
2341,新纶科技,0,208300,5.3647,17762.05,1135235.0,5.45
2343,慈文传媒,1700,1700,-15.5903,44523.53,18020.0,10.6
2344,海宁皮城,123300,123300,4.6171,23784.62,593073.0,4.81
2349,精华制药,80500,80500,5.7449,5241.64,467705.0,5.81
2358,森源电气,70500,70500,5.5099,11287.76,399735.0,5.67
2376,新北洋,11,11,-2248.8627,24864.43,126.94,11.54
2385,大北农,179000,179000,9.2,277441.79,1924250.0,10.75
2397,梦洁股份,4300,4300,-7.3848,62198.79,30444.0,7.08
2399,海普瑞,6597,6597,23.1134,27948.54,180427.95,27.35
2411,延安必康,163300,163300,7.9392,22992.54,1319464.0,8.08
2413,雷科防务,103200,103200,7.5043,180158.62,954600.0,9.25
2421,达实智能,72100,72100,4.1606,33121.01,333102.0,4.62
2425,凯撒文化,0,19100,18.3204,3047.5,352968.0,18.48
2433,太安堂,47000,47000,4.5951,12448.22,228420.0,4.86
2467,二六三,193500,193500,8.5161,23969.86,1671840.0,8.64
2498,汉缆股份,0,241500,5.6919,21287.39,1395870.0,5.78
2512,达华智能,148046,148046,5.4356,42100.12,846823.12,5.72
2515,金字火腿,49300,120100,6.7978,91542.12,907956.0,7.56
2517,恺英网络,42900,242900,4.3601,101994.28,1161062.0,4.78
2522,浙江众成,84200,84200,6.9203,53022.63,635710.0,7.55
2547,春兴精工,108700,174900,7.9133,58884.79,1442925.0,8.25
2570,贝因美,1300,1300,6.761,713.68,9503.0,7.31
2587,奥拓电子,31400,31400,6.0106,12853.73,201588.0,6.42
2616,长青集团,118800,118800,11.9906,-48774.54,1375704.0,11.58
2741,光华科技,18272,18272,11.3832,35390.05,243383.04,13.32
2937,兴瑞科技,5800,5800,15.8367,2339.36,94192.0,16.24
300006,莱美药业,47500,47500,5.3408,19911.95,273600.0,5.76
300016,北陆药业,50,50,-432.6974,22272.87,638.0,12.76
300035,中科电气,103500,103500,9.7599,50722.51,1060875.0,10.25
300072,三聚环保,177270,177270,4.7453,194050.73,1035256.8,5.84
300079,数码科技,189600,189600,5.0597,72095.75,1031424.0,5.44
300081,恒信东方,27600,27600,9.3432,20336.32,278208.0,10.08
300099,精准信息,75900,75900,6.222,8953.16,481206.0,6.34
300184,力源信息,25900,25900,7.0034,4831.79,186221.0,7.19
300194,福安药业,49500,49500,6.047,5592.12,304920.0,6.16
300204,舒泰神,600,600,11.3217,466.98,7260.0,12.1
300213,佳讯飞鸿,96800,96800,6.5904,88049.3,726000.0,7.5
300230,永利股份,19000,19000,4.8407,3596.21,95570.0,5.03
300232,洲明科技,0,134221,9.7434,15656.46,1323419.06,9.860000000000001
300238,冠昊生物,22900,22900,19.3139,125173.65,567462.0,24.78
300255,常山药业,26000,26000,6.4284,10182.9,177320.0,6.82
300256,星星科技,87,87,-1016.9549,89160.64,685.56,7.879999999999999
300273,和佳医疗,139800,139800,8.1828,34553.44,1178514.0,8.43
300287,飞利信,147200,147200,4.4207,85278.41,736000.0,5.0
300296,利亚德,0,6700,7.3913,259.58,49781.0,7.43
300297,蓝盾股份,4500,4500,4.4107,1527.02,21375.0,4.75
300300,汉鼎宇佑,4300,4300,6.4514,1670.84,29412.0,6.84
300303,聚飞光电,119700,201100,6.3425,106079.87,1381557.0,6.87
300310,宜通世纪,161900,161900,6.0118,57998.03,1031303.0,6.37
300311,任子行,500,500,7.8412,74.41,3995.0,7.99
300322,硕贝德,12000,12000,19.0601,3838.69,232560.0,19.38
300324,旋极信息,28969,28969,7.2833,10623.88,221612.85,7.65
300336,新文化,202900,202900,5.2483,59182.27,1124066.0,5.54
300352,北信源,8400,8400,8.5613,-934.79,70980.0,8.45
300353,东土科技,26988,26988,10.8427,75763.22,368386.2,13.65
300365,恒华科技,3600,3600,10.885,4554.13,43740.0,12.15
300379,东方通,300,7900,-1.254,426473.7,416567.0,52.73
300391,康跃科技,34200,34200,12.579,30130.49,460332.0,13.46
300415,伊之密,15900,15900,9.8517,5537.42,162180.0,10.2
300420,五洋停车,38700,38700,6.3158,26090.36,270513.0,6.99
300448,浩云科技,27500,27500,11.3083,6372.33,317350.0,11.54
